2024-02-23,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,24d,001-converted,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
2024-02-23,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,24d,001-converte,2024-02-23_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_24d__1,30,80,2.8222,-11.599,0.9709,0.0,0.0985
2024-02-23,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,24d,001-converte,2024-02-23_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_24d__2,37,87,1.4276,-31.9642,0.991,0.0,0.0273
2024-02-23,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,24d,001-converte,2024-02-23_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_24d__3,8,58,1.6464,33.3285,0.9575,0.0,0.0701
2024-02-23,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,24d,001-converte,2024-02-23_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_24d__4,16,66,1.3074,45.8271,0.9952,0.0,0.0182
2024-02-23,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,24d,001-converte,2024-02-23_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_24d__5,25,75,1.7464,14.9421,0.976,0.0,0.0551
2024-02-23,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,24d,001-converte,2024-02-23_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_24d__6,59,109,0.5103,45.9403,0.9968,0.0,0.0058
2024-02-23,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,24d,001-converte,2024-02-23_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_24d__all,0,50,1.1901,29.3455,0.9934,0.0,0.0194
