y,x,mass,size,ecc,signal,raw_mass,ep,frame,t,True_particle,vial
6.48,570.78,161,67690,0.314,18.75,161,0.0,0,0.0,False,0.0
283.99,689.85,236,67690,0.494,22.03,236,0.0,0,0.0,False,0.0
283.05,571.04,154,67690,0.486,14.06,154,0.0,0,0.0,False,0.0
280.99,21.81,102,67690,0.406,7.5,102,0.0,0,0.0,False,0.0
269.97,689.91,172,67690,0.483,15.94,172,0.0,0,0.0,False,0.0
269.99,21.96,113,67690,0.385,8.44,113,0.0,0,0.0,False,0.0
269.01,571.03,136,67690,0.501,12.66,136,0.1,0,0.0,False,0.0
267.07,258.33,117,67690,0.521,12.19,117,0.0,0,0.0,False,0.0
260.99,689.94,187,67690,0.519,17.81,187,0.0,0,0.0,False,0.0
259.98,571.02,148,67690,0.506,13.6,148,0.1,0,0.0,False,0.0
256.01,21.6,111,67690,0.349,8.44,111,0.2,0,0.0,False,0.0
254.01,137.58,133,67690,0.47,11.25,133,0.0,0,0.0,False,0.0
294.88,450.97,142,67690,0.399,12.66,142,0.2,0,0.0,False,0.0
247.99,689.91,181,67690,0.495,17.35,181,0.0,0,0.0,False,0.0
242.01,571.03,181,67690,0.516,16.88,181,0.1,0,0.0,False,0.0
237.02,137.76,169,67690,0.483,15.94,169,0.0,0,0.0,False,0.0
233.0,571.0,176,67690,0.526,16.88,176,0.0,0,0.0,False,0.0
229.94,690.04,178,67690,0.485,16.88,178,0.0,0,0.0,False,0.0
227.99,21.82,109,67690,0.44,8.91,109,0.0,0,0.0,False,0.0
225.03,258.56,112,67690,0.366,8.91,112,0.0,0,0.0,False,0.0
223.01,137.84,148,67690,0.544,14.53,148,0.2,0,0.0,False,0.0
213.0,690.11,175,67690,0.517,17.35,175,0.0,0,0.0,False,0.0
212.96,571.11,188,67690,0.516,18.28,188,0.0,0,0.0,False,0.0
212.02,137.95,158,67690,0.519,15.0,158,0.1,0,0.0,False,0.0
197.99,138.07,180,67690,0.527,17.35,180,0.1,0,0.0,False,0.0
245.98,21.53,109,67690,0.366,8.44,109,0.1,0,0.0,False,0.0
196.01,690.21,178,67690,0.514,17.35,178,0.0,0,0.0,False,0.0
300.97,21.52,108,67690,0.349,7.97,108,0.1,0,0.0,False,0.0
303.33,560.7,673,67690,0.304,72.66,673,0.0,0,0.0,True,5.0
344.45,540.97,311,67690,0.012,42.66,311,0.0,0,0.0,True,5.0
342.99,674.27,742,67690,0.499,79.7,742,0.0,0,0.0,True,6.0
343.05,554.0,956,67690,0.391,87.2,956,0.0,0,0.0,True,5.0
341.96,688.91,112,67690,0.441,11.72,112,0.0,0,0.0,False,0.0
342.23,663.42,591,67690,0.369,82.51,591,0.0,0,0.0,True,6.0
341.6,510.83,660,67690,0.164,102.2,660,0.0,0,0.0,True,5.0
341.91,441.47,839,67690,0.514,87.2,839,0.0,0,0.0,True,4.0
342.26,385.13,619,67690,0.122,90.95,619,0.0,0,0.0,True,4.0
341.78,73.23,655,67690,0.513,63.76,655,0.0,0,0.0,True,1.0
341.36,426.77,831,67690,0.419,80.63,831,0.0,0,0.0,True,4.0
339.66,647.93,637,67690,0.477,67.51,637,0.0,0,0.0,True,6.0
302.06,136.99,134,67690,0.476,13.13,134,0.1,0,0.0,False,0.0
340.13,410.59,753,67690,0.28,94.7,753,0.0,0,0.0,True,4.0
340.4,193.03,781,67690,0.473,76.88,781,0.0,0,0.0,True,2.0
339.14,279.67,790,67690,0.399,99.38,790,0.0,0,0.0,True,3.0
338.16,271.24,1019,67690,0.503,119.54,1019,0.0,0,0.0,True,3.0
337.98,171.27,962,67690,0.471,84.38,962,0.0,0,0.0,True,2.0
337.24,85.49,765,67690,0.187,84.38,765,0.0,0,0.0,True,1.0
337.3,61.82,345,67690,0.083,52.51,345,0.0,0,0.0,True,1.0
334.0,136.72,145,67690,0.476,14.53,145,0.1,0,0.0,False,0.0
323.92,170.64,880,67690,0.435,82.04,880,0.0,0,0.0,True,2.0
313.73,390.17,840,67690,0.343,83.45,840,0.0,0,0.0,True,4.0
311.94,34.79,809,67690,0.358,78.29,809,0.0,0,0.0,True,1.0
311.03,648.82,889,67690,0.382,81.1,889,0.0,0,0.0,True,6.0
340.53,313.41,859,67690,0.321,77.35,859,0.0,0,0.0,True,3.0
188.98,258.75,123,67690,0.468,10.78,123,0.1,0,0.0,False,0.0
277.0,137.32,130,67690,0.536,13.13,130,0.8,0,0.0,False,0.0
180.95,690.6,200,67690,0.454,17.81,200,0.0,0,0.0,False,0.0
87.0,570.73,235,67690,0.482,20.63,235,0.0,0,0.0,False,0.0
85.99,139.27,161,67690,0.518,15.47,161,0.1,0,0.0,False,0.0
81.99,450.38,102,67690,0.494,9.38,102,0.0,0,0.0,False,0.0
78.98,259.36,114,67690,0.514,10.78,114,0.3,0,0.0,False,0.0
77.04,139.38,173,67690,0.485,16.41,173,0.1,0,0.0,False,0.0
76.03,22.24,158,67690,0.345,11.72,158,0.0,0,0.0,False,0.0
74.99,570.74,218,67690,0.489,19.69,218,0.0,0,0.0,False,0.0
69.98,450.4,100,67690,0.455,9.84,100,0.0,0,0.0,False,0.0
69.0,690.84,253,67690,0.523,23.91,253,0.0,0,0.0,False,0.0
64.01,139.45,146,67690,0.426,13.13,146,0.1,0,0.0,False,0.0
60.99,570.72,176,67690,0.475,15.47,176,0.0,0,0.0,False,0.0
60.0,22.22,150,67690,0.366,11.25,150,0.0,0,0.0,False,0.0
58.02,690.83,239,67690,0.523,22.5,239,0.0,0,0.0,False,0.0
54.0,450.69,103,67690,0.455,8.91,103,0.1,0,0.0,False,0.0
50.99,139.78,215,67690,0.486,19.22,215,0.0,0,0.0,False,0.0
50.99,22.19,184,67690,0.343,14.06,184,0.0,0,0.0,False,0.0
35.99,450.6,103,67690,0.478,8.91,103,0.1,0,0.0,False,0.0
35.93,139.9,244,67690,0.501,24.38,244,0.1,0,0.0,False,0.0
36.01,22.45,202,67690,0.335,14.53,202,0.0,0,0.0,False,0.0
32.0,570.4,212,67690,0.488,18.28,212,0.0,0,0.0,False,0.0
25.99,690.92,294,67690,0.518,27.19,294,0.0,0,0.0,False,0.0
183.98,571.12,135,67690,0.47,12.19,135,0.1,0,0.0,False,0.0
17.05,140.0,241,67690,0.498,23.91,241,0.1,0,0.0,False,0.0
16.07,22.37,136,67690,0.303,11.72,136,0.1,0,0.0,False,0.0
15.01,690.94,284,67690,0.501,26.72,284,0.0,0,0.0,False,0.0
90.0,450.4,104,67690,0.48,9.38,104,0.0,0,0.0,False,0.0
89.99,690.86,294,67690,0.508,26.72,294,0.0,0,0.0,False,0.0
16.99,570.61,236,67690,0.462,20.16,236,0.0,0,0.0,False,0.0
99.99,570.77,222,67690,0.483,19.22,222,0.0,0,0.0,False,0.0
92.99,259.24,134,67690,0.511,12.19,134,0.2,0,0.0,False,0.0
178.98,21.88,113,67690,0.471,9.84,113,0.0,0,0.0,False,0.0
165.94,21.88,121,67690,0.418,10.31,121,0.0,0,0.0,False,0.0
163.95,690.74,298,67690,0.484,27.19,298,0.0,0,0.0,False,0.0
163.96,138.32,140,67690,0.533,14.53,140,0.1,0,0.0,False,0.0
150.99,138.63,144,67690,0.453,12.19,144,0.0,0,0.0,False,0.0
148.01,570.87,204,67690,0.473,18.28,204,0.0,0,0.0,False,0.0
145.0,21.87,114,67690,0.454,9.84,114,0.0,0,0.0,False,0.0
143.99,690.82,245,67690,0.51,22.5,245,0.0,0,0.0,False,0.0
141.99,259.18,109,67690,0.512,9.84,109,0.7,0,0.0,False,0.0
138.99,570.96,195,67690,0.481,16.88,195,0.0,0,0.0,False,0.0
134.98,138.9,180,67690,0.517,16.88,180,0.0,0,0.0,False,0.0
171.01,571.03,175,67690,0.484,15.47,175,0.1,0,0.0,False,0.0
131.03,258.96,145,67690,0.498,13.13,145,0.1,0,0.0,False,0.0
128.99,690.8,286,67690,0.513,26.25,286,0.0,0,0.0,False,0.0
123.94,138.83,180,67690,0.511,18.28,180,0.0,0,0.0,False,0.0
123.01,450.88,105,67690,0.449,8.91,105,0.1,0,0.0,False,0.0
116.03,21.88,129,67690,0.445,11.25,129,0.0,0,0.0,False,0.0
114.0,690.86,305,67690,0.509,27.66,305,0.0,0,0.0,False,0.0
114.0,259.08,144,67690,0.509,13.13,144,0.2,0,0.0,False,0.0
113.0,570.88,217,67690,0.488,18.75,217,0.0,0,0.0,False,0.0
108.04,139.01,182,67690,0.504,17.81,182,0.1,0,0.0,False,0.0
