frame,x1,y1,x2,y2,conf
0,124.51431274414062,434.5110168457031,129.8226776123047,445.09332275390625,0.7980161309242249
0,502.70758056640625,414.06280517578125,508.3045959472656,421.6567687988281,0.7953527569770813
0,552.1258544921875,409.4949035644531,557.1232299804688,416.45855712890625,0.7720084190368652
0,415.38763427734375,423.7857360839844,419.7779235839844,433.616455078125,0.7501741647720337
0,24.00819206237793,430.20465087890625,28.97776222229004,441.1940612792969,0.7490692138671875
0,283.9009704589844,431.34747314453125,291.56317138671875,437.90234375,0.7480698227882385
0,51.80301284790039,402.19622802734375,58.51913833618164,408.03607177734375,0.7438595294952393
0,380.79449462890625,359.4895935058594,386.3705139160156,364.896240234375,0.7380862832069397
0,272.5334777832031,421.0259704589844,276.4352722167969,430.30377197265625,0.7372779250144958
0,558.498291015625,385.7908935546875,562.2229614257812,393.1121520996094,0.7344753742218018
0,250.1995849609375,438.00360107421875,257.147705078125,443.46014404296875,0.7281562089920044
0,681.1419677734375,427.3236999511719,684.6435546875,434.05908203125,0.7210903167724609
0,62.42577362060547,439.3580627441406,70.36870574951172,444.2518005371094,0.7168581485748291
0,547.3663330078125,440.73974609375,552.176513671875,445.5733337402344,0.709977388381958
0,308.3848571777344,433.80938720703125,314.26220703125,438.1656494140625,0.7020537257194519
0,155.98977661132812,436.52960205078125,162.09994506835938,442.3293762207031,0.69610196352005
0,46.562137603759766,437.9548645019531,52.846492767333984,442.591552734375,0.6857410073280334
0,507.011962890625,440.4544372558594,511.4909362792969,444.48162841796875,0.6638455986976624
0,658.3265991210938,439.25897216796875,663.1989135742188,443.2354736328125,0.6593083143234253
0,180.3124237060547,439.4765930175781,185.38064575195312,444.6605529785156,0.648410439491272
0,289.2442321777344,440.26043701171875,299.1125793457031,445.2764587402344,0.6384145021438599
0,408.3197021484375,440.42889404296875,413.97796630859375,444.9140319824219,0.6092270016670227
0,32.67333221435547,436.88311767578125,39.932464599609375,442.7864990234375,0.6057966351509094
0,618.6219482421875,443.7413635253906,625.53515625,448.339111328125,0.5905182957649231
0,671.947021484375,441.8770446777344,675.4789428710938,445.87213134765625,0.5876116156578064
