frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,id32,id33,id34,id35,id36,id37,id38,id39,id40,id41,id42,id43,id44,id45,id46,id47,id48,id49,id50,id51,id52,id53,id54,id55,id56,id57,id58,id59,id60,id61,id62,id63,id64,id65,id66,id67,id68,id69,id70,id71,id72,id73,id74,id75,id76,id77,id78,id79,id81,id90,id92,id93,id96,id99,id100,id101,id107,id112,id113,id117,id120,id125,id129,id139,id144,id148,id154,id156,id161,id164,id166,id170,id176,id178,id185,id186,id189,id192,id203,id206,id221,id227,id229,id235,id238,id239,id253,id257,id258,id261,id264,id266,id269,id270,id271,id281,id283,id286,id292,id301,id302,id313,id315,id317,id318
10,"(553.82, 323.79)","(721.46, 356.16)","(548.19, 334.61)",,"(172.78, 284.52)","(700.72, 351.41)","(405.36, 290.16)","(436.32, 340.17)","(324.92, 376.84)","(664.49, 319.39)",,"(418.03, 325.01)","(270.47, 318.76)",,"(204.17, 318.99)",,"(662.23, 209.18)","(158.51, 298.88)","(430.12, 260.16)",,,"(296.71, 392.11)",,"(409.73, 396.35)",,"(583.24, 383.41)","(29.89, 394.65)","(583.07, 398.52)","(38.06, 395.33)",,,,,"(323.68, 394.76)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"(552.67, 320.82)","(720.13, 353.98)","(549.47, 332.48)",,"(174.11, 282.04)","(702.60, 350.38)","(405.50, 287.12)","(439.51, 337.80)","(324.64, 374.67)","(665.70, 317.67)",,"(419.29, 322.56)","(270.26, 315.55)",,"(204.51, 315.89)",,"(662.04, 205.54)","(159.64, 296.42)","(431.61, 256.86)",,,"(296.58, 392.61)",,"(409.26, 396.03)",,"(582.68, 383.23)","(33.03, 395.12)","(583.74, 398.82)",,,,,,"(326.45, 394.29)",,"(40.24, 214.34)",,"(192.11, 396.54)",,,,,,"(460.09, 362.51)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"(551.37, 317.10)","(718.32, 352.16)","(551.12, 328.97)",,"(175.20, 278.58)","(703.73, 348.66)","(406.23, 283.76)","(442.05, 334.57)","(324.39, 372.59)","(666.63, 316.54)",,"(420.53, 319.90)","(270.24, 312.42)",,"(205.37, 312.14)",,"(663.06, 202.58)","(161.03, 293.61)","(433.09, 253.04)",,,"(298.00, 392.19)",,"(408.29, 395.49)",,"(582.07, 382.83)","(33.19, 395.01)","(584.20, 398.69)",,,,,,"(329.12, 393.76)",,"(42.47, 212.71)",,"(193.54, 396.22)",,,,,,"(462.12, 359.09)",,,"(333.18, 244.23)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"(550.45, 313.80)","(716.28, 350.14)","(552.11, 324.94)",,"(176.08, 275.03)","(705.29, 347.28)","(406.75, 280.81)","(445.35, 331.73)","(324.41, 370.54)","(667.61, 314.98)",,"(422.24, 317.63)","(270.33, 309.30)",,"(205.46, 308.43)",,"(663.32, 198.58)","(160.96, 291.67)","(433.62, 249.76)",,,"(298.22, 392.22)",,"(407.26, 395.35)",,"(580.93, 382.34)","(33.60, 394.99)","(584.47, 398.56)",,,,,,"(330.86, 393.91)",,"(45.12, 210.43)",,"(195.02, 396.01)",,,,,,"(463.17, 355.78)",,,"(332.89, 243.37)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"(549.29, 310.91)","(713.76, 347.65)","(553.32, 322.27)",,"(176.87, 271.81)","(705.71, 345.81)","(406.64, 277.36)","(447.97, 328.23)","(324.29, 368.53)","(669.09, 313.51)",,"(423.76, 315.56)","(270.25, 306.34)",,"(205.57, 303.83)",,"(663.32, 195.10)","(161.32, 290.22)","(434.35, 245.63)",,,"(299.66, 392.28)",,"(405.47, 396.38)",,"(579.48, 381.53)","(33.09, 395.26)","(584.74, 398.29)",,,,,,"(332.78, 394.28)",,"(47.48, 207.01)",,"(196.65, 395.71)",,,,,,"(464.57, 355.81)",,,"(332.72, 242.73)",,,,,,,,,,,,"(194.99, 340.85)","(720.30, 319.68)","(430.37, 397.96)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"(548.73, 307.93)","(711.23, 345.70)","(554.64, 319.35)",,"(177.87, 268.96)","(706.49, 345.09)","(406.47, 274.60)","(450.71, 325.94)","(324.52, 365.78)","(669.64, 310.62)",,"(425.55, 314.07)","(270.41, 303.22)",,"(205.72, 300.74)",,"(663.45, 190.96)","(161.73, 287.99)","(434.07, 241.86)",,,"(302.09, 392.17)",,"(404.57, 397.32)",,"(576.82, 380.88)","(31.56, 395.07)","(584.86, 397.93)",,,,,,"(334.41, 394.47)",,"(50.08, 204.82)",,"(198.00, 395.57)",,,,,,"(464.83, 355.58)",,,"(332.73, 242.53)",,,,,,,,,,,,"(196.24, 336.92)","(721.26, 317.27)","(429.64, 396.77)",,"(298.01, 293.75)","(693.29, 335.02)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"(548.20, 303.91)","(710.98, 343.73)","(554.84, 315.10)",,"(178.92, 266.27)","(708.92, 343.52)","(406.79, 271.64)","(452.73, 322.71)","(324.76, 362.68)","(670.03, 307.64)",,"(427.15, 312.52)","(270.32, 300.11)",,"(205.87, 297.26)",,"(663.77, 187.33)","(162.03, 285.90)","(434.40, 237.71)",,,"(303.65, 392.30)",,"(403.58, 397.33)",,"(574.11, 380.01)","(31.64, 395.59)","(585.26, 397.80)",,,,,,"(334.44, 394.48)",,"(53.06, 201.70)",,"(198.75, 395.44)",,,,,,"(465.77, 355.30)",,,"(332.71, 242.44)",,,,,,,,,,,,"(196.46, 332.35)","(721.86, 315.19)","(428.36, 394.14)",,"(297.90, 290.70)","(696.49, 332.02)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"(547.15, 300.36)",,"(554.83, 311.00)",,"(179.89, 263.74)","(707.54, 342.53)","(406.88, 268.50)","(454.98, 319.85)","(324.69, 358.64)","(670.22, 304.31)",,"(428.04, 310.85)","(270.70, 297.75)",,"(205.31, 293.16)",,"(663.84, 183.51)","(162.98, 283.73)","(434.06, 234.27)",,,"(305.30, 392.40)",,"(403.00, 396.77)",,"(572.95, 379.80)","(31.28, 395.19)","(585.32, 397.71)",,,,,,"(334.84, 394.58)",,"(55.90, 198.74)",,"(199.40, 395.25)",,,,,,"(466.00, 354.25)",,,"(332.77, 242.49)",,,,,,,,,,,,"(197.03, 328.08)","(721.77, 312.89)","(426.89, 390.59)",,"(298.28, 287.16)","(699.38, 329.10)",,,,,,,"(275.99, 396.70)","(562.23, 394.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"(546.40, 297.16)",,"(555.30, 307.53)",,"(181.03, 260.84)",,"(407.29, 264.46)","(456.36, 316.05)","(324.91, 355.20)","(670.56, 300.60)",,"(429.19, 309.10)","(270.47, 295.62)",,"(205.11, 290.02)",,"(663.63, 179.97)","(163.50, 281.47)","(433.75, 230.32)",,,"(306.62, 392.47)",,"(402.99, 395.71)",,"(570.14, 378.67)","(30.94, 395.11)","(585.67, 397.16)",,,,,,"(335.59, 394.89)",,"(57.87, 195.43)",,"(200.25, 395.13)",,,,,,"(466.56, 353.10)",,,"(332.39, 241.49)",,,,,,,,,,,,"(196.86, 323.63)","(722.74, 310.44)","(426.03, 387.50)",,"(298.43, 283.50)","(703.52, 326.97)",,,,,,,"(276.89, 396.56)","(561.98, 394.07)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"(545.91, 294.45)",,"(555.27, 303.61)",,"(181.44, 257.36)",,"(407.18, 261.49)","(457.69, 312.83)","(324.86, 351.53)","(671.16, 298.13)",,"(430.33, 307.22)","(270.65, 294.39)",,"(204.81, 286.23)",,"(663.30, 175.91)","(164.06, 279.18)","(432.91, 226.48)",,,"(307.64, 392.58)",,"(402.84, 394.90)",,"(568.22, 379.44)","(30.57, 395.43)","(585.61, 397.20)",,,,,,"(335.42, 394.80)",,"(59.54, 191.73)",,"(201.08, 395.54)",,,,,,"(466.66, 352.79)",,,"(331.09, 239.07)",,,,,,,,,,,,"(197.46, 319.66)","(723.76, 307.96)","(424.66, 383.89)",,"(298.39, 280.23)","(705.25, 324.78)",,,,,,,"(277.21, 396.13)","(560.96, 394.03)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
