frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,id32,id33,id34,id35,id36,id37,id38,id39,id40,id41,id42,id43,id44,id45,id46,id47,id48,id49,id50,id51,id52,id53,id54,id55,id56,id57,id58,id59,id60,id61,id62,id63,id64,id65,id66,id67,id68,id69,id70,id71,id72,id73,id74,id75,id76,id77,id78,id79,id81,id90,id92,id93,id96,id99,id100,id101,id107,id112,id113,id117,id120,id125,id129,id139,id144,id148,id154,id156,id161,id164,id166,id170,id176,id178,id185,id186,id189,id192,id203,id206,id221,id227,id229,id235,id238,id239,id253,id257,id258,id261,id264,id266,id269,id270,id271,id281,id283,id286,id292,id301,id302,id313,id315,id317,id318
20,"(545.25, 292.42)",,"(554.81, 300.15)",,"(182.52, 254.51)",,"(407.82, 257.88)","(459.17, 309.32)","(324.75, 348.42)","(671.29, 294.63)",,"(430.87, 305.86)","(270.45, 293.89)",,"(204.38, 283.11)",,"(662.88, 172.47)","(165.04, 276.35)","(432.92, 222.67)",,,"(309.96, 392.82)",,"(402.95, 394.44)",,"(566.81, 378.91)",,"(585.61, 397.19)",,,,,,"(335.39, 395.10)",,"(60.83, 187.42)",,"(201.19, 395.89)",,,,,,"(467.49, 351.78)",,,"(328.83, 235.75)",,,,,,,,,,,,"(196.67, 316.29)","(725.27, 305.58)","(422.17, 379.56)",,"(297.86, 276.47)","(706.25, 323.89)",,,,,,,"(277.37, 395.88)","(560.67, 394.10)",,,,,,,,"(567.09, 360.39)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"(545.58, 291.81)",,"(554.89, 296.35)",,"(183.65, 250.76)",,"(408.23, 254.44)","(461.05, 305.97)","(325.04, 345.92)","(671.72, 291.55)",,"(430.98, 304.23)","(270.69, 293.46)",,"(203.42, 279.86)",,"(662.49, 169.43)","(167.04, 272.87)","(431.28, 219.91)",,,"(313.13, 393.12)",,"(404.37, 393.62)",,"(564.08, 379.25)",,"(585.62, 397.23)","(52.27, 394.09)","(678.35, 398.37)",,,,"(335.02, 395.04)",,"(62.09, 184.04)",,"(201.18, 395.93)",,,,,,"(468.43, 350.37)",,,"(327.30, 233.02)",,,,,,,,,,,,"(197.43, 312.28)","(726.21, 303.16)","(420.91, 376.27)",,"(297.88, 272.44)","(706.27, 324.03)",,,,,,,"(277.58, 395.43)","(559.46, 394.28)",,,,,,,,"(567.37, 358.21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"(545.78, 291.96)",,"(554.97, 293.31)",,"(184.62, 248.47)",,"(408.96, 251.23)","(462.78, 301.77)","(325.45, 344.12)","(672.45, 287.74)",,"(431.07, 302.09)","(270.70, 293.48)",,"(201.99, 277.02)",,"(662.22, 166.40)","(169.00, 269.61)","(430.06, 216.78)",,,"(316.35, 393.20)",,"(405.66, 393.09)",,"(561.23, 379.45)",,"(585.65, 397.25)","(55.25, 394.83)","(678.11, 398.10)",,,,"(334.76, 394.88)",,"(62.95, 180.06)",,"(201.22, 395.93)",,,,,,"(469.12, 349.51)",,,"(325.56, 230.46)",,,,,,,,,,,,"(197.50, 308.04)","(727.58, 300.84)","(418.35, 371.92)",,"(297.75, 269.25)","(706.59, 323.82)",,,,,,,"(277.44, 395.04)","(558.18, 394.54)",,,,,,,,"(567.51, 355.66)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"(545.61, 291.75)",,"(555.43, 289.28)",,"(185.30, 245.12)",,"(409.41, 248.08)","(464.26, 298.61)","(325.35, 341.62)","(672.83, 284.38)",,"(431.11, 299.90)","(270.74, 293.49)",,"(201.00, 274.47)",,"(662.11, 163.25)","(170.58, 267.14)","(428.02, 214.54)",,,"(320.07, 393.74)",,"(408.08, 392.33)",,"(559.32, 379.26)",,"(585.62, 397.19)","(57.49, 395.09)","(677.41, 398.10)",,,,"(333.72, 394.76)",,"(63.10, 176.32)",,"(201.28, 395.91)",,,,,,"(469.68, 348.43)",,,"(323.17, 226.14)",,,,,,,,,,,,"(197.22, 303.65)","(728.44, 298.50)","(416.29, 367.77)",,"(298.19, 265.06)",,,,,,,,"(277.44, 394.08)","(557.68, 394.43)",,,,,,,,"(567.60, 352.69)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"(545.50, 291.68)",,"(555.77, 286.01)",,"(186.57, 242.42)",,"(409.86, 245.07)","(465.37, 295.52)","(325.43, 339.57)","(673.47, 280.75)",,"(431.16, 297.87)","(270.86, 293.50)",,"(199.58, 271.93)",,"(662.39, 160.53)","(172.99, 264.07)","(425.91, 211.64)",,,"(322.23, 393.94)",,"(409.89, 391.47)",,"(557.59, 379.84)",,"(585.44, 397.22)","(60.16, 395.27)","(675.79, 396.38)",,,,"(333.70, 394.78)",,"(62.83, 172.45)",,"(201.39, 395.94)",,,,,,"(470.92, 347.09)",,,"(321.36, 222.90)",,,,,,,,,,,,"(196.60, 299.67)","(728.27, 297.87)","(414.28, 364.51)",,"(298.11, 261.59)",,,,,,,,"(276.81, 393.13)","(557.30, 394.40)",,,,,,,,"(567.43, 350.99)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"(545.19, 291.47)",,"(556.11, 282.32)",,"(187.24, 239.90)",,"(410.47, 242.01)","(466.12, 291.81)","(325.57, 337.59)","(674.35, 277.56)",,"(430.25, 295.45)","(270.90, 293.54)",,"(198.26, 269.23)",,"(662.34, 158.25)","(175.01, 261.78)","(423.65, 209.69)",,,"(325.51, 394.18)",,"(412.72, 390.57)",,"(555.26, 379.79)",,"(585.38, 397.29)","(62.70, 395.16)","(675.27, 396.27)",,,,"(332.94, 394.72)",,"(62.19, 169.01)",,"(201.31, 395.94)",,,,,,"(471.46, 345.25)",,,"(319.26, 217.86)",,,,,,,,,,,,"(196.10, 295.54)","(728.92, 296.70)","(412.50, 360.63)",,"(298.94, 258.16)",,,,,,,,"(276.06, 391.46)","(556.84, 394.39)",,,,,,,,"(567.50, 348.81)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"(545.01, 290.06)",,"(555.97, 278.76)",,"(187.51, 237.11)",,"(410.95, 239.08)","(466.66, 288.06)","(325.49, 335.39)","(675.05, 274.29)",,"(430.03, 292.87)","(270.52, 292.77)",,"(197.03, 266.73)",,"(662.38, 154.69)","(176.70, 259.40)","(421.35, 207.25)",,,"(325.66, 393.35)",,"(415.49, 389.69)",,"(552.75, 380.14)",,"(585.21, 397.34)","(65.49, 395.11)","(674.91, 396.43)",,,,"(330.14, 394.75)",,"(61.77, 165.36)",,"(200.54, 396.13)",,,,,,"(471.68, 342.93)",,,"(316.82, 214.15)",,,,,,,,,,,,"(194.66, 291.89)","(730.21, 295.28)","(410.64, 357.88)",,"(299.56, 255.66)",,,,,,,,"(275.82, 390.18)","(556.65, 394.47)",,,,,,,,"(567.36, 346.03)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"(544.60, 288.02)","(707.18, 343.42)","(556.26, 274.69)",,"(188.45, 234.24)",,"(411.29, 236.04)","(467.32, 284.75)","(325.82, 333.32)","(676.16, 271.02)",,"(429.56, 289.65)","(270.54, 291.36)",,"(196.14, 263.20)",,"(662.72, 151.39)","(178.64, 257.00)","(418.70, 205.20)",,,,,"(418.31, 388.71)",,"(550.67, 380.33)",,"(584.97, 397.37)","(67.12, 395.26)","(674.80, 396.51)",,,,"(330.00, 394.55)",,"(61.62, 162.14)",,"(200.29, 396.16)",,,,,,"(471.89, 340.99)",,,"(315.45, 209.57)",,,,,,,,,,,,"(193.97, 287.47)","(730.53, 293.71)","(409.08, 354.97)",,"(300.23, 252.87)",,,,,,,,"(275.96, 387.90)","(556.66, 394.54)",,,,,,,,"(567.05, 343.25)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"(543.94, 285.24)","(707.18, 343.46)","(556.45, 271.50)",,"(188.41, 231.11)",,"(411.48, 233.34)","(467.67, 281.03)","(326.07, 331.66)","(676.70, 267.69)",,"(428.45, 286.93)","(270.50, 290.23)",,"(195.34, 260.42)",,"(662.83, 147.84)","(181.63, 253.87)","(416.74, 203.29)",,,,,"(421.08, 387.30)",,"(548.16, 381.10)",,"(584.85, 394.79)","(69.17, 395.28)","(673.84, 396.49)",,,,"(330.30, 394.30)",,"(61.34, 158.88)",,,,,,,,"(472.37, 338.67)",,,"(314.06, 205.10)",,,,,,,,,,,,"(192.45, 284.58)","(731.16, 292.14)","(406.73, 352.28)",,"(301.26, 250.05)",,,,,,,,"(276.14, 386.80)","(556.84, 394.85)",,,,,,,,"(566.52, 340.30)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"(543.51, 282.58)","(707.26, 343.49)","(557.35, 268.09)",,"(188.75, 227.65)",,"(411.76, 230.86)","(467.17, 277.00)","(326.37, 330.19)","(677.32, 264.22)",,"(428.41, 283.70)","(270.34, 289.36)",,"(194.59, 257.47)",,"(662.63, 143.88)","(183.65, 251.21)","(414.16, 201.29)",,,,,"(424.01, 386.03)",,"(546.54, 382.01)",,,"(70.60, 395.62)","(672.83, 396.57)",,,,,,"(60.68, 154.99)",,,,,,,,"(472.74, 336.35)",,,"(313.50, 201.18)",,,,,,,,,,,,"(191.30, 280.58)","(731.44, 290.10)","(405.48, 349.58)",,"(301.97, 247.53)",,,,,,,,"(276.34, 384.25)",,,,,,,,,"(565.96, 338.40)",,"(30.92, 395.76)","(689.88, 314.71)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"(543.29, 279.88)","(707.40, 343.56)","(557.84, 264.31)",,"(188.88, 224.19)",,"(412.19, 227.38)","(466.75, 273.13)","(326.44, 328.09)","(678.68, 261.26)",,"(427.31, 281.02)","(270.40, 288.31)",,"(194.24, 255.19)",,"(662.64, 139.97)","(186.27, 248.95)","(412.89, 199.60)",,,,,"(426.22, 385.21)",,"(544.20, 382.80)",,,"(69.94, 395.26)","(672.53, 396.53)",,,,,,"(60.25, 151.30)",,,,,,,,"(473.14, 333.73)",,,"(312.90, 196.92)",,,,,,,,,,,,"(189.52, 277.62)","(731.91, 289.12)","(404.46, 346.93)",,"(302.56, 244.56)",,,,,,,,"(276.57, 380.88)",,,,,,,,,"(567.01, 335.65)",,"(30.78, 395.86)","(690.55, 312.49)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"(542.46, 277.26)","(707.80, 343.14)","(558.68, 261.30)",,"(189.81, 220.29)",,"(413.34, 224.02)","(466.25, 269.77)","(326.66, 326.17)","(678.99, 257.72)",,"(427.09, 278.25)","(270.32, 287.34)",,"(193.98, 254.36)",,"(662.74, 136.08)","(188.32, 245.26)","(410.99, 197.47)",,,,,"(428.17, 384.79)",,"(542.34, 383.91)",,,"(68.68, 394.94)","(671.91, 396.22)",,,,,,"(59.99, 148.72)",,,,,,,,"(472.97, 331.73)",,,"(312.25, 192.82)",,,,,,,,,,,,"(188.12, 273.90)","(732.11, 287.50)","(403.75, 343.76)",,"(303.70, 242.32)",,,,,,,,"(277.29, 378.44)",,,,,,,,,"(565.98, 333.90)",,"(30.63, 395.96)","(691.50, 309.51)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"(542.64, 275.44)","(708.52, 343.01)","(559.19, 257.61)",,"(189.59, 218.13)",,"(413.85, 221.41)","(465.77, 266.54)","(326.60, 324.11)","(680.20, 254.58)",,"(426.65, 275.31)","(270.19, 286.67)",,"(193.70, 254.15)",,"(662.62, 132.04)","(189.79, 241.89)","(409.41, 194.35)",,,,,"(429.64, 384.60)",,"(540.85, 384.27)",,,"(68.07, 394.53)","(672.05, 396.31)",,,,,,"(59.80, 146.21)",,,,,,,,"(472.66, 329.85)",,,"(311.88, 188.72)",,,,,,,,,,,,"(186.71, 270.84)","(732.14, 286.31)","(403.28, 340.44)",,"(304.27, 239.41)",,,,,,,,"(278.34, 375.25)",,,,,,,,,"(565.23, 331.85)",,"(30.50, 395.96)","(691.81, 307.51)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"(542.34, 273.80)","(709.34, 342.17)","(559.46, 254.27)",,"(189.72, 216.81)",,"(414.51, 218.29)","(465.42, 263.21)","(327.26, 321.45)","(680.64, 250.75)",,"(426.21, 272.67)","(270.38, 285.93)",,"(193.86, 253.74)",,"(661.72, 127.60)","(191.11, 239.27)","(408.20, 191.68)",,,,,"(430.24, 384.51)",,"(539.46, 384.98)",,,"(67.50, 394.28)","(672.15, 396.32)",,,,,,"(59.95, 143.55)",,,,,,,,"(472.25, 328.83)",,,"(311.01, 185.56)",,,,,,,,,,,,"(185.81, 267.43)","(732.33, 285.04)","(403.07, 336.83)",,"(305.15, 237.26)",,,,,,,,"(278.96, 372.41)",,,,,,,,,"(564.99, 329.75)",,,"(691.79, 305.66)","(66.65, 319.57)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"(541.68, 271.29)","(709.62, 341.19)","(560.36, 250.39)",,"(191.05, 215.15)",,"(415.21, 216.39)","(465.24, 259.49)","(327.55, 318.64)","(681.53, 247.84)",,"(425.89, 269.46)","(270.32, 285.27)",,"(193.67, 253.69)",,"(661.97, 123.83)","(192.95, 236.23)","(407.18, 189.70)",,,,,"(430.40, 384.36)",,"(538.51, 385.05)",,,"(67.26, 393.79)",,,,,,,"(60.03, 140.31)",,,,,,,,"(471.28, 327.68)",,,"(310.49, 183.17)",,,,,,,,,,,,"(184.88, 264.73)","(733.07, 283.57)","(402.60, 333.52)",,"(305.99, 234.70)",,,,,,,,"(279.32, 369.31)",,,,,,,,,"(563.77, 327.84)",,,"(691.59, 302.52)","(68.55, 317.38)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"(541.52, 268.16)","(710.04, 340.42)","(560.73, 247.27)",,"(191.65, 213.00)",,"(415.28, 213.98)","(465.27, 255.82)","(328.37, 316.11)","(682.73, 244.11)",,"(424.96, 266.24)","(270.19, 284.40)",,"(193.53, 253.78)",,"(661.97, 120.01)","(194.61, 233.83)","(406.72, 187.00)",,,,,"(430.52, 384.41)",,"(537.39, 385.98)",,,"(67.43, 393.67)",,,,,,,"(60.22, 136.93)",,,,,,,,"(469.84, 326.63)",,,"(310.04, 181.09)",,,,,,,,,,,,"(184.50, 262.11)","(732.79, 282.03)","(402.81, 330.56)",,"(307.10, 231.83)",,,,,,,,"(280.67, 366.24)",,,,,,,,,"(563.16, 326.19)",,,"(690.04, 300.52)","(69.60, 315.68)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"(540.63, 265.64)","(710.92, 339.25)","(561.28, 243.16)",,"(192.43, 211.22)",,"(416.31, 211.24)","(465.06, 252.02)","(328.70, 314.29)","(683.33, 240.94)","(194.42, 397.10)","(424.81, 263.14)","(270.18, 283.66)",,"(193.48, 254.13)",,"(661.63, 115.65)","(196.01, 230.71)","(405.25, 184.34)",,,,,"(431.04, 384.13)",,"(536.44, 386.93)",,,"(67.36, 393.02)",,,,,,,"(60.32, 133.16)",,,,,,,,"(469.01, 325.97)",,,"(309.44, 179.10)",,,,,,,,,,,,"(185.24, 259.87)","(732.83, 281.58)","(402.64, 329.67)",,"(308.54, 228.95)",,,,,,,,"(282.33, 362.82)",,,,,,,,,"(562.23, 323.86)",,,"(688.90, 298.32)","(70.41, 314.93)",,"(693.22, 398.56)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"(540.55, 263.69)","(711.47, 339.01)","(561.69, 239.59)",,"(192.41, 209.34)",,"(416.72, 208.56)","(464.98, 248.39)","(329.35, 312.23)","(683.54, 237.63)","(194.80, 396.87)","(424.04, 260.31)","(270.21, 282.85)",,"(193.47, 253.99)",,"(662.40, 112.38)","(197.20, 228.60)","(404.67, 181.11)",,,,,"(433.43, 383.58)",,"(535.35, 388.05)",,,"(67.49, 392.86)",,,,,,,"(60.17, 130.08)",,,,,,,,"(467.90, 324.50)",,,"(308.70, 176.21)",,,,,,,,,,,,"(186.74, 256.34)","(733.32, 279.80)","(403.44, 329.40)",,"(310.85, 226.69)",,,,,,,,"(283.81, 359.27)",,,,,,,,,"(560.91, 321.68)",,,"(687.30, 295.60)","(71.24, 313.83)",,"(693.74, 398.67)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"(540.32, 261.49)","(711.95, 338.40)","(561.87, 236.03)",,"(193.13, 206.83)",,"(417.16, 205.61)","(465.15, 244.67)","(329.89, 310.62)","(683.99, 234.60)","(194.68, 396.62)","(424.19, 257.57)","(270.48, 281.67)",,"(193.48, 254.01)",,"(662.33, 109.42)","(198.72, 225.38)","(404.23, 178.85)","(558.17, 395.18)",,"(339.95, 395.58)",,"(436.53, 382.94)",,"(534.34, 389.76)",,,"(68.27, 392.14)",,,,,,,"(60.03, 126.80)",,,,,,,,"(466.69, 322.72)",,,"(306.54, 172.58)",,,,,,,,,,,,"(187.66, 253.04)","(733.24, 278.96)","(404.12, 328.35)",,"(312.66, 224.63)",,,,,,,,"(286.11, 356.48)",,,,,,,,,"(559.51, 319.02)",,,"(685.92, 293.26)","(72.13, 312.05)",,"(694.40, 398.12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"(540.21, 258.34)","(712.59, 337.49)","(562.06, 232.57)",,"(193.09, 204.03)",,"(418.17, 202.24)","(465.44, 241.62)","(330.60, 308.41)","(684.29, 230.24)","(194.76, 396.25)","(423.95, 254.84)","(270.36, 280.16)",,"(194.27, 253.80)",,"(662.55, 107.16)","(200.08, 221.82)","(403.84, 175.19)","(558.35, 395.10)",,"(339.65, 395.73)",,"(440.52, 383.68)",,"(533.56, 392.35)",,,"(68.81, 390.76)",,,,,,,"(59.90, 123.02)",,,,,,,,"(465.74, 320.58)",,,"(305.69, 169.30)",,,,,,,,,,,,"(187.58, 249.89)","(733.16, 277.94)","(405.10, 327.45)",,"(313.88, 222.57)",,,,,,,,"(287.92, 353.78)",,,,,,,,,"(558.44, 316.54)",,,"(684.19, 290.53)","(73.03, 309.75)",,"(694.81, 398.16)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"(540.10, 255.65)","(712.96, 336.53)","(562.01, 228.99)",,"(193.24, 200.67)",,"(418.87, 198.97)","(465.55, 238.00)","(331.02, 306.76)","(684.68, 227.54)","(195.58, 395.95)","(423.50, 252.00)","(270.40, 278.10)",,"(195.62, 253.08)",,"(663.12, 104.39)","(199.92, 217.99)","(403.01, 171.73)",,,"(339.24, 395.18)",,"(444.54, 384.27)",,"(533.11, 394.53)",,,"(69.36, 390.29)",,,,,,,"(60.49, 120.02)",,,,,,,,"(464.39, 317.92)",,,"(303.65, 166.15)",,,,,,,,,,,,"(187.29, 247.73)","(733.32, 277.35)","(405.71, 326.20)",,"(315.76, 220.39)",,,,,,,,"(289.97, 351.26)",,,,,,,,,"(557.54, 313.80)",,,"(682.57, 287.68)","(74.56, 307.56)",,"(695.55, 398.28)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"(539.85, 254.24)","(713.12, 336.34)","(562.02, 225.95)",,"(193.50, 197.58)",,"(419.76, 195.87)","(465.83, 234.64)","(331.49, 304.51)","(684.70, 223.62)","(195.78, 395.26)","(423.19, 248.93)","(270.53, 276.69)",,"(197.05, 251.05)",,"(664.09, 102.16)","(200.15, 214.32)","(402.66, 168.39)",,,"(338.02, 394.79)",,"(447.94, 385.36)",,"(533.07, 395.34)",,,"(69.76, 389.51)",,,,,,,"(60.98, 116.29)",,,,,,,,"(462.95, 315.88)",,,"(302.38, 162.71)",,,,,,,,,,,,"(186.45, 243.75)","(733.36, 276.20)","(407.39, 324.33)",,"(316.47, 218.24)",,,,,,,,"(291.73, 349.30)",,,,,,,,,"(556.28, 311.79)",,,"(680.97, 284.95)","(75.26, 305.41)",,"(696.16, 398.37)","(304.36, 396.41)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"(539.71, 253.37)","(713.04, 336.28)","(562.63, 222.61)",,"(193.35, 194.37)",,"(420.09, 193.31)","(466.01, 230.62)","(331.68, 302.67)","(685.15, 220.03)","(195.19, 394.62)","(422.44, 246.46)","(270.44, 275.34)",,"(198.58, 249.24)",,"(664.24, 99.30)","(200.49, 210.76)","(402.66, 164.85)",,,"(337.48, 394.64)",,"(451.43, 386.50)",,"(533.17, 396.12)",,,"(69.94, 388.81)",,,,,,,"(61.41, 113.29)",,,,,,,,"(460.88, 313.63)",,,"(301.43, 159.30)",,,,,,,,,,,,"(185.75, 240.42)","(733.30, 274.60)","(407.93, 322.26)",,"(317.42, 216.16)",,,,,,,,"(295.32, 347.03)",,,,,,,,,"(555.19, 309.56)",,,"(680.20, 282.58)","(76.16, 303.03)",,"(696.06, 398.45)",,"(546.27, 292.61)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"(539.71, 252.55)","(714.29, 333.71)","(562.56, 219.36)",,"(193.53, 191.28)",,"(420.45, 190.80)","(466.02, 226.99)","(331.90, 300.90)","(685.08, 216.27)","(194.75, 394.57)","(422.52, 243.31)","(270.41, 274.01)",,"(200.38, 247.27)",,"(665.94, 96.98)","(201.14, 207.38)","(402.42, 161.46)",,,"(336.80, 394.75)",,"(454.36, 387.61)",,"(532.94, 396.48)",,,"(69.53, 388.50)",,,,,,,"(61.78, 109.60)",,,,,,,,"(459.22, 311.52)",,,"(300.69, 155.99)",,,,,,,,,,,,"(185.12, 236.67)","(733.13, 273.75)","(408.41, 319.43)",,"(318.23, 213.66)",,,,,,,,"(296.15, 345.00)",,,,,,,,,"(553.68, 306.81)",,,"(679.22, 279.98)","(76.56, 301.68)",,,,"(546.40, 289.39)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"(539.73, 251.93)",,"(563.63, 216.02)",,"(193.52, 187.81)",,"(420.82, 187.80)","(466.04, 224.10)","(332.11, 299.95)","(685.60, 213.20)","(194.36, 394.81)","(422.06, 240.14)","(270.41, 272.67)",,"(201.72, 245.59)",,"(666.46, 94.76)","(201.56, 204.05)","(402.32, 157.86)",,,"(336.08, 395.16)",,"(457.53, 387.97)",,"(532.74, 396.32)",,,"(69.80, 388.22)",,,,,,,"(62.57, 106.17)",,,,,,,,"(457.20, 310.58)",,,"(299.25, 153.07)",,,,,,,,,,,,"(183.83, 233.59)","(733.16, 272.50)","(409.24, 316.00)",,"(317.69, 211.20)",,,,,,,,"(298.26, 342.64)",,,,,,,,,"(552.47, 304.64)",,,"(678.15, 277.35)","(77.08, 300.22)",,,,"(546.49, 285.54)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"(539.56, 251.44)",,"(563.72, 212.47)",,"(193.36, 184.28)",,"(421.02, 185.07)","(466.82, 221.35)","(332.56, 299.07)","(685.75, 209.39)","(192.87, 395.29)","(421.91, 237.18)","(270.26, 271.03)",,"(203.60, 243.09)",,"(667.47, 92.09)","(201.79, 200.26)","(402.02, 154.01)",,,"(335.52, 394.82)",,"(460.98, 388.55)",,"(532.71, 396.50)",,,"(70.48, 386.68)",,,,,,,"(62.57, 102.66)",,,,,,,,"(455.10, 309.90)",,,"(297.89, 149.78)",,,,,,,,,,,,"(182.90, 229.95)","(733.46, 271.06)","(409.92, 313.49)",,"(316.36, 208.54)",,,,,,,,"(300.09, 340.07)",,,,,,,,,"(551.53, 302.66)",,,"(677.41, 274.26)","(78.12, 298.31)",,,,"(546.81, 280.96)","(664.41, 339.92)","(23.88, 325.79)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"(539.63, 251.40)",,"(564.32, 208.93)",,"(193.12, 180.74)",,"(421.74, 182.22)","(467.16, 218.10)","(333.01, 297.77)","(686.57, 205.66)","(192.44, 395.58)","(421.56, 233.98)","(270.39, 269.43)",,"(204.36, 240.83)",,"(668.13, 89.26)","(203.02, 197.27)","(401.91, 150.85)",,,"(334.72, 394.55)",,"(463.30, 389.01)",,"(532.68, 396.39)",,,"(71.12, 383.66)",,,,,,,"(63.18, 99.22)",,,,,,,,"(452.87, 308.95)",,,"(296.03, 146.83)",,,,,,,,,,,,"(181.09, 225.84)","(733.39, 271.25)","(410.45, 310.65)",,"(315.61, 206.34)",,,,,,,,"(301.98, 337.36)",,,,,,,,,"(550.51, 300.77)",,,"(677.06, 271.95)","(78.85, 295.72)",,,,"(546.84, 276.60)","(664.30, 335.86)","(23.67, 321.89)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"(539.74, 251.27)",,"(564.48, 205.50)",,"(192.97, 177.50)",,"(422.30, 179.17)","(468.07, 214.27)","(333.29, 296.24)","(686.74, 202.18)","(191.59, 395.97)","(421.42, 231.41)","(270.45, 267.39)",,"(205.92, 238.12)",,"(668.76, 85.89)","(203.88, 194.29)","(401.97, 147.23)",,,"(333.86, 394.52)",,"(465.83, 389.60)",,"(532.53, 395.44)",,,"(71.81, 380.97)",,,,,,,"(63.23, 95.17)",,,,,,,,"(450.45, 307.35)",,,"(295.41, 144.98)",,,,,,,,,,,,"(180.24, 222.15)","(733.51, 271.16)","(411.69, 307.60)",,"(314.99, 203.75)",,,,,,,,"(303.90, 334.41)",,,,,,,,,"(549.87, 298.62)",,,"(677.12, 269.15)","(79.14, 293.37)",,,,"(547.91, 272.51)","(663.82, 331.28)","(23.50, 319.02)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"(539.77, 251.34)",,"(564.56, 202.27)",,"(192.38, 173.97)",,"(422.61, 176.17)","(468.10, 210.80)","(333.52, 295.14)","(687.25, 198.87)","(191.53, 395.94)","(421.23, 228.36)","(270.60, 265.00)",,"(207.05, 235.78)",,"(668.81, 82.53)","(203.92, 191.54)","(401.98, 143.98)",,,"(332.47, 394.55)",,"(468.22, 389.81)",,"(532.12, 394.62)",,,"(72.17, 377.53)",,,,,,,"(63.11, 91.93)",,,,,,,,"(448.27, 305.73)",,,"(294.48, 142.90)",,,,,,,,,,,,"(178.51, 218.22)","(733.53, 271.15)","(413.68, 303.74)",,"(314.38, 201.19)",,,,,,,,"(305.02, 332.46)",,,,,,,,,"(548.32, 295.95)",,,"(676.70, 267.04)","(79.46, 290.99)",,,,"(547.94, 268.43)","(663.93, 327.10)","(22.89, 315.92)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
