y,x,mass,size,ecc,signal,raw_mass,ep,frame,t,True_particle,vial
11.91,24.84,125,75230,0.452,12.77,125,0.0,0,0.0,False,0.0
358.1,473.93,1098,75230,0.507,92.03,1098,0.0,0,0.0,True,4.0
355.9,154.47,139,75230,0.415,12.33,139,0.0,0,0.0,False,0.0
353.98,290.68,155,75230,0.523,14.97,155,0.0,0,0.0,False,0.0
354.38,229.19,1077,75230,0.304,94.24,1077,0.0,0,0.0,True,2.0
350.0,23.89,162,75230,0.515,15.41,162,0.0,0,0.0,False,0.0
346.24,91.08,863,75230,0.471,85.43,863,0.0,0,0.0,True,1.0
344.95,154.22,134,75230,0.503,13.65,134,0.0,0,0.0,False,0.0
338.98,640.67,147,75230,0.511,13.65,147,0.1,0,0.0,False,0.0
333.0,290.7,145,75230,0.522,13.65,145,0.1,0,0.0,False,0.0
329.87,624.98,1011,75230,0.371,91.15,1011,0.0,0,0.0,True,5.0
327.98,24.1,203,75230,0.536,19.82,203,0.0,0,0.0,False,0.0
323.98,154.43,109,75230,0.409,9.25,109,0.0,0,0.0,False,0.0
359.25,596.07,944,75230,0.357,90.27,944,0.0,0,0.0,True,5.0
323.13,763.79,1004,75230,0.427,104.36,1004,0.0,0,0.0,True,6.0
315.18,434.11,1113,75230,0.326,94.24,1113,0.0,0,0.0,True,4.0
314.01,24.15,200,75230,0.542,19.82,200,0.0,0,0.0,False,0.0
312.01,640.2,118,75230,0.383,9.69,118,0.0,0,0.0,False,0.0
307.98,311.69,919,75230,0.454,89.83,919,0.0,0,0.0,True,3.0
307.01,507.92,105,75230,0.514,10.57,105,0.1,0,0.0,False,0.0
305.05,290.72,179,75230,0.51,18.05,179,0.0,0,0.0,False,0.0
303.99,24.11,214,75230,0.535,20.26,214,0.0,0,0.0,False,0.0
301.06,155.21,143,75230,0.304,12.33,143,0.0,0,0.0,False,0.0
296.01,507.86,118,75230,0.539,11.89,118,0.1,0,0.0,False,0.0
292.03,290.87,161,75230,0.525,15.85,161,0.1,0,0.0,False,0.0
292.02,155.16,132,75230,0.376,10.13,132,0.0,0,0.0,False,0.0
292.0,24.09,172,75230,0.552,16.73,172,0.0,0,0.0,False,0.0
320.2,217.06,1088,75230,0.366,92.47,1088,0.0,0,0.0,True,2.0
358.89,744.06,1027,75230,0.404,87.19,1027,0.0,0,0.0,True,6.0
359.98,640.38,170,75230,0.472,15.41,170,0.0,0,0.0,False,0.0
