08.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,003-converted,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
08.02.24,NEG-008,hTDP43,WT,m,9d,003-converte,2024-02-08_1,47,97,2.27,6.3645,0.9785,0,0.0678
08.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,003-converte,2024-02-08_all,47,97,2.27,6.3645,0.9785,0,0.0678
