08.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,002-converted,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
08.02.24,NEG-008,hTDP43,WT ,m,9d,002-converte,2024-02-08_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_9d__1,2,52,2.9737,1.6625,0.9541,0,0.132
08.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,002-converte,2024-02-08_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_9d__all,2,52,2.9737,1.6625,0.9541,0,0.132
