frame,x1,y1,x2,y2,conf
0,24.0,432.0,29.0,442.0,0.8505160808563232
0,415.0,424.0,420.0,433.0,0.8461668491363525
0,381.0,360.0,387.0,366.0,0.840135395526886
0,272.0,421.0,276.0,431.0,0.8385981321334839
0,250.0,439.0,257.0,444.0,0.8307974934577942
0,124.0,435.0,131.0,445.0,0.8285427689552307
0,63.0,440.0,71.0,445.0,0.8263001441955566
0,308.0,435.0,315.0,439.0,0.8159521222114563
0,503.0,415.0,508.0,422.0,0.8155518174171448
0,552.0,410.0,558.0,416.0,0.8079189658164978
0,51.0,404.0,59.0,409.0,0.8065563440322876
0,426.0,441.0,431.0,446.0,0.7939939498901367
0,156.0,437.0,162.0,443.0,0.7938507199287415
0,681.0,428.0,685.0,436.0,0.793416440486908
0,546.0,441.0,552.0,446.0,0.7923725247383118
0,165.0,436.0,172.0,442.0,0.7852108478546143
0,534.0,441.0,540.0,446.0,0.7839344143867493
0,33.0,438.0,41.0,443.0,0.7837918996810913
0,558.0,386.0,563.0,393.0,0.7818174362182617
0,290.0,441.0,300.0,446.0,0.7815223932266235
0,508.0,441.0,512.0,445.0,0.7714963555335999
0,175.0,435.0,180.0,442.0,0.76951664686203
0,527.0,440.0,533.0,445.0,0.7666676044464111
0,658.0,440.0,664.0,444.0,0.7628182172775269
0,618.0,445.0,626.0,449.0,0.7610189318656921
0,46.0,439.0,52.0,443.0,0.7561778426170349
0,407.0,441.0,411.0,446.0,0.7341947555541992
0,181.0,440.0,186.0,445.0,0.7261682152748108
0,413.0,440.0,418.0,445.0,0.7226408123970032
0,672.0,443.0,676.0,447.0,0.6846716403961182
0,635.0,443.0,640.0,447.0,0.6670870780944824
0,626.0,442.0,632.0,446.0,0.6431869268417358
0,284.0,433.0,292.0,440.0,0.4655565321445465
1,272.0,421.0,277.0,430.0,0.8496782183647156
1,415.0,423.0,419.0,433.0,0.8409907817840576
1,382.0,359.0,388.0,365.0,0.8387897610664368
1,124.0,437.0,130.0,445.0,0.8320375084877014
1,63.0,440.0,71.0,445.0,0.8300213813781738
1,250.0,439.0,257.0,444.0,0.8299331068992615
1,554.0,419.0,561.0,422.0,0.8260778188705444
1,24.0,432.0,29.0,441.0,0.8255875110626221
1,502.0,415.0,508.0,422.0,0.8248132467269897
1,53.0,403.0,60.0,408.0,0.8184847831726074
1,426.0,441.0,431.0,446.0,0.8134348392486572
1,308.0,435.0,314.0,439.0,0.8123390674591064
1,155.0,437.0,161.0,443.0,0.8071416616439819
1,14.0,410.0,19.0,416.0,0.7975786328315735
1,164.0,435.0,170.0,442.0,0.7965350151062012
1,680.0,426.0,684.0,435.0,0.7914581298828125
1,285.0,432.0,292.0,437.0,0.7879761457443237
1,33.0,438.0,40.0,443.0,0.7807193994522095
1,291.0,441.0,300.0,446.0,0.7787637710571289
1,546.0,441.0,552.0,446.0,0.7787081003189087
