,id11,id144,id15,id18,id221,id286,id292,id317,id32,id38,id39,id40,id42,id43,id5,id51,id59,id70,id73,id79,id99
id11,,67.19552302874744,,,11.458317721626134,132.3944042671825,103.43337040806158,26.729906635503664,,,,,,,,,,,,,23.194839904167083
id144,,,,,23.711897606578788,68.21160000923766,66.56580737689754,61.732429497922865,,,,,,,,,,,,,48.55904722910928
id15,,,,,,192.90492341416348,162.72804250956705,17.71563507155595,,,,,,,,,,,,,186.2884172132956
id18,,,,,84.79856627437046,11.40296564012503,15.093101920864285,71.8692720148802,,,,,,,,,,,,,40.178557504801454
id221,,,,,,15.55119953158615,6.959462558701044,77.1502958838818,,,,,,,,,,,,,7.953533308864441
id286,,,,,,,14.367971003897056,163.1464032817307,,,,,,,,,,,,,
id292,,,,,,,,,,,,,,,,,,,,,
id317,,,,,,,,,,,,,,,,,,,,,
id32,,98.9748998728139,,,11.226723412956947,83.32825583440942,11.989838851421952,22.018632188099257,,,,,,,,,,19.424708386094984,22.93614591725182,3.954525323455094,195.70532280107219
id38,,16.945447727794082,,,27.777108091974267,17.255035488580706,8.048291194463495,133.15641629924107,,,,,,,,,,,,,10.744575538668068
id39,,367.10106463038653,,,5306.183233440175,10967.87501106791,13317.939776867686,18080.933565127416,,,,,,,,5.096176799084138,14.517790293106314,19.81099665149637,23.69149295588336,10.59141337121638,8643.247412684148
id40,,21.79520905209611,,,114.94795117122392,321.65102925141736,552.4528274263316,1354.287593824496,,,,,,,,,,,,,103.85404432816863
id42,,42.76250634899585,,,245.48418837727527,1361.4701991450409,1917.0956091682338,3122.7195416865707,,,,,,,,4.374724831136077,11.698491715867105,21.89325978571761,24.801775175286625,20.29387292163263,838.2671247365691
id43,,,,,4.247405188041623,67.7546019072214,88.53707142346508,18.678089455550772,,,,,,,,,,,,,42.48679829690589
id5,,,,,62.02766322665387,60.20273571436345,100.49365748268058,16.457065222486563,,,,,,,,,,,,,34.52719989239017
id51,,6.707981567337514,,,23.690361917908465,4.590466941855756,10.251289380053452,159.60204765971292,,,,,,,,,8.309614156535577,20.61924465153852,23.683104209541437,12.838655402606262,21.911615565116385
id59,,,,,131.58033394312378,59.557404405669566,30.70555002288612,147.11321695590266,,,,,,,,,,,,,89.6257209447562
id70,,20.427050834247467,,,13.045928104200708,24.21135649488533,16.42386163160943,144.12428486850078,,,,,,,,,,,3.609920359232303,16.80936653248784,19.950504324630835
id73,,23.91979312191368,,,15.564134463367996,27.46795687063828,18.349416722955148,140.5652624638019,,,,,,,,,,,,20.413901134159833,23.1419025202447
id79,,,,,,,,,,,,,,,,,,,,,
id99,,,,,,23.792050810736296,29.975683508460428,158.63264462546724,,,,,,,,,,,,,
