,id1,id107,id120,id164,id192,id20,id257,id26,id264,id270,id271,id28,id3,id52,id56,id72,id81
id1,,,,55.35282804057996,57.12592907151269,,168.15883812976847,,107.27479435591798,185.8198825010389,184.72964800371193,,,,,,
id107,,,,,4.805323877999046,,15.06237470563719,,79.761428565911,27.87966684793347,29.754773580904033,,,,,,
id120,,,,,,,,,,,,,,,,,
id164,,,,,,,,,,8.912519238644744,2.149362330490439,,,,,,
id192,,,,,,,26.128294878277185,,46.9091481536652,47.38813237222795,51.498732573099026,,,,,,
id20,,52.11152527176143,25.737953575288604,115.82610477862434,94.89721662731432,,64.15794073472598,,33.824177147254815,44.223915000100895,44.43403392203457,,,,,,
id257,,,,,,,,,72.34913580066588,16.02892011782227,23.030098353212765,,,,,,
id26,,,,,,,,,,8.583893660322255,15.93881996595323,,,,,,
id264,,,,,,,,,,,,,,,,,
id270,,,,,,,,,,,,,,,,,
id271,,,,,,,,,,,,,,,,,
id28,,50.04818352868211,16.982519213620957,27.832554687133158,20.70691630125068,,30.65184074003917,,29.6927852713936,151.56086392080607,158.80873194759945,,,,,,
id3,,,,50.317058470850576,48.23015576568928,,126.6505160278525,,76.82470552203158,165.15696128866162,166.78800275531083,,,,,,
id52,,18.443533560215705,65.62277373585012,77.14085115997244,12.919717120821298,,85.13012033491577,,73.2301587819919,42.529797316182055,33.998550899374756,,,,,,13.269313322669856
id56,,26.523325386355882,83.45353896625238,28.206046084222653,135.29531551141505,,26.360585725787764,,100.42385932976913,46.70743449660133,23.001853425570612,,,,,,12.25775506271754
id72,,59.206263059528645,24.789313072438492,29.101705798820355,6.327470273347031,,74.24536338532151,,81.26072701410399,171.99182563585725,161.69993218900268,,,,,,
id81,,,,,,,11.892559920626313,,68.34746624691735,16.754685611036297,11.229605037067836,,,,,,
