,id113,id117,id14,id148,id154,id161,id170,id227,id229,id266,id269,id27,id283,id29,id301,id313,id318,id36,id4,id41,id46,id48,id55,id57,id62,id67,id75,id76,id77,id92,id96
id113,,26.237680230092103,,41.16750759951989,21.21319952960099,50.12958345490926,47.42952855865992,12.798272907993379,53.927113754143676,169.3019350592201,187.49766863589483,,27.1810526918255,,104.17432104565125,134.69390210254696,15.981835003730167,,,,,,,,,,,,,,
id117,,,,42.15999590994403,31.745666395751908,51.87352741795335,54.85656550558798,127.43373405209334,115.09802535120068,177.6803487474804,177.49728274196877,,61.3659936591698,,90.92997881952749,31.410945463953222,144.27144155007838,,,,,,,,,,,,,,
id14,52.65406843861943,75.14949043327998,,82.7932038876014,66.99200770829069,61.78662452569682,162.1190867469297,72.28223094794173,55.88956497056119,177.3181363686728,184.6315713939803,,109.55452649872129,,116.56403107716467,22.59909596298417,52.02227040808056,,,,10.070943819775488,43.08536207096867,16.81510824339477,64.07572062672071,73.21616676868538,69.73473019346358,44.975105908677165,15.438524389688386,32.869384636024556,6.985074950455116,42.57117866951593
id148,,,,,,,,,,101.75183396116118,106.49288200043937,,56.36665716351747,,61.629282963925206,42.39019404137702,17.62669548357187,,,,,,,,,,,,,,
id154,,,,5.641032364280887,,,,18.411105698002448,8.462473240534745,27.67144255390821,29.677912067085273,,37.108908727774484,,80.36930905161218,89.87596276964462,150.23605744218622,,,,,,,,,,,,,,
id161,,,,13.703836254674039,,,,12.700894928447946,24.457838422689626,67.13873273679106,71.74138098141552,,39.91749200863566,,71.34160514410868,176.72769250147985,136.46969048765442,,,,,,,,,,,,,,
id170,,,,57.352809335843766,,,,95.70278594459403,98.6498434686134,81.98941134487181,89.2728579205611,,56.25144258670123,,109.56375825373097,25.058274631588997,43.63719411314695,,,,,,,,,,,,,,
id227,,,,,,,,,,,,,15.36214020388384,,36.66292765801068,68.76551661687739,47.45660136400091,,,,,,,,,,,,,,
id229,,,,,,,,,,75.38860944080788,79.19215299707687,,74.5660985169118,,37.31242327762807,9.78174110550455,32.73256135395509,,,,,,,,,,,,,,
id266,,,,,,,,,,,,,54.42477322531797,,65.179288772491,144.08844172512525,43.78418219199513,,,,,,,,,,,,,,
id269,,,,,,,,,,,,,31.30111240280086,,17.594534155130862,26.80357722425881,6.070063004097646,,,,,,,,,,,,,,
id27,,75.17134605765946,,86.07245330775815,67.32058130282668,62.639534853096016,163.09510333087783,72.75273395163545,65.1800361966561,180.10323081673874,185.5847208179669,,107.72994139247967,,115.89330026072456,15.066818117300317,43.55779473475344,,,,,,,,,,,,,,
id283,,,,,,,,,,,,,,,13.537913626886255,92.9844417619199,66.8092604557572,,,,,,,,,,,,,,
id29,,,,88.4807777210643,,,,,93.06977720322334,25.299470744705403,19.585854007528262,,58.45488991886843,,36.139090637497375,77.52967459317901,45.1767092297915,,,,,,,,,,,,,,
id301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id36,,114.37390328102792,,52.20252546037135,78.55866310481215,75.99445160312722,40.604280011146514,50.94157726883155,57.11164534873649,69.56128992006039,71.9970040067829,,91.16641015210621,,34.18778538599967,35.56121277006405,27.418597504372567,,,,,,,,,,,,,,
id4,160.86619032421348,107.46902684401083,,33.27235636509006,130.34960205019826,58.01052633900353,163.41130657968196,94.96009815748194,18.89001079398223,2.18114616260995,45.08576288061625,,52.74438273177193,,29.110459394194507,41.68084119329245,56.45781558736145,,,,,20.796802017029293,32.97719397360025,40.70356821329431,46.187207379005045,43.45616817761977,24.69302303396817,36.52753739305265,19.291192974011633,101.14917414778495,81.79577853395563
