,id10,id100,id112,id125,id129,id156,id17,id2,id203,id235,id239,id25,id253,id30,id31,id53,id6,id60,id64,id65,id66,id68,id69,id74,id78,id93
id10,,,,,,96.17100039631974,,,42.338358105028654,66.87157571685692,50.12840579349718,,84.7146737539803,,,,,,,,,,,,,
id100,,,33.79179871560114,84.66783632711935,65.20200684972868,93.31686173608102,,,102.56117372937682,110.05750313791653,74.64780671505197,,79.55180355341817,,,,,,,,,,,,,
id112,,,,,,25.359552797429313,,,,28.073090156665295,56.53522747329859,,25.573627000795152,,,,,,,,,,,,,
id125,,,,,,29.795899749460467,,,,33.23844444827981,4.589662061026576,,18.23756170848076,,,,,,,,,,,,,
id129,,,,,,43.25002461773823,,,,19.652940967991704,30.86892175510081,,31.652954834760582,,,,,,,,,,,,,
id156,,,,,,,,,,,,,,,,,,,,,,,,,,
id17,,,,,,17.226137234135663,,,111.57003237165277,49.82816558727781,15.85155235435679,,11.224100283794527,,,,,,,,,,,,,
id2,,,26.592458639279673,37.75367353514447,33.03396398196915,115.1999234150782,,,45.06897723920418,18.55372029634914,15.326926199747,,110.51739866767002,,,,,,,,,,,,,
id203,,,,,,48.05302992003677,,,,47.54171849891197,18.961419828839368,,36.513872947535425,,,,,,,,,,,,,
id235,,,,,,37.14727909007643,,,,,25.1489036948487,,28.510049072232793,,,,,,,,,,,,,
id239,,,,,,,,,,,,,,,,,,,,,,,,,,
id25,,7.713474403744109,29.688750120511276,79.88630166283949,52.77474487117569,12.875609375620527,,,43.85843529652398,31.93836434950505,27.50493649745421,,26.673367707498254,,,,,,16.496363862455407,14.801290476068973,15.583200501433543,13.581165439164737,11.475581657528348,9.588860264874505,15.03421815912892,45.32982425111318
id253,,,,,,,,,,,,,,,,,,,,,,,,,,
id30,,10.440456676964775,29.879684094664423,82.3178283335198,61.057125758542234,184.4636754707284,,,137.80133545966504,183.71245201478627,155.56986092665832,,172.04613801685787,,,,,,,,,,,,,
id31,,20.237644328171545,38.105025784754105,66.51153275406976,47.411225885512344,50.66423912540699,,,8.86440605840959,4.512203641925264,31.621571556085716,,40.47900874758244,,,7.49577796510558,,29.216972451166512,22.319654174227512,14.351383171187106,15.255977364021241,16.076067339000787,15.786279123648512,16.015357087821688,22.8429008448059,50.08299884114987
id53,,14.289342280114699,34.4759066932031,71.33394450059195,58.146430612650235,176.3299260925633,,,127.91165080153976,173.52722966264773,147.5019104509832,,163.6242265850186,,,,,21.745744893788594,17.962846311627747,6.796155163031534,7.694218608799743,9.061000220726187,10.031562689830547,12.3821777163793,22.416465488564445,37.27652780344668
id6,,43.390883483125634,22.874232327074356,16.389359681244127,30.043170202806966,46.82180159645522,,,16.02136345054718,134.92390356668417,76.43235862700486,,26.094784581034272,,,,,,,,,,,,,7.487894239465417
id60,,,,,,,,,,,,,,,,,,,,,,,,,,
id64,,55.521411207493415,38.26276215807341,23.909384400895323,33.0302083323466,143.01148635662125,,,36.152314628019774,165.44799080095225,154.20113529674606,,126.28580121718196,,,,,,,,,,,,,21.60985074820509
id65,,19.191834658053928,31.19332587605238,64.53863911201258,52.33923581238417,169.7026145715814,,,121.46623965591601,166.88916225699515,140.993898820922,,156.991950736098,,,,,,,,,6.104297666398629,9.57541252375059,14.051565749054427,25.52287797251713,31.39140778146787
id66,,19.85075320275283,30.729259103062546,63.64399617635939,51.52079063359147,168.80024026611383,,,120.57703797427295,165.98622734180435,140.099537679573,,156.08933919314694,,,,,,,,,6.059573004758686,9.752233077608446,14.389531785294492,25.935616919595372,30.572672361324923
id68,,16.25202521272393,25.761404390103902,65.02714653872987,49.35324000639539,168.52693529022244,,,119.7149659886474,165.7594275229539,139.4136554622109,,155.84315462157292,,,,,,,,,,4.050719071967336,9.069335697833656,20.69340595455471,28.62546868385464
id69,,12.929981382488737,24.66449024105521,68.0479546193088,50.45544734236788,170.56852488484904,,,121.44979657180045,167.82939551865812,141.23416370844518,,157.90825277020346,,,,,,,,,,,5.052289085157349,16.648922637816558,30.137942257306985
id74,,8.913180169015327,25.06949577979173,72.43808198738269,53.01184076869035,173.91032025329454,,,124.49691972625827,171.20275501603493,144.3562456427345,,161.28139898589367,,,,,,,,,,,,11.641391669383877,33.32770507623906
id78,,9.921281040782928,27.892345939618583,81.94938450092486,58.66300347765423,180.4992035532737,,,130.52108164850884,177.8752436411057,150.48581043670347,,167.97508477223775,,,,,,,,,,,,,40.92616523024817
id93,,,,,,13.265682695898523,,,15.45398794682879,20.79339364030312,36.12343694131826,,8.225914213937093,,,,,,,,,,,,,
