,id12,id19,id23,id24,id302,id315,id35,id44,id49,id61,id7,id8
id12,,,,,3.9208428879165425,9.427959988449182,,,,,,
id19,,,,,57.88120169208403,54.918103325674615,,,,,,
id23,,,,,156.0920486658188,141.8746260915569,,,8.818843280054926,10.05317940672832,,
id24,,,,,18.30254329344342,15.935672031880621,,,,,,
id302,,,,,,,,,,,,
id315,,,,,,,,,,,,
id35,,,,,162.7007391446169,166.9249191368261,,10.505919521308348,14.548990514808915,17.587686839238295,,
id44,,,,,133.99101569465014,131.27436146923807,,,,,,
id49,,,,,173.62669525392485,177.88757892926037,,,,8.60358322505159,,
id61,,,,,111.51162833701095,121.74611222889902,,,,,,
id7,,,,,8.65713467208262,12.60375281349884,,,,,,
id8,,,,,72.08755413522334,89.92272683324703,,,,,,
