frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id22,id24,id26,id31,id34,id37,id38,id39,id45,id48,id49,id50,id51,id52,id53,id54,id55,id57,id59,id60,id61,id62,id65,id68,id69,id71,id72,id73,id74,id75
224,"(259.57, 195.71)",,,,,,,,,,,"(493.96, 445.76)",,"(483.65, 426.87)","(525.62, 447.72)",,,,,,,"(148.75, 313.75)","(290.20, 345.52)",,,"(137.17, 451.44)",,,"(290.63, 317.47)","(385.09, 450.14)","(170.18, 431.17)","(298.21, 381.48)","(291.16, 448.78)",,,"(58.89, 392.03)","(374.37, 364.85)",,,,,,,,,,,,,
225,"(260.44, 193.44)",,,,,,,,,,,"(493.82, 444.79)",,"(483.85, 424.22)","(525.70, 447.70)",,,,,,,"(148.82, 311.65)","(290.39, 343.62)",,,"(136.61, 451.35)",,,"(289.08, 315.83)","(382.79, 450.21)","(169.70, 429.10)","(296.19, 382.01)","(293.24, 448.58)",,,"(57.79, 390.05)","(374.41, 364.83)",,,,,,,,,,,,,
226,"(260.45, 191.34)",,,,,,,,,,,"(493.34, 444.43)",,"(483.99, 422.35)","(525.74, 447.65)",,,,,,,"(149.37, 310.21)","(290.57, 341.88)",,,"(135.93, 451.07)",,,"(288.02, 314.89)","(382.34, 450.65)","(169.08, 426.80)","(293.85, 382.28)","(295.96, 448.19)",,"(388.87, 452.74)","(57.11, 387.95)","(374.51, 364.75)",,,,,,,,,,,,,
227,"(260.85, 189.29)",,,,,,,,,,,"(493.32, 444.12)",,"(484.52, 420.31)","(525.73, 447.62)",,,,,,,"(149.08, 308.60)","(290.45, 339.53)",,,"(135.68, 451.03)",,,"(287.28, 314.06)","(381.50, 450.63)","(168.81, 424.56)","(291.42, 382.67)","(298.33, 448.15)",,"(391.72, 451.98)","(56.37, 386.14)","(374.49, 364.70)",,,,,,,,,,,,,
228,"(261.35, 187.38)",,,,,,,,,,,"(493.32, 444.06)",,"(484.72, 418.82)","(525.72, 447.55)",,,,,,,"(148.17, 307.46)","(290.68, 337.81)",,,"(135.33, 450.94)",,,"(287.03, 313.57)","(381.06, 449.69)","(167.62, 422.44)","(289.12, 382.13)","(300.71, 448.52)",,,"(55.47, 384.44)","(374.44, 364.60)",,,,,,,,,,,,,
229,"(261.21, 184.96)",,,,,,,,,,,"(493.35, 443.93)",,"(485.12, 416.85)","(525.67, 447.58)",,,,,,,"(146.72, 306.45)","(290.65, 335.99)",,,"(135.43, 450.93)",,,"(286.70, 313.12)","(381.48, 450.27)","(166.15, 420.88)","(286.67, 381.64)","(302.60, 448.95)",,,"(55.19, 382.23)","(374.43, 364.59)",,,,,,,,,,,,,
230,"(261.84, 183.13)",,,"(400.88, 452.91)",,,,,,,,"(493.42, 443.72)",,"(485.43, 415.12)","(525.34, 447.70)",,,,,,,"(145.10, 305.32)","(290.44, 334.00)",,,"(135.60, 450.96)",,,"(286.73, 313.14)","(381.62, 449.99)","(164.71, 419.57)","(284.48, 380.59)","(303.12, 449.29)",,,"(54.68, 380.54)","(374.40, 364.61)",,,,,,,,,,,,,
231,"(261.79, 180.63)",,,"(403.28, 452.92)",,,,,,,,"(493.44, 443.57)",,"(486.07, 413.76)","(525.49, 447.69)",,,,,,,"(144.30, 303.72)","(290.00, 332.03)",,,"(135.34, 450.82)",,,"(286.84, 313.15)","(381.60, 450.05)","(163.66, 418.55)","(282.05, 380.34)","(303.01, 449.32)",,,"(54.06, 378.76)","(374.47, 364.56)",,,,,,,,,,,,,
232,"(262.30, 178.32)",,,"(406.08, 452.17)",,,,,,,,"(493.60, 443.05)",,"(486.83, 411.64)","(525.60, 447.64)",,,,,,,"(142.59, 302.56)","(289.00, 330.83)",,,"(135.16, 450.68)",,,"(286.83, 313.10)","(381.40, 450.24)","(163.26, 417.90)","(279.33, 379.65)","(302.76, 449.24)",,,"(54.49, 376.86)","(374.51, 364.48)",,,,,,,,,,,,,
233,"(262.30, 175.94)",,,"(409.04, 452.49)",,,,,,,,"(493.66, 442.70)",,"(487.08, 410.05)","(525.75, 447.61)",,,,,,,"(141.30, 301.45)","(288.27, 329.37)",,,"(133.80, 450.60)",,,"(286.87, 313.25)","(381.09, 450.33)","(162.02, 416.52)","(276.65, 379.04)","(303.48, 449.73)",,,"(55.42, 375.45)","(374.68, 363.86)",,,,,,,,,,,,,
234,"(262.02, 174.18)",,,"(411.68, 452.32)",,,,,,,,"(493.65, 442.59)",,"(487.08, 408.71)","(525.98, 447.62)",,,,,,,"(139.80, 299.66)","(287.39, 327.85)",,,"(132.75, 450.58)",,,"(286.73, 313.16)","(380.77, 450.63)","(160.58, 415.83)","(274.26, 378.80)","(303.80, 449.53)",,,"(56.74, 373.97)","(374.80, 361.38)",,,,,,,,,,,,,
235,"(260.88, 171.99)",,,"(414.36, 452.46)",,,,,,,,"(493.63, 442.49)",,"(486.97, 407.72)","(525.73, 447.66)",,,,,,,"(138.48, 298.76)","(286.33, 326.31)",,,"(131.68, 450.54)",,,"(286.71, 313.16)","(379.76, 451.33)","(158.67, 415.79)","(271.82, 377.86)","(303.74, 449.38)",,,"(57.47, 372.24)","(374.71, 358.00)",,,,,,,,,,,,,
236,"(259.90, 170.78)",,,"(416.83, 452.57)",,,,,,,,"(493.62, 442.52)",,"(486.95, 406.63)","(525.51, 447.60)",,,,,,,"(137.77, 297.43)","(286.13, 325.11)",,,"(131.73, 450.82)",,,"(286.72, 313.13)","(378.88, 451.10)","(156.55, 415.62)","(269.40, 376.85)","(303.77, 449.13)",,,"(58.81, 370.15)","(374.52, 354.60)",,,,,,,,,,,,,
237,"(258.97, 168.55)",,,"(418.60, 452.54)",,,,,,,,"(493.62, 442.38)",,"(486.98, 405.57)","(525.68, 447.46)",,,,,,,"(136.69, 296.22)","(285.74, 323.02)",,,"(132.59, 451.06)",,,"(286.69, 312.96)","(378.38, 451.11)","(155.10, 415.91)","(267.27, 375.31)","(304.37, 449.15)",,,"(60.14, 367.90)","(374.38, 350.84)",,,,,,,,,,,,,
238,"(257.88, 167.10)",,,"(419.97, 452.47)",,,,,,,,"(493.65, 442.38)",,"(487.04, 404.35)","(525.66, 447.45)",,,,,,,"(135.15, 294.91)","(285.59, 321.10)",,,"(133.29, 450.81)",,,"(286.91, 312.64)","(377.63, 450.95)","(153.88, 415.98)","(265.18, 374.47)","(304.61, 449.29)",,,"(61.30, 365.89)","(374.53, 346.88)",,,,,,,,,,,,,
239,"(256.89, 164.62)",,,"(420.09, 452.05)",,,,,,,,"(493.58, 442.14)",,"(487.16, 402.55)","(525.61, 447.58)",,,,,,,"(134.22, 293.22)","(285.46, 319.52)",,,"(133.97, 450.74)",,,"(286.78, 311.50)","(377.07, 450.84)","(152.47, 415.51)","(263.33, 372.97)","(304.96, 449.45)",,,"(62.45, 364.21)","(374.18, 342.78)",,,,,,,,,,,,,
240,"(256.24, 162.21)",,,"(419.64, 451.64)",,,,,,,,"(493.58, 442.28)",,"(486.86, 400.09)","(525.49, 447.60)",,,,,,,"(133.28, 292.63)","(285.22, 317.41)",,,"(135.12, 450.57)",,,"(287.51, 308.48)","(376.13, 450.76)","(152.26, 414.90)","(261.01, 371.41)","(305.46, 449.61)",,,"(63.44, 362.33)","(374.35, 338.66)",,,,,,,,,,,,,
241,"(255.46, 159.83)",,,"(418.85, 452.23)",,,,,,,,"(493.60, 442.29)",,"(486.80, 397.77)","(525.45, 447.62)",,,,,,,"(132.28, 291.53)","(285.52, 314.88)",,,"(136.47, 451.05)",,,"(288.39, 306.01)","(375.31, 450.82)","(151.86, 413.43)","(259.19, 369.39)","(305.69, 449.80)",,,"(64.51, 360.87)","(373.70, 335.20)",,,,,,,,,,,,,
242,"(255.62, 156.97)",,,"(417.74, 452.29)",,,,,,,,"(493.54, 442.27)",,"(486.79, 395.28)","(525.50, 447.67)",,,,,,,"(131.38, 290.54)","(284.99, 312.68)",,,"(137.28, 450.68)",,,"(289.10, 303.63)","(374.32, 450.73)","(150.89, 411.66)","(257.53, 367.59)","(306.69, 450.33)",,,"(65.45, 359.48)","(374.07, 331.09)",,,,,,,,,,,,,
243,"(254.96, 154.82)",,,"(417.07, 452.53)",,,,,,,,"(493.66, 442.25)",,"(486.74, 392.62)","(525.63, 447.31)",,,,,,,"(130.60, 289.73)","(284.82, 311.01)",,,"(138.18, 450.33)",,,"(289.86, 300.61)","(373.97, 450.68)","(150.20, 410.30)","(255.97, 365.28)","(306.78, 450.29)",,,"(66.24, 357.43)","(373.80, 327.56)",,,,,,,,,,,,,
244,"(254.76, 152.49)",,,"(416.90, 452.43)",,,,,,,,"(493.79, 442.21)",,"(486.55, 390.03)","(525.57, 447.36)",,,,,,,"(130.00, 288.92)","(284.46, 309.33)",,,"(138.35, 449.73)",,,"(290.99, 297.71)","(372.34, 450.63)","(148.83, 409.06)","(254.73, 363.59)","(306.93, 450.26)",,,"(67.12, 356.06)","(374.08, 323.86)",,,,,,,,,,,,,
245,"(254.59, 150.03)",,,"(416.97, 452.46)",,,,,,,,"(493.92, 441.95)",,"(486.38, 387.38)","(525.60, 447.63)",,,,,,,"(129.44, 288.50)","(283.52, 307.09)",,,"(138.34, 449.09)",,,"(291.75, 294.69)","(371.79, 450.68)","(147.08, 408.31)","(253.59, 361.34)","(307.12, 450.30)",,,"(67.89, 354.28)","(374.41, 320.82)",,,,,,,,,,,,,
246,"(254.20, 147.08)",,,"(417.01, 452.40)",,,,,,,,"(494.00, 441.41)",,"(485.78, 384.94)","(525.51, 447.60)",,,,,,,"(128.86, 287.85)","(283.19, 305.34)",,,"(138.06, 448.61)",,,"(292.63, 292.68)","(371.08, 451.14)","(145.43, 408.10)","(252.58, 359.39)","(307.97, 450.60)",,,"(68.65, 352.74)","(375.31, 317.40)",,,,,,,,,,,,,
247,"(254.15, 144.48)",,,"(417.23, 451.94)",,,,,,,,"(494.00, 441.36)",,"(485.78, 382.35)","(525.51, 447.66)",,,,,,,"(128.20, 286.96)","(282.33, 303.45)",,,"(138.26, 447.97)",,,"(292.63, 289.68)","(371.05, 451.22)","(144.04, 407.74)","(251.41, 357.59)","(308.41, 450.78)",,,"(69.16, 351.70)","(376.01, 314.20)",,,,,,,,,,,,,
248,"(253.86, 141.80)",,,"(418.19, 451.44)",,,,,,,,"(494.00, 441.37)",,"(485.59, 379.97)","(525.32, 447.68)",,,,,,,"(127.88, 286.08)","(281.48, 301.26)",,,"(138.90, 446.43)",,,"(292.89, 287.66)","(370.33, 451.18)","(142.38, 407.57)","(250.45, 355.62)","(308.29, 451.07)",,,"(69.74, 350.29)","(377.64, 311.20)",,,,,,,,,,,,,
249,"(254.03, 139.00)",,,"(418.38, 451.31)",,,,,,,,"(494.00, 441.37)",,"(485.54, 376.70)","(525.48, 447.57)",,,,,,,"(127.64, 284.90)","(280.79, 299.48)",,,"(139.00, 444.42)",,,"(292.22, 285.05)","(370.55, 451.36)","(140.75, 407.54)","(249.85, 353.85)","(307.32, 450.87)",,,"(70.28, 349.39)","(378.58, 309.07)",,,,,,,,,,,,,
250,"(253.82, 136.61)",,,"(419.62, 450.97)",,,,,,,,"(494.01, 441.39)",,"(485.20, 374.58)","(525.52, 447.60)",,,,,,,"(127.59, 283.26)","(280.15, 297.70)",,,"(139.40, 442.24)",,,"(292.39, 282.79)","(370.91, 451.70)","(139.63, 407.69)","(249.52, 352.91)","(306.32, 450.90)",,,"(71.13, 348.13)","(380.06, 305.58)",,,,,,,,,,,,,
251,"(253.76, 134.30)",,,"(420.33, 451.51)",,,,,,,,"(494.05, 441.34)",,"(484.59, 372.47)","(525.45, 447.70)",,,,,,,"(127.55, 281.00)","(280.08, 295.77)",,,"(138.79, 440.44)",,,"(292.24, 280.51)","(372.11, 452.33)","(138.06, 407.66)","(249.10, 352.12)","(305.50, 450.69)",,,"(71.55, 346.88)","(381.25, 303.28)",,,,,,,,,,,,,
252,"(253.90, 131.54)",,,"(420.37, 451.45)",,,,,,,,"(494.24, 441.22)",,"(484.22, 370.37)","(525.43, 447.71)",,,,,,,"(127.54, 279.05)","(279.42, 293.77)",,,"(138.42, 438.50)",,,"(292.39, 278.67)","(373.71, 452.46)","(137.00, 407.62)","(248.70, 351.29)","(304.83, 450.30)",,,"(72.18, 345.61)","(382.35, 300.99)",,,,,,,,,,,,,
253,"(253.98, 130.21)",,,"(419.22, 451.36)",,,,,,,,"(494.26, 441.17)",,"(483.83, 368.00)","(525.47, 447.89)",,,,,,,"(127.41, 277.17)","(279.38, 291.97)",,,"(137.51, 436.50)",,,"(292.17, 276.81)","(376.03, 452.57)","(135.82, 407.22)","(248.56, 350.75)","(304.29, 450.73)",,,"(72.31, 344.36)","(383.34, 299.05)",,,,,,,,,,,,,
254,"(254.30, 125.96)",,,"(417.72, 451.10)",,,,,,,,"(494.52, 441.15)",,"(483.79, 366.36)","(525.55, 447.85)",,,,,,,"(127.48, 274.83)","(279.35, 290.95)",,,"(136.89, 434.49)",,,"(292.27, 275.66)","(377.57, 452.72)","(134.34, 406.77)","(248.27, 349.83)","(303.33, 450.98)",,,"(72.79, 342.90)","(384.33, 297.41)",,,,,,,,,,,,,
255,"(254.23, 125.42)",,,"(415.52, 450.82)",,,,,,,,"(494.62, 441.03)",,"(483.56, 365.57)","(525.47, 447.83)",,,,,,,"(127.39, 272.92)","(279.52, 289.24)",,,"(136.15, 432.36)",,,"(292.53, 274.19)","(378.47, 453.01)","(133.32, 406.62)","(248.13, 348.62)","(302.54, 451.05)",,,"(73.75, 341.70)","(385.05, 295.77)",,,,,,,,,,,,,
256,"(254.11, 124.30)",,,"(412.95, 450.77)",,,,,,,,"(494.74, 441.07)",,"(483.55, 365.22)","(525.54, 447.76)",,,,,,,"(127.22, 270.57)","(279.99, 287.01)",,,"(135.40, 430.50)",,,"(292.38, 273.84)","(380.16, 453.28)","(132.47, 406.54)","(247.85, 347.23)","(302.37, 451.15)",,,"(73.68, 340.42)","(385.29, 295.12)",,,,,,,,,,,,,
257,"(253.45, 123.98)",,,"(410.36, 450.57)",,,,,,,,"(494.89, 441.00)",,"(483.58, 365.23)","(525.51, 447.76)",,,,,,,"(127.49, 268.78)","(280.08, 285.13)",,,"(134.87, 428.29)",,,"(292.53, 273.18)","(381.90, 453.25)","(131.71, 407.59)","(247.48, 345.63)","(301.64, 451.08)",,,"(73.88, 339.13)","(385.87, 294.28)",,,,,,,,,,,,,
258,,,,"(408.55, 450.71)",,,,,,,,"(494.92, 440.98)",,"(483.59, 365.24)","(525.49, 447.71)",,,,,,,"(127.42, 267.03)","(280.11, 283.19)",,,"(133.95, 426.62)",,,"(292.35, 273.30)","(384.62, 454.51)","(130.86, 408.32)","(247.48, 343.71)","(300.72, 451.02)",,,"(73.64, 338.50)","(386.07, 293.36)",,,,,,,,,,,,,
259,,,,"(407.10, 450.96)",,,,,,,,"(494.95, 440.98)",,"(483.56, 364.66)","(525.49, 447.72)",,,,,,,"(127.23, 264.89)","(280.00, 281.75)",,,"(133.61, 424.68)",,,"(292.37, 273.04)","(386.95, 454.68)","(129.97, 409.81)","(247.31, 341.10)","(299.91, 451.03)",,,"(73.54, 337.23)","(386.26, 292.88)",,,,,,,,,,,,,
260,,,,"(406.16, 450.59)",,,,,,,,"(495.04, 440.90)",,"(483.35, 364.31)","(525.53, 447.69)",,,,,,,"(127.18, 263.08)","(279.66, 279.29)",,,"(133.05, 422.49)",,,"(292.23, 272.91)","(389.29, 454.90)","(129.39, 410.79)","(247.33, 338.27)","(298.92, 451.02)",,,"(73.61, 336.24)","(386.23, 292.58)",,,,,,,,,,,,,
261,,,,"(405.98, 450.45)",,,,,,,,"(495.42, 440.78)",,"(483.27, 363.96)","(525.55, 447.65)",,,,,,,"(127.40, 260.80)","(279.81, 277.84)",,,"(132.47, 420.90)",,,"(292.28, 272.91)","(390.99, 454.46)","(128.99, 412.03)","(247.28, 336.04)","(296.74, 450.58)",,,"(73.64, 334.80)","(386.32, 292.72)",,,,,,,,,,,,,
262,,,,"(406.16, 450.64)",,,,,,,,"(495.81, 440.31)",,"(483.29, 363.74)","(525.62, 447.67)",,,,,,,"(127.38, 258.86)","(279.60, 276.36)",,,"(132.35, 419.19)",,,"(292.11, 273.11)","(391.81, 453.50)","(128.28, 413.67)","(247.49, 333.28)","(295.44, 450.82)",,,"(73.59, 333.23)","(386.35, 292.55)",,,,,,,,,,,,,
263,,,,"(406.23, 449.30)",,,,,,,,"(495.94, 440.14)",,"(483.40, 363.94)","(525.49, 447.64)",,,,,,,"(127.38, 257.15)","(279.60, 273.69)",,,"(132.38, 417.29)",,,"(291.41, 272.79)","(392.47, 453.13)","(128.50, 414.98)","(247.66, 331.36)","(293.00, 450.85)",,,"(74.10, 331.56)","(386.34, 292.42)",,,,,,,,,,,,,
264,,,,"(406.02, 448.53)",,,,,,,,"(495.91, 439.99)",,"(483.41, 364.08)","(525.60, 447.69)",,,,,,,"(127.38, 255.80)","(279.71, 272.07)",,,"(132.45, 415.49)",,,"(292.21, 274.01)","(393.35, 453.03)","(128.23, 416.41)","(247.98, 329.11)","(291.05, 450.67)",,,"(73.79, 329.62)","(386.30, 292.37)",,,,,,,,,,,,,
265,,,,"(406.19, 448.88)",,,,,,,,"(495.86, 440.00)",,"(484.03, 364.44)","(525.44, 447.69)",,,,,,,"(127.38, 255.03)","(279.89, 270.04)",,,"(131.83, 414.80)",,,"(292.44, 273.09)","(393.17, 452.86)","(128.43, 418.43)","(248.32, 327.06)","(288.81, 450.46)",,,"(73.73, 327.47)","(386.25, 292.31)",,,,,,,,,,,,,
266,,,,"(406.76, 449.15)",,,,,,,,"(495.94, 439.86)",,"(485.23, 365.04)","(525.49, 447.48)",,,,,,,"(127.23, 253.79)","(280.02, 267.87)",,,"(129.95, 414.34)",,,"(292.68, 272.81)","(393.06, 452.70)","(128.35, 419.35)","(248.74, 324.06)","(286.73, 450.14)",,,"(73.63, 325.31)","(386.25, 292.33)",,,,,,,,,,,,,
267,,,,"(407.52, 447.09)",,,,,,,,"(496.42, 439.42)",,"(486.26, 365.48)","(525.48, 447.44)",,,,,,,"(127.43, 252.15)","(279.63, 266.33)",,,"(128.94, 412.91)",,,"(292.60, 272.91)","(393.31, 452.53)","(128.56, 419.60)","(249.03, 321.55)","(284.89, 450.04)",,,"(73.70, 322.80)","(386.23, 292.32)",,,,,,,,,,,,,
268,,,,"(407.31, 444.13)",,,,,,,,"(496.42, 439.10)",,"(487.73, 365.26)","(525.50, 447.45)",,,,,,,"(127.41, 250.10)","(278.90, 264.71)",,,"(128.04, 411.37)",,,"(292.50, 273.13)","(393.60, 452.38)","(128.74, 420.13)","(249.41, 318.98)","(282.91, 449.90)",,,"(73.65, 320.78)","(386.23, 292.30)",,,,,,,,,,,,,
269,,,,"(408.09, 442.02)",,,,,,,,"(496.55, 439.27)",,"(489.52, 365.40)","(525.46, 447.48)",,,,,,,"(127.68, 248.52)","(278.96, 263.56)",,,"(127.45, 410.05)",,,"(292.61, 273.01)","(393.57, 452.42)","(128.81, 420.68)","(249.87, 316.60)","(281.34, 449.97)",,,"(73.61, 318.71)","(386.25, 292.29)",,,,,,,,,,,,,
270,,,,"(409.40, 439.51)",,,,,,,,"(496.65, 439.35)",,"(491.68, 365.37)","(525.46, 447.52)",,,,,,,"(127.77, 246.71)","(278.02, 262.39)",,,"(126.98, 408.28)",,,"(292.56, 272.95)","(392.81, 452.63)","(128.99, 421.14)","(249.97, 314.06)","(279.69, 450.18)",,,"(73.49, 317.25)","(386.25, 292.28)",,,,,,,,,,,,,
271,,,,"(411.35, 438.58)",,,,,,,,"(496.70, 439.49)",,"(493.91, 365.63)","(525.39, 447.50)",,,,,,,"(127.83, 245.04)","(276.66, 261.98)",,,"(126.47, 406.86)",,,"(292.59, 272.67)","(392.62, 452.77)","(129.00, 421.28)","(250.62, 311.83)","(278.25, 450.12)",,,"(73.69, 315.51)","(386.24, 292.25)",,,,,,,,,,,,,
272,,,,"(412.29, 437.44)",,,,,,,,"(496.77, 439.47)",,"(495.90, 365.30)","(525.38, 447.45)",,,,,,,"(128.35, 243.15)","(275.88, 261.02)",,,"(126.61, 405.02)",,,"(292.72, 272.64)","(392.49, 453.25)","(128.92, 421.08)","(251.09, 309.12)","(278.08, 450.40)",,,"(73.54, 314.02)","(386.25, 292.26)",,,,,,,,,,,,,
273,,,,"(413.95, 436.12)",,,,,,,,"(496.94, 439.46)",,"(498.18, 365.18)","(525.70, 447.60)",,,,,,,"(128.65, 241.09)","(274.81, 259.91)",,,"(126.63, 403.08)",,,"(292.73, 272.66)","(392.49, 453.28)","(128.88, 421.12)","(251.66, 307.17)","(277.95, 450.77)",,,"(73.62, 312.50)","(386.25, 292.22)",,,,,,,,,,,,,
274,,,,"(415.25, 434.90)",,,,,,,,"(497.08, 439.24)",,"(499.98, 363.90)","(525.73, 447.61)",,,,,,,"(129.00, 239.64)","(273.91, 258.70)",,,"(126.61, 401.44)",,,"(292.79, 272.73)","(393.09, 453.14)","(128.89, 421.22)","(252.79, 304.56)","(276.83, 451.00)",,,"(73.38, 310.99)","(386.28, 292.22)",,,,,,,,,,,,,
275,,,,"(416.71, 434.60)",,,,,,,,"(497.15, 439.17)",,"(501.39, 362.71)","(525.74, 447.61)",,,,,,,"(129.45, 237.86)","(273.43, 257.51)",,,"(126.58, 399.42)",,,"(292.85, 272.95)","(393.45, 453.16)","(128.94, 421.17)","(253.15, 302.74)","(276.05, 450.69)",,,"(73.16, 309.77)","(386.25, 292.20)",,,,,,,,,,,,,
276,,,,"(418.38, 434.71)",,,,,,,,"(497.17, 438.77)",,"(502.74, 360.58)","(525.73, 447.60)",,,,,,,"(129.68, 236.36)","(272.56, 255.97)",,,"(126.62, 397.85)",,,"(292.87, 272.93)","(393.78, 453.53)","(129.00, 421.17)","(253.86, 300.45)","(275.16, 450.47)",,,"(73.13, 308.28)","(386.16, 292.23)",,,,,,,,,,,,,
277,,,,"(419.48, 435.40)",,,,,,,,"(497.23, 438.74)",,"(503.19, 358.74)","(525.73, 447.60)",,,,,,,"(130.31, 235.25)","(271.53, 254.85)",,,"(126.60, 396.11)",,,"(292.85, 272.68)","(393.53, 453.63)","(129.04, 420.71)","(254.57, 298.49)","(275.09, 450.06)",,,"(72.92, 306.92)","(386.20, 292.24)",,,,,,,,,,,,,
278,,,,"(420.42, 435.83)",,,,,,,,"(497.19, 438.38)",,"(503.60, 356.78)","(525.71, 447.56)",,,,,,,"(130.89, 234.24)","(270.88, 253.05)",,,"(126.83, 393.69)",,,"(293.17, 273.60)","(394.10, 453.52)","(129.49, 420.77)","(255.65, 295.88)","(274.98, 449.31)",,,"(72.56, 305.20)","(386.18, 292.24)",,,,,,,,,,,,,
279,,,,"(421.69, 436.36)",,,,,,,,"(497.20, 438.16)",,"(504.29, 355.14)","(525.77, 447.61)",,,,,,,"(131.98, 232.84)","(270.05, 251.45)",,,"(126.98, 391.70)",,,"(293.67, 272.84)","(394.79, 453.61)","(129.54, 420.51)","(256.70, 293.24)","(274.87, 448.86)",,,"(72.25, 303.78)","(386.18, 292.28)",,,,,,,,,,,,,
280,,,,"(422.48, 437.01)",,,,,,,,"(497.14, 438.11)",,"(504.21, 352.81)","(525.61, 447.75)",,,,,,,"(132.55, 231.19)","(269.11, 250.00)",,,"(127.25, 390.15)",,,"(294.75, 272.40)","(395.31, 453.72)","(129.55, 420.20)","(257.51, 291.11)","(274.92, 448.73)",,,"(71.79, 301.85)","(386.20, 292.27)",,,,,,,,,,,,,
281,,,,"(423.24, 437.16)",,,,,,,,"(497.26, 438.09)",,"(504.11, 350.81)","(525.61, 447.76)",,,,,,,"(133.16, 230.23)","(268.32, 248.45)",,,"(127.30, 387.93)",,,"(296.01, 272.24)","(396.12, 453.65)","(130.10, 420.30)","(258.50, 288.79)","(275.70, 448.99)",,,"(71.49, 300.17)","(386.26, 292.22)",,,,,,,,,,,,,
282,,,,"(423.88, 437.27)",,,,,,,,"(497.30, 438.11)",,"(504.01, 348.62)","(525.62, 447.77)",,,,,,,"(133.93, 228.59)","(267.38, 247.35)",,,"(127.45, 385.80)",,,"(297.95, 272.09)",,"(130.61, 420.65)","(259.36, 286.60)","(275.94, 448.75)",,,"(71.22, 298.78)","(386.21, 292.22)",,,,,,,,,,,,,
283,,,,"(424.15, 436.84)",,,,,,,,"(497.63, 438.08)",,"(504.00, 346.47)","(525.68, 447.79)",,,,,,,"(134.66, 226.84)","(266.88, 245.97)",,,"(127.53, 383.56)",,,"(299.99, 271.62)",,"(131.16, 420.98)","(260.18, 284.31)","(276.15, 448.42)",,,"(71.24, 296.84)","(386.21, 292.23)",,,,,,,,,,,,,
284,,,,"(424.23, 435.57)",,,,,,,,"(498.23, 437.30)",,"(504.25, 344.47)","(525.60, 447.73)",,,,,,,"(135.20, 225.38)","(266.98, 244.80)",,,"(127.67, 381.37)",,,"(301.90, 271.51)",,"(131.73, 421.26)","(261.52, 281.88)","(276.34, 447.61)",,,"(70.94, 295.00)","(386.20, 292.22)",,,,,,,,,,,,,
285,,,,"(423.75, 433.55)",,,,,,,,"(498.36, 437.23)",,"(504.04, 343.08)","(525.48, 447.75)",,,,,,,"(135.63, 223.93)","(266.89, 243.80)",,,"(127.79, 378.84)",,,"(303.37, 271.85)",,"(132.56, 421.48)","(262.53, 279.74)","(276.61, 446.98)",,,"(70.36, 293.57)","(386.25, 292.23)",,,,,,,,,,,,,
286,"(246.73, 75.57)",,,"(424.43, 431.42)",,,,,,,,"(498.27, 437.01)",,"(504.05, 342.33)","(525.51, 447.76)",,,,,,,"(136.66, 222.58)","(267.21, 243.05)",,,"(127.96, 376.76)",,,"(304.64, 271.67)","(403.12, 454.00)","(132.84, 421.48)","(263.85, 277.77)","(276.81, 446.19)",,,"(70.18, 292.01)","(386.23, 292.24)",,,,,,,,,,,,,
287,"(246.81, 75.19)",,,"(424.69, 431.31)",,,,,,,,"(498.20, 436.55)",,"(504.15, 342.26)","(525.54, 447.78)",,,,,,,"(137.79, 221.31)","(267.70, 241.47)",,,"(128.31, 374.55)",,,"(306.19, 270.83)","(405.41, 453.56)","(133.24, 421.64)","(265.15, 275.98)","(276.88, 444.51)",,,"(69.50, 289.72)","(386.23, 292.24)",,,,,,,,,,,,,
288,"(246.92, 74.24)",,,"(424.95, 429.48)",,,,,,,,"(498.24, 436.40)",,"(504.36, 341.85)","(525.66, 447.75)",,,,,,,"(138.58, 220.62)","(267.97, 240.43)",,,"(128.35, 372.39)",,,"(306.79, 270.14)","(408.03, 453.33)","(133.32, 421.64)","(266.67, 273.81)","(276.86, 443.36)",,,"(69.22, 288.02)","(386.21, 292.26)",,,,,,,,,,,,,
289,"(246.97, 73.31)",,,"(425.21, 427.10)",,,,,,,,"(498.25, 435.65)",,"(504.21, 341.86)","(525.76, 447.69)",,,,,,,"(139.65, 220.08)","(268.23, 238.82)",,,"(128.47, 370.29)",,,"(307.64, 269.46)","(410.01, 453.15)","(133.51, 421.58)","(267.70, 272.19)","(277.44, 442.44)",,,"(68.65, 286.46)","(386.27, 292.25)",,,,,,,,,,,,,
290,"(246.91, 72.42)",,,"(425.91, 425.23)",,,,,,,,"(498.36, 435.20)",,"(504.13, 341.85)","(525.79, 447.64)",,,,,,,"(141.21, 220.00)","(268.80, 237.55)",,,"(128.86, 367.82)",,,"(308.21, 268.75)","(412.18, 452.87)","(133.51, 421.58)","(268.94, 270.39)","(278.13, 440.91)",,,"(68.13, 284.54)","(386.28, 292.22)",,,,,,,,,,,,,
