confidence,min_matching,brownian_pos_noise,lost_track_buffer,asso_func,vial_count_error,per_id_coverage_loss,short_track_count,per_frame_id_variance
0.1,0.01,1.0,30,diou,76.0,240.1851851851852,8,13.717371028849884
0.1,0.01,1.0,30,giou,59.0,265.4677419354839,15,13.648873286711362
0.1,0.01,1.0,60,diou,70.0,233.34615384615384,7,13.685210531374361
0.1,0.01,1.0,60,giou,60.0,265.69354838709677,15,13.630181305144964
0.1,0.01,1.0,90,diou,64.0,222.10204081632654,4,13.635739268489484
0.1,0.01,1.0,90,giou,54.0,263.4918032786885,11,13.591818553495353
0.1,0.01,1.0,120,diou,63.0,217.47916666666666,3,13.651997472836829
0.1,0.01,1.0,120,giou,50.0,257.89830508474574,7,13.597709364690413
0.1,0.01,1.0,180,diou,63.0,217.47916666666666,3,13.651997472836829
0.1,0.01,1.0,180,giou,50.0,257.89830508474574,7,13.597709364690413
0.1,0.01,1.0,240,diou,64.0,217.47916666666666,2,13.651997472836829
0.1,0.01,1.0,240,giou,49.0,258.0,6,13.60270385497413
0.1,0.01,3.0,30,diou,71.0,236.54716981132074,9,13.729949972207846
0.1,0.01,3.0,30,giou,62.0,268.22222222222223,16,13.63626005042764
0.1,0.01,3.0,60,diou,59.0,229.1764705882353,5,13.70683455071664
0.1,0.01,3.0,60,giou,60.0,263.21311475409834,14,13.633306994685896
0.1,0.01,3.0,90,diou,58.0,221.44897959183675,4,13.666569196997878
0.1,0.01,3.0,90,giou,56.0,263.04918032786884,13,13.636737571955528
0.1,0.01,3.0,120,diou,56.0,212.46808510638297,3,13.666359209383936
0.1,0.01,3.0,120,giou,54.0,258.135593220339,8,13.606293931775223
0.1,0.01,3.0,180,diou,56.0,212.46808510638297,3,13.666359209383936
0.1,0.01,3.0,180,giou,54.0,258.135593220339,8,13.606293931775223
0.1,0.01,3.0,240,diou,57.0,212.46808510638297,2,13.666359209383936
0.1,0.01,3.0,240,giou,55.0,258.135593220339,8,13.606293931775223
0.1,0.01,5.0,30,diou,70.0,233.05769230769232,9,13.742773953413387
0.1,0.01,5.0,30,giou,63.0,268.3809523809524,13,13.642829051111905
0.1,0.01,5.0,60,diou,66.0,233.30769230769232,6,13.704419384225362
0.1,0.01,5.0,60,giou,62.0,268.3015873015873,17,13.642987588979597
0.1,0.01,5.0,90,diou,57.0,221.3469387755102,5,13.69011225124991
0.1,0.01,5.0,90,giou,56.0,266.3709677419355,14,13.618698932735015
0.1,0.01,5.0,120,diou,59.0,217.20833333333334,2,13.645233650080714
