12.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,13d,004-converted,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
12.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,13d,004-converte,WT,109,159,2.4822,-124.5911,0.9792,0,0.0727
12.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,13d,004-converte,A90V,0,50,1.7525,26.6864,0.8967,0,0.1223
12.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,13d,004-converte,G287S,19,69,0.6629,-5.3678,0.9393,0,0.0343
12.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,13d,004-converte,G294A,22,72,0.5825,25.6113,0.9885,0,0.0126
12.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,13d,004-converte,A315T,76,126,2.4745,-45.8432,0.997,0,0.027
12.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,13d,004-converte,M337V,76,126,3.0007,-93.6729,0.9999,0,0.0067
12.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,13d,004-converte,2024-02-12_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_13d__all,33,83,1.412,8.9203,0.9899,0,0.0286
