y,x,mass,size,ecc,signal,raw_mass,ep,frame,t,True_particle,vial
6.25,46.97,143,71430,0.722,16.16,143,0.1,0,0.0,False,0.0
371.13,185.24,809,71430,0.354,99.01,809,0.0,0,0.0,True,2.0
372.4,89.88,967,71430,0.483,90.73,967,0.0,0,0.0,True,1.0
372.53,205.12,770,71430,0.125,102.33,770,0.0,0,0.0,True,2.0
371.7,322.16,889,71430,0.353,99.84,889,0.0,0,0.0,True,3.0
371.64,334.53,841,71430,0.292,102.33,841,0.0,0,0.0,True,3.0
371.95,610.21,953,71430,0.591,89.9,953,0.0,0,0.0,True,5.0
372.01,770.96,139,71430,0.496,12.43,139,0.0,0,0.0,False,0.0
373.35,59.02,983,71430,0.465,99.01,983,0.0,0,0.0,True,1.0
374.3,67.8,1043,71430,0.045,81.61,1043,0.0,0,0.0,True,1.0
373.26,576.24,1019,71430,0.504,99.43,1019,0.0,0,0.0,True,5.0
374.21,300.46,1052,71430,0.213,96.94,1052,0.0,0,0.0,True,3.0
373.99,351.85,903,71430,0.092,84.93,903,0.0,0,0.0,True,3.0
374.39,713.31,1182,71430,0.124,82.44,1182,0.0,0,0.0,True,6.0
375.2,227.12,999,71430,0.534,101.5,999,0.0,0,0.0,True,2.0
375.19,700.39,997,71430,0.483,105.64,997,0.0,0,0.0,True,6.0
375.53,162.81,708,71430,0.204,88.24,708,0.0,0,0.0,True,2.0
376.11,447.61,1050,71430,0.44,92.38,1050,0.0,0,0.0,True,4.0
378.91,721.55,353,71430,0.265,44.33,353,0.0,0,0.0,True,6.0
381.02,4.8,103,71430,0.446,10.36,103,0.0,0,0.0,False,0.0
368.74,102.16,920,71430,0.277,91.14,920,0.0,0,0.0,True,1.0
367.01,640.11,169,71430,0.514,17.4,169,0.0,0,0.0,False,0.0
375.68,740.08,958,71430,0.356,98.6,958,0.0,0,0.0,True,6.0
360.29,170.97,1013,71430,0.33,96.53,1013,0.0,0,0.0,True,2.0
364.14,458.28,1011,71430,0.384,96.11,1011,0.0,0,0.0,True,4.0
6.19,55.92,108,71430,0.735,10.77,108,0.1,0,0.0,False,0.0
5.75,496.98,133,71430,0.68,14.09,133,0.0,0,0.0,False,0.0
5.89,627.08,128,71430,0.704,13.67,128,0.0,0,0.0,False,0.0
163.01,41.02,113,71430,0.44,9.94,113,0.0,0,0.0,False,0.0
236.93,431.74,524,71430,0.15,74.16,524,0.0,0,0.0,True,4.0
245.06,160.34,114,71430,0.253,7.87,114,0.0,0,0.0,False,0.0
247.11,40.85,135,71430,0.46,12.43,135,0.0,0,0.0,False,0.0
283.1,640.07,103,71430,0.412,11.19,103,0.0,0,0.0,False,0.0
318.92,40.95,130,71430,0.461,13.26,130,0.0,0,0.0,False,0.0
6.13,300.9,115,71430,0.53,9.94,115,0.0,0,0.0,False,0.0
327.02,158.84,103,71430,0.348,9.53,103,0.0,0,0.0,False,0.0
