confidence,min_matching,brownian_pos_noise,lost_track_buffer,asso_func,vial_count_error,per_id_coverage_loss,short_track_count,per_frame_id_variance
0.1,0.2,3.0,60,giou,19.0,231.04918032786884,9,15.06121108951515
0.1,0.2,3.0,90,diou,9.0,207.57142857142856,3,15.191023372173056
0.1,0.2,3.0,90,giou,19.0,231.04918032786884,9,15.06121108951515
0.1,0.2,3.0,120,diou,9.0,207.57142857142856,3,15.191023372173056
0.1,0.2,3.0,120,giou,19.0,231.04918032786884,9,15.06121108951515
0.1,0.2,3.0,180,diou,9.0,207.6122448979592,3,15.19549357952936
0.1,0.2,3.0,180,giou,19.0,231.01639344262296,9,15.056781564319746
0.1,0.2,3.0,240,diou,9.0,207.6122448979592,3,15.19549357952936
0.1,0.2,3.0,240,giou,19.0,231.01639344262296,9,15.056781564319746
0.1,0.2,5.0,30,diou,11.0,212.078431372549,5,15.193114546286257
0.1,0.2,5.0,30,giou,21.0,233.88888888888889,12,15.076001244258881
0.1,0.2,5.0,60,diou,9.0,207.59183673469386,3,15.189020690684918
0.1,0.2,5.0,60,giou,19.0,231.04918032786884,9,15.06121108951515
0.1,0.2,5.0,90,diou,9.0,207.57142857142856,3,15.191023372173056
0.1,0.2,5.0,90,giou,19.0,231.04918032786884,9,15.06121108951515
0.1,0.2,5.0,120,diou,9.0,207.57142857142856,3,15.191023372173056
0.1,0.2,5.0,120,giou,19.0,231.04918032786884,9,15.06121108951515
0.1,0.2,5.0,180,diou,9.0,207.6122448979592,3,15.19549357952936
0.1,0.2,5.0,180,giou,19.0,231.01639344262296,9,15.056781564319746
0.1,0.2,5.0,240,diou,9.0,207.6122448979592,3,15.19549357952936
0.1,0.2,5.0,240,giou,19.0,231.01639344262296,9,15.056781564319746
0.1,0.2,10.0,30,diou,11.0,212.078431372549,5,15.193114546286257
0.1,0.2,10.0,30,giou,21.0,233.88888888888889,12,15.076001244258881
0.1,0.2,10.0,60,diou,9.0,207.59183673469386,3,15.189020690684918
0.1,0.2,10.0,60,giou,19.0,231.04918032786884,9,15.06121108951515
0.1,0.2,10.0,90,diou,9.0,207.57142857142856,3,15.191023372173056
0.1,0.2,10.0,90,giou,19.0,231.04918032786884,9,15.06121108951515
0.1,0.2,10.0,120,diou,9.0,207.57142857142856,3,15.191023372173056
0.1,0.2,10.0,120,giou,19.0,231.04918032786884,9,15.06121108951515
0.1,0.2,10.0,180,diou,9.0,207.6122448979592,3,15.19549357952936
0.1,0.2,10.0,180,giou,19.0,231.01639344262296,9,15.056781564319746
0.1,0.2,10.0,240,diou,9.0,207.6122448979592,3,15.19549357952936
0.1,0.2,10.0,240,giou,19.0,231.01639344262296,9,15.056781564319746
0.1,0.2,20.0,30,diou,12.0,214.21153846153845,6,15.18295083782468
0.1,0.2,20.0,30,giou,22.0,235.265625,13,15.073226427480899
0.1,0.2,20.0,60,diou,10.0,209.9,4,15.178856982223344
0.1,0.2,20.0,60,giou,20.0,232.51612903225805,10,15.058436272737167
0.1,0.2,20.0,90,diou,10.0,209.88,4,15.180859663711482
0.1,0.2,20.0,90,giou,20.0,232.51612903225805,10,15.058436272737167
0.1,0.2,20.0,120,diou,10.0,209.88,4,15.180859663711482
0.1,0.2,20.0,120,giou,20.0,232.51612903225805,10,15.058436272737167
0.1,0.2,20.0,180,diou,10.0,209.92000000000002,4,15.185332407727293
0.1,0.2,20.0,180,giou,20.0,232.48387096774195,10,15.05400961615778
0.1,0.2,20.0,240,diou,10.0,209.92000000000002,4,15.185332407727293
0.1,0.2,20.0,240,giou,20.0,232.48387096774195,10,15.05400961615778
0.1,0.3,1.0,30,diou,31.0,246.02739726027397,22,15.033096890048316
0.1,0.3,1.0,30,giou,34.0,249.17105263157896,23,15.007941671479518
0.1,0.3,1.0,60,diou,30.0,244.97222222222223,20,15.023513945464728
0.1,0.3,1.0,60,giou,36.0,251.0897435897436,23,14.993917863904453
0.1,0.3,1.0,90,diou,31.0,246.013698630137,21,15.021000120247386
0.1,0.3,1.0,90,giou,37.0,251.9746835443038,25,14.99139531126422
0.1,0.3,1.0,120,diou,31.0,246.0,20,15.012960702132467
0.1,0.3,1.0,120,giou,37.0,251.9620253164557,24,14.98340586701799
0.1,0.3,1.0,180,diou,31.0,246.0,20,15.012960702132467
0.1,0.3,1.0,180,giou,37.0,251.9620253164557,24,14.98340586701799
0.1,0.3,1.0,240,diou,31.0,246.0,20,15.012960702132467
0.1,0.3,1.0,240,giou,37.0,251.9620253164557,24,14.98340586701799
0.1,0.3,3.0,30,diou,31.0,246.0,22,15.03120588456563
0.1,0.3,3.0,30,giou,34.0,249.14473684210526,23,15.006055396025989
0.1,0.3,3.0,60,diou,30.0,244.97222222222223,19,15.018483749462604
0.1,0.3,3.0,60,giou,34.0,249.17105263157896,21,14.993387633776091
0.1,0.3,3.0,90,diou,31.0,246.04109589041096,20,15.017844451690248
0.1,0.3,3.0,90,giou,35.0,250.12987012987014,22,14.99273942063758
0.1,0.3,3.0,120,diou,30.0,244.95833333333331,19,15.01123395027922
0.1,0.3,3.0,120,giou,34.0,249.1578947368421,21,14.986129752919865
