y,x,mass,size,ecc,signal,raw_mass,ep,frame,t,True_particle,vial
5.1,384.95,118,85990,0.241,13.39,118,0.0,0,0.0,False,0.0
266.07,137.83,175,85990,0.497,17.22,175,0.0,0,0.0,False,0.0
269.98,261.13,160,85990,0.491,14.93,160,0.0,0,0.0,False,0.0
271.34,425.94,928,85990,0.371,93.0,928,0.0,0,0.0,True,4.0
271.0,702.68,197,85990,0.523,19.52,197,0.0,0,0.0,False,0.0
276.0,137.73,197,85990,0.504,18.75,197,0.0,0,0.0,False,0.0
278.82,582.09,187,85990,0.447,19.52,187,0.1,0,0.0,False,0.0
281.0,702.55,219,85990,0.431,19.52,219,0.0,0,0.0,False,0.0
284.93,650.38,871,85990,0.377,84.96,871,0.0,0,0.0,True,6.0
285.99,260.98,200,85990,0.513,18.75,200,0.0,0,0.0,False,0.0
288.32,166.29,771,85990,0.325,85.34,771,0.0,0,0.0,True,2.0
292.99,386.98,114,85990,0.496,10.33,114,0.1,0,0.0,False,0.0
292.97,702.58,217,85990,0.464,19.13,217,0.1,0,0.0,False,0.0
296.96,582.21,133,85990,0.459,11.86,133,0.1,0,0.0,False,0.0
298.02,24.93,105,85990,0.508,10.72,105,0.1,0,0.0,False,0.0
299.0,137.24,306,85990,0.465,26.02,306,0.0,0,0.0,False,0.0
263.9,386.65,126,85990,0.469,12.25,126,0.0,0,0.0,False,0.0
299.03,261.01,205,85990,0.49,19.52,205,0.0,0,0.0,False,0.0
261.99,581.95,168,85990,0.552,16.46,168,0.1,0,0.0,False,0.0
257.98,19.68,113,85990,0.526,10.72,113,0.0,0,0.0,False,0.0
222.0,386.62,112,85990,0.496,10.33,112,0.0,0,0.0,False,0.0
221.98,703.15,210,85990,0.437,17.6,210,0.0,0,0.0,False,0.0
225.98,19.69,137,85990,0.526,13.01,137,0.0,0,0.0,False,0.0
229.99,582.0,216,85990,0.522,20.67,216,0.0,0,0.0,False,0.0
230.0,703.17,203,85990,0.53,19.52,203,0.1,0,0.0,False,0.0
231.95,138.08,226,85990,0.45,21.05,226,0.0,0,0.0,False,0.0
232.0,386.62,113,85990,0.483,11.1,113,0.1,0,0.0,False,0.0
240.0,19.71,119,85990,0.526,11.1,119,0.0,0,0.0,False,0.0
240.95,581.83,157,85990,0.549,16.07,157,0.1,0,0.0,False,0.0
241.98,261.58,199,85990,0.448,17.99,199,0.0,0,0.0,False,0.0
242.04,702.93,174,85990,0.504,16.84,174,0.0,0,0.0,False,0.0
243.03,386.79,114,85990,0.492,10.72,114,0.0,0,0.0,False,0.0
243.99,138.11,218,85990,0.491,19.52,218,0.0,0,0.0,False,0.0
249.99,261.59,187,85990,0.468,16.46,187,0.0,0,0.0,False,0.0
251.3,207.91,783,85990,0.34,80.75,783,0.0,0,0.0,True,2.0
258.02,702.88,186,85990,0.539,18.37,186,0.0,0,0.0,False,0.0
302.66,297.65,991,85990,0.315,94.91,991,0.0,0,0.0,True,3.0
308.01,582.27,120,85990,0.465,10.72,120,0.3,0,0.0,False,0.0
309.96,387.31,114,85990,0.429,9.57,114,0.1,0,0.0,False,0.0
343.44,77.57,707,85990,0.427,75.77,707,0.0,0,0.0,True,1.0
343.0,90.32,678,85990,0.244,75.77,678,0.0,0,0.0,True,1.0
343.31,168.02,291,85990,0.281,48.99,291,0.0,0,0.0,True,2.0
343.43,316.5,699,85990,0.319,87.64,699,0.0,0,0.0,True,3.0
345.59,453.87,736,85990,0.051,94.53,736,0.0,0,0.0,True,4.0
345.13,567.1,1141,85990,0.209,89.55,1141,0.0,0,0.0,True,5.0
345.47,698.96,693,85990,0.081,94.14,693,0.0,0,0.0,True,6.0
346.1,558.24,937,85990,0.503,96.82,937,0.0,0,0.0,True,5.0
346.3,676.92,1048,85990,0.332,89.55,1048,0.0,0,0.0,True,6.0
347.28,206.91,768,85990,0.379,83.43,768,0.0,0,0.0,True,2.0
346.81,536.6,793,85990,0.5,88.02,793,0.0,0,0.0,True,5.0
347.26,646.51,818,85990,0.44,84.58,818,0.0,0,0.0,True,6.0
347.0,667.65,742,85990,0.188,89.55,742,0.0,0,0.0,True,6.0
347.96,20.0,108,85990,0.476,12.25,108,0.0,0,0.0,False,0.0
346.77,51.38,432,85990,0.029,42.1,432,0.0,0,0.0,True,1.0
342.1,398.01,883,85990,0.377,92.61,883,0.0,0,0.0,True,4.0
342.45,294.16,546,85990,0.125,76.54,546,0.0,0,0.0,True,3.0
340.67,577.81,881,85990,0.352,85.72,881,0.0,0,0.0,True,5.0
341.06,177.57,753,85990,0.42,82.66,753,0.0,0,0.0,True,2.0
312.78,410.62,696,85990,0.228,66.21,696,0.0,0,0.0,True,4.0
315.02,137.22,282,85990,0.45,24.11,282,0.0,0,0.0,False,0.0
315.02,260.74,260,85990,0.54,26.41,260,0.0,0,0.0,False,0.0
315.03,702.36,219,85990,0.462,20.28,219,0.0,0,0.0,False,0.0
317.04,272.32,936,85990,0.367,82.66,936,0.0,0,0.0,True,3.0
319.99,582.13,152,85990,0.413,14.16,152,0.1,0,0.0,False,0.0
323.0,19.69,101,85990,0.563,10.33,101,0.0,0,0.0,False,0.0
220.99,581.84,200,85990,0.534,20.28,200,0.0,0,0.0,False,0.0
329.04,137.13,231,85990,0.468,21.05,231,0.0,0,0.0,False,0.0
331.37,195.11,812,85990,0.277,88.4,812,0.0,0,0.0,True,2.0
335.0,260.84,239,85990,0.521,22.96,239,0.0,0,0.0,False,0.0
