20.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,21d,006-converted,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
20.02.24,NEG-008,hTDP43,WT,m,21d,006-converte,2024-02-20_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_21d__1,5,55,2.9686,31.9327,0.9868,0,0.0574
20.02.24,NEG-008,hTDP43,A90V,m,21d,006-converte,2024-02-20_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_21d__2,18,68,1.2257,17.9208,0.9468,0,0.0491
20.02.24,NEG-008,hTDP43,G287S,m,21d,006-converte,2024-02-20_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_21d__3,56,106,2.1834,-41.1133,0.982,0,0.0495
20.02.24,NEG-008,hTDP43,G294A,m,21d,006-converte,2024-02-20_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_21d__4,65,115,1.0243,-14.5865,0.9196,0,0.0516
20.02.24,NEG-008,hTDP43,A315T,m,21d,006-converte,2024-02-20_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_21d__5,31,81,2.1725,-36.0503,0.9906,0,0.0354
20.02.24,NEG-008,hTDP43,M337V,m,21d,006-converte,2024-02-20_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_21d__6,69,119,0.4391,-18.4092,0.8361,0,0.034
20.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,21d,006-converte,2024-02-20_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_21d__all,3,53,1.0822,18.6856,0.9802,0,0.0257
