frame,ID,x,y
0,1,31.61878490447998,363.6738739013672
0,2,22.64005374908448,355.89947509765625
0,3,66.73230743408203,397.2349243164063
0,4,37.66460609436035,393.2048034667969
0,7,76.55098724365234,392.1039733886719
0,9,76.30793696732074,397.5461929952363
0,11,194.257568359375,395.7183532714844
0,12,159.66238403320312,320.28106689453125
0,14,205.6434233526101,396.2528381313834
0,16,173.55767822265625,396.5374145507813
0,17,141.02538299560547,363.8128204345703
0,18,208.86554718017572,394.7224731445313
0,19,201.46320343017572,395.10536193847656
0,23,274.58062744140625,356.9838256835937
0,24,301.73968973688017,395.6372528526002
0,25,330.5166473388672,296.4055938720703
0,26,284.2184295654297,396.295654296875
0,27,276.320556640625,397.9519805908203
0,28,441.1715087890625,394.21327209472656
0,31,426.02110290527344,332.4324493408203
0,32,423.897056627786,399.61556077740096
0,33,439.7406537099839,397.8048639680069
0,34,419.2440032958984,398.4989624023438
0,38,474.8092956542969,373.4175415039063
0,39,545.0306091308594,314.07423400878906
0,40,540.6397705078125,397.543197631836
0,42,549.55029296875,398.4100799560547
0,44,541.1188659667969,370.74452209472656
0,45,579.8500061035156,394.3465576171875
0,46,582.0096887338022,393.6661284036777
0,48,723.7718505859375,397.583740234375
0,49,707.3675231933594,388.1922149658203
0,50,707.3646545410156,396.5620880126953
0,51,673.382824433632,399.3568898046304
0,52,736.1382751464844,397.7201232910156
0,53,731.901123046875,352.7127685546875
0,54,670.2618103027344,397.5790252685547
1,1,32.861273765563965,361.1630554199219
1,2,16.554942257317045,351.21051327925335
1,3,68.77555847167969,396.9683990478516
1,4,37.974639892578125,392.0133361816406
1,7,75.46828079223633,391.0644378662109
1,9,75.00337982177734,397.5257110595703
1,11,193.84288024902344,396.5581817626953
1,12,159.55712127685547,320.22007751464844
1,14,201.9766159057617,395.535888671875
1,16,173.3712158203125,396.5071258544922
1,17,141.19931030273438,364.07623291015625
1,18,208.7865600585937,394.7559356689453
1,19,199.62932323569424,394.1834703492188
1,23,277.388427734375,366.2330474853516
1,24,301.73968973688017,395.6372528526002
1,25,330.5977478027344,296.4319152832031
1,26,283.9699401855469,396.2320556640625
1,27,276.1054992675781,397.7189331054688
1,28,439.1197052001953,394.3888092041016
1,31,409.08001708984375,296.5666046142578
1,32,422.86237273670366,398.5808768863186
1,33,439.99932468275455,397.8048639680069
1,34,418.7997283935547,398.82154846191406
1,38,474.9114227294922,373.3782806396485
1,39,545.0787353515625,314.1010131835937
1,40,541.0289916992188,397.25672912597656
1,42,549.7985534667969,398.31092834472656
1,44,541.0325927734375,370.9907531738281
1,45,579.544189453125,394.9433898925781
1,46,582.0096887338022,396.2528381313834
1,48,721.8331909179688,396.3020782470703
1,49,709.7450866699219,384.6384582519531
1,51,673.382824433632,401.426257586795
1,52,736.158935546875,398.4517364501953
1,53,732.6838684082031,353.5434112548828
1,54,671.3961181640625,398.9759216308594
2,1,32.98598670959473,357.5990905761719
2,2,15.002916420693571,350.69317133371214
2,3,68.16374206542969,397.24798583984375
2,4,36.98304557800293,390.42327880859375
2,7,74.39022445678711,389.48106384277344
2,9,75.58259201049805,396.8600616455078
2,11,192.9413909912109,396.5576019287109
2,12,159.86934661865234,319.7937316894531
2,14,203.1740798950196,395.8898468017578
2,16,173.50509643554688,396.36077880859375
2,17,141.82862091064453,363.3858795166016
2,18,208.8396224975586,393.6311950683594
2,19,200.05178833007807,395.50628662109375
2,23,276.2421112060547,381.3861083984375
2,24,301.73968973688017,394.3438979887473
2,25,331.14727783203125,296.1131591796875
2,26,283.6024780273437,396.5838317871094
2,27,275.0965795415105,398.0635349407775
2,28,436.8741302490234,394.634765625
2,31,407.3063507080078,288.9606323242187
2,32,423.12104370947424,399.09821883185975
2,33,441.2926795466075,396.7701800769246
2,34,418.2615966796875,398.7411193847656
2,38,474.7045135498047,372.0254974365234
2,39,544.7890930175781,313.9080505371094
2,40,541.7961730957031,396.2912139892578
2,42,549.5366821289062,398.22401428222656
2,44,540.6887512207031,371.0910339355469
2,45,580.1522521972656,394.74133300781256
