15.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,16d,004-converted,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
15.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,16d,004-converte,WT,79,129,1.8253,-53.8856,0.9994,0,0.0091
15.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,16d,004-converte,A90V,9,59,1.3113,5.0289,0.9715,0,0.0452
15.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,16d,004-converte,G287S,81,131,1.583,-63.7173,0.9929,0,0.0268
15.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,16d,004-converte,G294A-,62,112,0.464,13.6089,0.9658,0,0.0176
15.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,16d,004-converte,A315T,0,50,0.904,6.704,0.9812,0,0.0252
15.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,16d,004-converte,M337V,16,66,0.8664,-6.9496,0.9898,0,0.0177
15.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,16d,004-converte,2024-02-15_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_16d__all,83,133,1.1104,-16.3856,0.9912,0,0.021
