05.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,6d,001-converted,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
05.02.24,NEG-008,hTDP43,WT,m,6d,005-converte,2024-02-05_1,48,98,2.2012,-27.093,0.9719,0,0.0754
05.02.24,NEG-008,hTDP43,A90V,m,6d,005-converte,2024-02-05_2,81,131,2.1024,-47.7478,0.9957,0,0.0276
05.02.24,NEG-008,hTDP43,G287S,m,6d,005-converte,2024-02-05_3,47,97,0.9226,47.2803,0.9551,0,0.0405
05.02.24,NEG-008,hTDP43,G294A,m,6d,005-converte,2024-02-05_4,36,86,1.8017,1.2924,0.9986,0,0.0134
05.02.24,NEG-008,hTDP43,A315T,m,6d,005-converte,2024-02-05_5,23,73,1.5738,1.7255,0.985,0,0.039
05.02.24,NEG-008,hTDP43,M337V,m,6d,005-converte,2024-02-05_6,74,124,1.4116,-26.6005,0.9838,0,0.0364
05.02.24,NEG-008,hTDP43,AVG,m,6d,005-converte,2024-02-05_all,35,85,1.4187,8.8794,0.9972,0,0.015
