,id1,id15,id2,id39,id4,id7,id8,id84,id92,id97
id1,,,,,,,,,,
id15,,,,,,,,,,
id2,,,,,,,,,,
id39,,,,,,,,,,
id4,,,,,,,,,,
id7,,,,,,,,,,
id8,,,,,,,,,,
id84,,,,,,,,,,
id92,,,,,,,,,,
id97,,,,,,,,,,
