frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,id32,id33,id34,id35,id36,id37,id38,id39,id40,id41,id42,id43,id44,id45,id46,id47,id48,id49,id50,id51,id52,id53,id54,id55,id56,id57,id58,id59,id60,id61,id62,id63,id64,id65,id66,id67,id68,id69,id70,id71,id72,id73,id74,id75,id76,id77,id78,id79,id80,id81,id82,id83,id84,id85,id86,id88,id95,id98,id105,id110,id113,id115,id118,id120,id121,id125,id129,id133,id134,id135,id137,id148,id151,id153,id155,id162,id165,id166,id169,id170,id173,id177,id190,id197,id200,id206,id208,id209,id212,id216,id218,id221,id234,id246,id248,id249,id252,id254,id255,id260,id262,id273,id275,id276,id279,id281,id285,id288,id289,id292,id294,id301,id311,id312,id313
66,,,,"(399.02, 116.06)","(529.81, 358.26)",,"(418.13, 146.98)",,,,,"(198.84, 162.36)",,"(190.46, 146.29)",,,"(458.25, 350.60)",,,,,,,,"(200.05, 205.10)","(682.75, 171.29)",,,,,"(190.31, 356.86)",,,,,"(332.97, 356.47)","(536.80, 213.13)",,,,"(267.55, 232.83)",,,,,,,,,,,,,,,,,,,,,,,,,"(329.47, 260.69)",,,,,,"(560.98, 174.50)",,,,,"(297.31, 302.09)","(288.84, 358.19)",,,,,,,,,,"(664.44, 53.99)",,"(464.19, 183.19)","(67.20, 348.62)",,,"(419.14, 199.13)","(452.54, 271.85)","(59.67, 64.56)","(294.59, 111.50)",,"(730.60, 233.29)","(179.74, 191.43)","(313.68, 170.72)",,"(548.59, 264.47)","(674.29, 236.22)",,"(75.08, 260.26)","(543.75, 243.06)","(20.66, 287.63)","(661.57, 301.70)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,"(399.02, 112.28)","(529.71, 358.35)",,"(419.10, 143.78)",,,,,"(199.47, 159.52)",,"(189.99, 142.71)",,,"(460.35, 350.90)",,,,,,,,"(201.82, 202.67)","(683.87, 167.97)",,,,,"(189.96, 357.22)",,,,,"(331.87, 356.41)","(536.78, 213.23)",,,,"(267.49, 231.39)",,,,,,,,,,,,,,,,,,,,,,,,,"(329.87, 259.34)",,,,,,"(561.40, 170.84)",,,,,"(298.65, 299.47)","(288.66, 358.24)",,,,,,,,,,"(664.97, 51.20)",,"(464.29, 179.91)","(67.93, 345.76)",,,"(418.62, 195.89)","(450.17, 271.11)","(60.12, 61.09)","(293.36, 108.65)",,"(730.43, 233.32)","(178.24, 187.46)","(312.75, 168.39)",,"(547.71, 262.59)","(674.18, 233.83)",,"(75.76, 257.70)","(543.82, 238.45)","(20.39, 283.65)","(661.05, 297.61)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,"(398.87, 108.84)","(529.44, 357.63)",,"(419.42, 140.96)",,,,,"(200.59, 156.13)",,"(190.06, 139.53)",,,"(462.94, 351.40)",,,,,,,,"(203.32, 200.24)","(683.79, 164.18)",,,,,"(189.33, 357.70)",,,,,"(330.92, 356.46)","(536.90, 213.32)",,,,"(267.62, 229.33)",,,,,,,,,,,,,,,,,,,,,,,,,"(330.24, 258.17)",,,,,,"(561.37, 167.70)",,,,,"(300.96, 296.39)","(288.51, 358.30)",,,,,,,,,,"(665.47, 47.69)",,"(465.29, 176.29)","(68.80, 342.97)",,,"(418.44, 193.21)","(447.29, 269.50)","(60.24, 57.14)","(292.36, 106.71)",,"(730.40, 233.19)","(177.12, 183.81)","(311.65, 165.58)",,"(546.82, 260.47)","(674.29, 231.27)",,"(76.27, 255.33)","(544.69, 234.31)","(20.07, 280.75)","(660.78, 293.41)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,"(399.03, 106.06)","(529.04, 357.13)",,"(419.70, 138.26)",,,,,"(201.04, 153.31)",,"(189.26, 135.50)",,,"(465.27, 351.66)",,,,,,,,"(204.36, 197.81)","(684.19, 160.66)",,,,,"(189.40, 357.64)",,,,,"(329.27, 356.66)","(536.91, 213.29)",,,,"(267.83, 226.92)",,,,,,,,,,,,,,,,,,,,,,,,,"(330.54, 257.05)",,,,,,"(561.45, 164.08)",,,,,"(301.92, 294.43)","(288.56, 358.27)",,,,,,,,,,"(665.78, 44.63)",,"(465.27, 172.74)","(69.57, 339.51)",,,"(418.32, 190.41)","(444.89, 267.64)","(60.16, 53.72)","(291.14, 104.70)",,"(730.45, 233.23)","(175.72, 180.19)","(311.07, 162.97)",,"(545.75, 258.03)","(674.08, 229.01)",,"(76.51, 252.68)","(545.15, 230.42)","(19.51, 277.79)","(660.98, 289.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,"(398.53, 102.90)","(529.46, 356.51)",,"(419.95, 135.32)",,,,,"(201.82, 150.23)",,"(189.32, 132.51)",,,"(466.56, 352.21)",,,,,,,,"(204.56, 195.21)","(684.63, 157.22)",,,,,"(189.41, 357.75)",,,,,"(327.61, 356.78)","(536.79, 212.37)",,,,"(267.81, 223.39)",,,,,,,,,,,,,,,,,,,,,,,,,"(330.71, 255.64)",,,,,,"(561.57, 160.94)",,,,,"(302.83, 292.40)","(288.56, 358.27)",,,,,,,,,,"(665.68, 40.49)",,"(466.11, 169.13)","(70.44, 336.63)",,,"(417.79, 188.09)","(444.75, 265.57)","(60.02, 50.18)","(290.82, 102.74)",,"(730.46, 233.25)","(174.32, 176.53)","(310.74, 159.88)",,"(544.75, 255.90)","(674.29, 228.04)",,"(77.07, 250.49)","(545.66, 226.48)",,"(661.43, 284.87)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,"(398.41, 99.01)","(530.00, 355.99)",,"(420.36, 132.62)",,,,,"(202.09, 146.13)",,"(189.20, 130.18)",,,"(467.81, 352.39)",,,,,,,,"(205.29, 192.49)","(685.15, 154.05)",,,,,"(189.39, 357.72)",,,,,"(327.03, 356.96)","(537.00, 210.94)",,,,"(267.86, 220.57)",,,,,"(180.89, 359.41)",,,,,,,,,,,,,,,,,,,,"(330.83, 254.21)",,,,,,"(562.17, 157.80)",,,,,"(303.51, 289.96)","(288.12, 358.21)",,,,,,,,,,"(666.68, 37.09)",,"(466.06, 165.60)","(71.25, 332.83)",,,"(417.91, 185.99)","(445.13, 263.02)","(60.44, 46.80)","(289.39, 100.01)",,"(730.07, 232.52)","(172.44, 172.82)","(309.68, 156.96)",,"(543.98, 253.42)","(674.32, 226.91)",,"(77.39, 247.81)","(546.35, 222.70)",,"(661.42, 282.39)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,"(398.35, 96.01)","(530.94, 357.16)",,"(421.29, 129.42)",,,,,"(202.57, 143.74)",,"(189.14, 127.62)",,,"(469.08, 352.81)",,,,,,,,"(205.24, 189.95)","(685.67, 150.83)",,,,,"(189.49, 357.65)",,,,,"(326.21, 357.05)","(537.06, 208.46)",,,,"(268.29, 217.45)",,,,,"(180.88, 359.43)",,,,,,,,,,,,,,,,,,,,"(331.16, 252.99)",,,,,,"(562.88, 154.50)",,,,,"(304.25, 287.01)","(287.53, 358.13)",,,,,,,,,,"(666.10, 34.05)",,"(466.59, 162.71)","(71.95, 329.62)",,"(414.50, 256.93)","(417.74, 184.70)","(444.54, 260.01)","(60.24, 43.22)","(288.37, 96.09)",,"(730.04, 230.68)","(171.33, 168.77)","(309.65, 153.59)",,"(542.74, 250.98)","(673.94, 226.06)",,"(77.92, 245.50)","(546.68, 217.97)",,"(661.67, 278.92)",,"(560.00, 304.37)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,"(398.41, 93.08)","(531.12, 356.66)",,"(421.60, 126.58)",,,,,"(203.09, 140.29)",,"(189.07, 125.71)",,,"(469.67, 352.69)",,,"(28.39, 357.24)",,,,,"(205.53, 186.57)","(685.70, 147.63)",,,,,"(189.46, 357.80)",,,,,"(325.94, 357.34)","(537.33, 207.45)",,,,"(268.25, 215.26)",,,,,"(181.06, 359.31)",,,,,,,,,,,,,,,,,,,,"(331.46, 251.35)",,,,,,"(563.43, 151.57)",,,,,"(304.63, 284.23)","(287.26, 357.97)",,,,,,,,,,"(666.22, 30.22)",,"(466.79, 160.05)","(72.68, 326.14)",,"(415.82, 253.62)","(417.27, 184.05)","(444.08, 256.58)","(60.53, 39.96)","(287.22, 92.47)",,"(730.10, 228.85)","(169.49, 165.43)","(308.61, 150.65)",,"(541.92, 248.81)","(673.69, 224.46)",,"(78.07, 243.00)","(548.31, 214.46)",,"(661.74, 274.83)",,"(563.13, 303.64)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,"(398.29, 90.44)","(531.40, 356.52)",,"(422.32, 123.43)",,,,,"(203.48, 137.08)",,"(189.02, 123.23)",,,"(470.21, 353.30)",,,,,,,,"(205.23, 183.58)","(686.38, 144.33)",,,,,"(189.00, 358.02)",,,,,"(325.67, 357.58)","(537.04, 205.40)",,,,"(268.90, 211.92)",,,,,,,,,,,,,,,,,,,,,,,,,"(331.56, 249.69)",,,,,,"(563.79, 148.28)",,,,,"(305.23, 281.24)","(286.74, 358.07)",,,,,,,,,,"(665.40, 26.58)",,"(467.29, 157.06)","(73.25, 322.98)",,"(416.53, 250.12)","(416.86, 183.13)","(443.41, 253.40)","(60.34, 36.94)","(286.50, 88.85)",,"(730.26, 227.04)","(168.41, 161.79)","(308.55, 147.44)",,"(541.10, 246.29)","(673.86, 222.63)",,"(77.45, 240.18)","(549.38, 210.18)",,"(662.43, 273.59)",,"(566.30, 302.49)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,"(398.77, 87.96)","(531.82, 358.71)",,"(422.70, 120.47)",,,,,"(203.75, 133.62)",,"(189.14, 120.65)",,,"(470.19, 353.21)",,,,,,,,"(205.24, 180.18)","(686.31, 141.13)",,,,,"(188.76, 357.86)",,,,,"(325.11, 357.79)","(537.30, 204.23)",,,,"(269.42, 208.32)",,,,,,,,,,,,,,,,,,,,,,,,,"(331.97, 247.79)",,,,,,"(564.40, 145.18)",,,,,"(305.00, 278.14)","(286.01, 358.04)",,,,,,,,,,"(665.45, 23.61)",,"(467.15, 155.47)","(74.00, 319.77)",,"(417.78, 247.25)","(416.75, 181.35)","(443.36, 249.66)","(60.77, 33.51)","(284.78, 84.65)",,"(730.25, 224.02)","(167.49, 158.31)","(307.72, 144.01)",,"(540.19, 243.65)","(673.63, 220.69)",,"(77.52, 237.85)","(550.09, 206.41)",,"(662.57, 270.70)",,"(568.82, 302.08)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,"(399.30, 85.94)","(531.71, 357.77)",,"(422.91, 117.83)",,,,,"(204.44, 130.25)",,"(189.06, 117.89)",,,"(470.11, 353.50)",,,,,,,,"(205.21, 176.99)","(687.67, 137.90)",,,,,"(188.70, 357.68)",,,,,"(324.60, 358.34)","(537.34, 203.00)",,,,"(270.17, 204.77)",,,,,,,,,,,,,,,,,,,,,,,,,"(332.47, 246.15)",,,,,,"(564.67, 141.13)",,,,,"(305.05, 274.94)","(283.39, 358.64)",,,,,,,,,,"(664.81, 20.38)",,"(467.33, 153.78)","(74.47, 316.72)",,"(418.71, 244.05)","(416.07, 179.42)","(442.87, 246.34)","(60.71, 29.96)","(284.10, 80.43)",,"(730.37, 221.91)","(166.69, 154.37)","(307.92, 140.52)",,"(539.24, 241.39)","(673.64, 218.72)",,"(76.99, 235.46)","(551.18, 202.92)",,"(662.56, 268.80)",,"(571.89, 300.87)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,"(399.99, 83.48)","(531.97, 356.98)",,"(423.19, 115.10)",,,,,"(204.39, 126.18)",,"(189.20, 115.53)",,,"(469.53, 353.95)",,,,,,,,"(204.92, 173.41)","(688.24, 134.79)",,,,,"(188.61, 357.72)",,,,,"(324.53, 358.42)","(537.18, 202.27)",,,,"(270.85, 202.02)",,,,,,,,,,,,,,,,,,,,,,,,,"(332.91, 244.04)",,,,,,"(564.82, 138.07)",,,,,"(305.27, 272.00)","(282.14, 358.87)",,,,,,,,,,"(664.35, 17.51)",,"(467.36, 150.91)","(75.02, 313.62)",,"(418.99, 240.88)","(415.85, 177.62)","(442.53, 242.53)","(61.19, 26.54)","(283.28, 75.90)",,"(729.95, 219.90)","(165.54, 150.81)","(307.74, 137.89)",,"(538.69, 239.33)","(673.52, 216.53)",,"(76.75, 233.00)","(552.97, 199.13)",,"(663.25, 266.39)",,"(574.51, 299.96)","(730.07, 204.69)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,"(400.35, 81.38)","(533.12, 356.21)",,"(423.19, 112.47)",,,,,"(204.51, 123.57)",,"(189.14, 112.83)",,,"(469.40, 354.14)",,,,,,,,"(204.94, 169.60)","(689.94, 131.21)",,,,,"(188.87, 357.72)",,,,,"(325.92, 358.39)","(537.31, 200.80)",,,,"(271.53, 198.91)",,,,,,,,,,,,,,,,,,,,,,,,,"(332.99, 241.57)",,,,,,"(565.01, 134.52)",,,,,"(305.78, 268.33)","(281.53, 359.06)",,,,,,,,,,"(663.61, 14.81)",,"(466.91, 147.51)","(75.29, 310.55)",,"(418.79, 237.36)","(415.77, 174.68)","(442.43, 239.02)","(61.47, 22.87)","(283.32, 71.73)",,"(729.97, 217.43)","(165.02, 147.61)","(307.98, 135.28)",,"(537.89, 237.10)","(672.82, 214.31)",,"(76.31, 230.69)","(554.15, 195.49)",,"(663.50, 264.53)",,"(577.79, 298.47)","(730.00, 201.93)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,"(400.32, 78.83)","(533.91, 355.42)",,"(423.65, 109.67)",,,,,"(204.51, 121.88)",,"(189.15, 109.65)",,,"(468.60, 354.33)",,,,,,,,"(204.63, 166.07)","(690.70, 127.32)",,,,,"(188.80, 357.86)",,,,,"(326.29, 358.50)","(537.53, 198.67)",,,,"(272.18, 196.46)",,,,,,,,,,,,,,,,,,,,,,,,,"(333.32, 238.62)",,,,,,"(564.70, 131.40)",,,,,"(306.73, 264.43)","(281.07, 359.21)",,,,,,,,,,"(663.49, 11.67)",,"(466.74, 144.25)","(75.94, 307.76)",,"(417.79, 235.33)","(415.07, 172.30)","(442.56, 235.03)","(61.71, 19.35)","(282.48, 66.98)",,"(730.09, 215.61)","(164.25, 143.96)","(307.71, 132.67)",,"(536.50, 234.46)","(672.68, 211.55)",,"(75.71, 228.41)","(555.73, 191.26)",,"(664.02, 261.38)",,"(580.38, 297.13)","(729.90, 199.37)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,"(400.16, 75.82)","(535.27, 354.54)",,"(423.86, 106.63)",,,,,"(205.00, 121.04)",,"(188.81, 106.75)",,,"(467.47, 355.09)",,,,,,,,"(204.65, 162.70)","(691.73, 124.62)",,,,,,,,,,"(326.77, 358.47)","(537.42, 196.79)",,,,"(273.70, 193.25)",,,,,,,,,,,,,,,,,,,,,,,,,"(333.74, 236.13)",,,,,,"(565.09, 127.82)",,,,,"(306.78, 260.85)","(280.91, 359.26)",,,,,,,,,,"(662.44, 7.98)",,"(466.24, 141.44)","(76.44, 304.73)",,"(415.96, 232.25)","(414.20, 169.64)","(441.91, 231.45)","(61.86, 16.59)","(282.60, 62.95)",,"(730.28, 213.36)","(164.03, 141.11)","(308.21, 129.55)",,"(535.92, 231.86)","(672.47, 208.94)",,"(75.35, 226.90)","(557.16, 187.39)",,"(664.41, 258.07)",,"(582.99, 295.17)","(729.49, 197.02)","(667.62, 239.41)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,"(399.51, 73.06)","(537.15, 353.47)",,"(423.89, 103.90)",,,,,"(205.28, 120.75)",,"(188.67, 103.71)",,,"(467.18, 357.31)",,,,,,,,"(204.13, 159.25)","(692.83, 121.23)",,,,,,,,,,"(327.47, 358.67)","(537.45, 193.84)",,,,"(274.84, 190.02)",,,,,,,,,,,,,,,,,,,,,,,,,"(334.01, 233.36)",,,,,,"(565.13, 125.06)",,,,,"(307.94, 257.31)","(281.46, 358.99)",,,,,,,,,,"(661.91, 5.43)",,"(465.85, 138.61)","(76.79, 301.77)",,"(415.12, 229.71)","(412.74, 167.45)","(442.36, 227.24)","(62.20, 13.52)","(282.47, 58.48)",,"(729.58, 211.55)","(163.12, 138.12)","(308.25, 126.63)",,"(535.15, 229.58)","(672.34, 205.57)",,"(74.75, 225.06)","(558.16, 183.28)",,"(665.23, 254.72)",,"(585.28, 293.29)","(729.54, 195.03)","(667.95, 239.07)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,"(399.24, 70.19)","(538.77, 352.63)",,"(424.56, 101.23)",,,,,"(205.42, 120.87)",,"(188.41, 101.48)",,,"(466.81, 359.34)",,,,,,,,"(204.02, 155.77)","(693.89, 117.99)",,,,,,,,,,"(327.79, 358.73)","(537.56, 191.14)",,,,"(276.15, 186.32)",,,,,,,,,,,,,,,,,,,,,,,,,"(334.34, 230.62)",,,,,,"(565.37, 121.91)",,,,,"(307.82, 254.60)","(281.83, 358.62)",,,,,,,,,,"(661.17, 3.52)",,"(465.34, 135.34)","(77.29, 298.60)",,"(413.56, 226.87)","(411.68, 164.73)","(442.52, 223.52)","(62.12, 10.83)","(282.37, 53.98)",,"(729.35, 210.38)","(162.88, 134.30)","(308.11, 124.11)",,"(534.47, 227.48)","(671.60, 202.52)",,"(73.05, 223.32)","(559.62, 179.72)",,"(665.03, 251.80)",,"(587.43, 291.30)","(729.15, 193.39)","(669.13, 239.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,"(399.25, 67.39)","(540.81, 351.20)",,"(425.15, 98.08)",,,,,"(205.24, 120.68)",,"(187.98, 98.71)",,,"(467.81, 359.68)",,,,,,,,"(204.06, 152.54)","(693.88, 114.50)",,,,,,,,,,"(327.82, 358.75)","(537.90, 188.21)",,,,"(277.31, 183.17)",,,,,,,,,,,,"(201.19, 358.44)",,,,,,,,,,,,,"(334.48, 227.18)",,,,,,"(565.16, 119.11)",,,,,"(308.51, 251.40)","(281.89, 358.58)",,,,,,,,,,"(660.31, 2.41)",,"(465.42, 131.95)","(77.42, 295.92)",,"(412.53, 224.31)","(410.67, 162.11)","(442.21, 220.20)","(62.46, 7.81)","(282.24, 50.87)",,"(727.69, 209.14)","(162.18, 130.76)","(308.67, 121.17)",,"(533.47, 225.25)","(671.64, 199.33)",,"(72.37, 220.67)","(560.81, 175.71)",,"(665.73, 248.18)",,"(589.42, 288.58)","(729.07, 192.00)","(670.82, 239.04)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,"(398.28, 64.49)","(543.24, 350.19)",,"(425.77, 95.19)",,,,,"(205.16, 120.59)",,"(187.55, 96.02)",,,"(467.86, 359.42)",,,,,,,,"(203.78, 149.39)","(694.59, 111.37)",,,,,,,,,,"(327.92, 358.70)","(537.64, 184.91)",,,,"(278.37, 180.11)",,,,,,,,,,,,"(201.14, 358.39)",,,,,,,,,,,,,"(335.03, 224.02)",,,,,,"(565.66, 116.44)",,,,,"(308.91, 248.49)","(281.48, 358.39)",,,,,,,,,,"(659.64, 1.54)",,"(464.57, 128.68)","(77.58, 292.89)",,"(411.36, 221.19)","(409.80, 159.79)","(441.67, 216.73)","(62.54, 5.36)","(282.40, 47.72)",,"(727.12, 208.67)","(161.47, 127.27)","(308.77, 118.52)",,"(532.81, 222.43)","(671.19, 196.23)",,"(71.44, 218.40)","(562.22, 172.52)",,"(665.81, 244.04)",,"(591.26, 285.94)","(728.77, 190.53)","(673.29, 238.24)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,"(398.18, 61.91)","(545.58, 348.71)",,"(425.89, 92.05)",,,,,"(205.46, 119.16)",,"(186.89, 93.80)",,,"(467.98, 359.04)",,,,,,,,"(203.68, 146.48)","(694.33, 108.23)",,,,,,,,,,"(328.66, 358.65)","(537.99, 182.20)",,,,"(279.98, 177.23)",,,,,,,,,,,,"(201.25, 358.31)",,,,,,,,,,,,,"(335.50, 220.84)",,,,,,"(565.96, 113.29)",,,,,"(310.10, 244.99)","(281.33, 358.30)",,,,,,,,,,,,"(464.23, 125.27)","(77.61, 289.44)",,"(409.67, 218.23)","(408.98, 156.89)","(441.82, 212.87)","(63.00, 3.55)","(282.20, 44.18)",,"(726.32, 207.12)","(160.11, 126.82)","(309.20, 115.59)",,"(532.47, 220.60)","(670.88, 192.89)",,"(71.13, 214.76)","(563.83, 169.27)",,"(665.78, 241.37)",,"(592.68, 283.20)","(728.70, 188.80)","(676.06, 237.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,"(398.10, 59.90)","(547.86, 347.60)",,"(426.07, 88.93)",,,,,"(205.39, 116.29)",,"(186.36, 90.95)",,,"(467.24, 358.35)",,,,,,,,"(203.17, 143.24)","(694.46, 104.56)",,,,,,,,,,"(330.79, 359.17)","(537.97, 179.34)",,,,"(280.94, 173.99)",,,,,,,,,,,,"(201.25, 358.20)",,,,,,,,,,,,,"(335.58, 218.23)",,,,,,"(566.35, 110.20)",,,,,"(310.04, 241.78)","(281.37, 358.29)",,,,,,,,,,,,"(464.16, 121.71)","(77.75, 286.37)",,"(407.73, 215.90)","(407.63, 154.08)","(441.17, 209.27)","(63.09, 2.47)","(282.66, 39.94)",,"(725.92, 206.09)","(160.20, 124.56)","(308.95, 113.01)",,"(532.02, 218.17)","(670.96, 190.59)",,"(70.67, 211.72)","(565.27, 167.18)",,"(665.41, 237.97)",,"(594.48, 279.96)","(728.81, 187.96)","(678.77, 236.70)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,"(398.41, 58.17)",,,"(426.52, 86.66)",,,,,"(205.33, 113.64)",,"(185.96, 88.81)",,,"(466.77, 357.71)",,,,,,,,"(202.67, 140.28)","(693.83, 101.29)",,,,,,,,,,"(331.28, 358.94)","(538.26, 176.77)",,,,"(281.48, 171.38)",,,,,,,,,,,,,,,,,,,,,,,,,"(335.52, 215.61)",,,,,,"(566.29, 107.62)",,,,,"(310.74, 238.46)","(281.40, 358.34)",,,,,,,,,,,,"(463.98, 118.79)","(77.65, 282.61)",,"(406.37, 213.88)","(406.84, 151.05)","(441.00, 205.71)","(63.95, 1.25)","(283.87, 36.62)",,"(725.48, 205.38)","(160.03, 122.17)","(309.72, 110.05)",,"(531.44, 216.08)","(670.46, 187.48)",,"(70.59, 208.70)","(566.76, 164.78)",,"(665.21, 234.84)",,"(595.03, 276.79)","(728.75, 187.45)","(681.95, 235.40)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,"(398.40, 56.61)",,,"(426.53, 84.09)",,,,,"(205.27, 110.20)",,"(185.46, 86.85)",,,"(465.59, 357.99)",,,,,,,,"(202.11, 137.50)","(693.31, 97.80)",,,,,,,,,,"(331.46, 357.94)","(538.24, 174.41)",,,,"(282.59, 168.82)",,,,,,,,,,,,,,,,,,,,,,,,,"(335.64, 213.45)",,,,,,"(566.13, 105.27)",,,,,"(310.97, 235.74)","(281.43, 358.29)",,,,,,,,,,,,"(463.68, 115.65)","(77.94, 279.95)",,"(404.85, 211.69)","(406.05, 148.84)","(441.06, 202.15)",,"(284.52, 33.91)",,"(724.71, 203.86)","(159.43, 118.87)","(309.83, 107.07)",,"(530.76, 213.79)","(670.06, 184.60)",,"(70.36, 206.00)","(568.98, 162.29)",,"(664.92, 231.43)",,"(595.97, 273.77)","(728.65, 187.40)","(683.83, 234.26)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,"(399.49, 54.95)",,,"(426.81, 81.12)",,,,,"(205.30, 107.20)",,"(185.10, 83.99)",,,"(463.74, 358.19)",,,,,,,,"(201.74, 134.69)","(692.38, 94.48)",,,,,,,,,,"(332.62, 357.97)","(538.29, 172.01)",,,,"(283.82, 166.41)",,,,,,,,,,,,,,,,,,,,,,,,,"(336.06, 210.63)",,,,,,"(566.33, 103.55)",,,,,"(310.98, 232.47)",,,,,,,,,,,,,"(463.65, 112.20)","(77.94, 276.57)",,"(403.31, 209.56)","(405.16, 146.15)","(441.21, 198.32)",,"(284.95, 31.17)",,"(724.10, 202.81)","(159.34, 116.03)","(310.21, 104.37)",,"(530.15, 211.00)","(669.37, 181.66)",,"(70.41, 202.32)","(570.46, 158.81)",,"(664.29, 227.95)",,"(596.98, 271.06)","(728.48, 187.30)","(686.22, 233.53)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,"(399.90, 54.28)",,,"(426.94, 78.39)",,,,,"(205.59, 103.98)",,"(184.22, 81.59)",,,"(462.28, 358.36)",,,,,,,,"(201.58, 133.07)","(691.39, 91.41)",,,,,,,,,,"(332.57, 357.64)","(538.40, 169.15)",,,,"(284.93, 163.88)",,,,,,,,,,,,,,,,,,,,,,,,,"(336.17, 208.72)",,,,,,"(566.52, 101.53)",,,,,"(311.68, 229.19)",,,,,,,,,,,,,"(463.51, 108.63)","(77.84, 273.39)",,"(402.55, 207.31)","(404.26, 143.22)","(441.47, 194.68)",,"(285.17, 30.04)",,"(723.98, 202.10)","(158.61, 112.09)","(310.97, 101.74)",,"(530.00, 208.39)","(669.19, 179.04)",,"(69.78, 198.14)","(572.84, 154.94)",,"(664.32, 224.37)",,"(598.44, 267.98)","(728.44, 187.32)","(688.45, 232.75)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,"(401.08, 52.84)",,,"(427.13, 75.62)",,,,,"(205.13, 101.01)",,"(183.73, 78.90)",,,"(460.44, 359.41)",,,,,,,,"(201.41, 131.75)","(691.02, 88.01)",,,,,,,,,,"(332.54, 357.40)","(538.36, 167.38)",,,,"(285.66, 162.11)",,,,,"(176.35, 359.18)",,,,,,,,,,,,,,,,,,,,"(336.36, 206.60)",,,,,,"(566.33, 98.93)",,,,,"(312.12, 226.00)",,,,,,,,,,,,,"(463.37, 105.46)","(77.73, 269.88)",,"(401.22, 205.51)","(403.82, 140.72)","(441.91, 190.89)",,"(285.38, 29.33)",,"(723.33, 200.99)","(157.93, 109.73)","(310.99, 99.15)",,"(529.92, 206.12)","(668.60, 175.66)",,"(70.36, 194.23)","(574.72, 151.50)",,"(663.46, 220.94)",,"(598.80, 265.89)","(728.62, 186.41)","(691.17, 232.03)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,"(402.33, 52.14)",,,"(427.33, 72.84)",,,,,"(205.39, 97.96)",,"(183.04, 77.33)",,,"(457.90, 360.08)",,,,,,,,"(201.34, 131.47)","(689.99, 85.37)",,,,,,,,,,"(333.50, 357.09)","(538.41, 165.56)",,,,"(286.45, 160.90)",,,,,"(176.66, 358.82)",,,,,,,,,,,,,,,,,,,,"(336.82, 204.75)",,,,,,"(565.97, 96.14)",,,,,"(313.04, 222.77)",,,,,,,,,,,,,"(463.45, 102.29)","(77.66, 266.70)",,"(400.23, 203.55)","(403.24, 137.84)","(442.77, 187.29)",,"(285.72, 28.59)",,"(722.68, 199.64)","(157.62, 107.00)","(311.45, 97.27)",,"(529.53, 203.88)","(668.15, 173.84)",,"(70.03, 190.32)","(576.57, 148.36)",,"(662.72, 216.93)",,"(599.27, 263.66)","(728.99, 185.09)","(694.43, 230.47)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
