frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,id32,id33,id34,id35,id36,id37,id38,id39,id40,id41,id42,id43,id44,id45,id46,id47,id48,id49,id50,id51,id52,id53,id54,id55,id56,id57,id58,id59,id60,id61,id62,id63,id64,id65,id66,id67,id68,id69,id70,id71,id72,id73,id74,id75,id76,id77,id78,id79,id80,id81,id82,id83,id84,id85,id86,id88,id95,id98,id105,id110,id113,id115,id118,id120,id121,id125,id129,id133,id134,id135,id137,id148,id151,id153,id155,id162,id165,id166,id169,id170,id173,id177,id190,id197,id200,id206,id208,id209,id212,id216,id218,id221,id234,id246,id248,id249,id252,id254,id255,id260,id262,id273,id275,id276,id279,id281,id285,id288,id289,id292,id294,id301,id311,id312,id313
56,,,,"(403.37, 148.63)","(534.43, 347.86)",,"(412.60, 175.66)","(707.43, 302.25)",,,,"(191.63, 196.04)",,"(188.54, 175.28)",,,"(427.14, 346.40)",,,,,,,,"(190.92, 215.69)","(679.95, 206.05)",,,,,,,"(554.95, 357.12)",,,,"(538.55, 230.02)",,,,"(267.25, 246.25)",,,,,,,,,,,,,,,,,"(690.53, 360.21)",,,,,,,,"(325.29, 278.26)",,,,,,"(557.77, 209.21)",,,,,"(277.51, 328.15)","(321.45, 358.34)",,,,,,,,,,"(658.82, 81.59)",,"(462.01, 217.82)","(64.42, 355.80)",,,"(422.14, 228.27)","(466.87, 288.52)","(57.07, 98.85)","(306.83, 143.22)","(399.53, 292.64)","(729.92, 244.20)","(181.54, 224.35)","(303.98, 193.49)",,"(560.21, 288.03)","(687.31, 262.69)",,"(66.53, 278.19)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,"(402.59, 146.33)","(533.27, 348.97)",,"(413.28, 173.49)","(707.93, 301.13)",,,,"(192.95, 192.98)",,"(189.10, 173.44)",,,"(427.98, 346.01)",,,,,,,,"(190.92, 215.75)","(680.48, 202.88)",,,,,"(191.67, 359.11)",,"(554.86, 357.22)",,,,"(537.63, 227.61)",,,,"(267.42, 245.59)",,,,,,,,,,,,,,,,,"(690.68, 360.34)",,,,,,,,"(325.82, 276.01)",,,,,,"(558.17, 205.03)",,,,,"(278.63, 324.83)","(318.44, 358.02)",,,,,,,,,,"(658.83, 77.59)",,"(461.89, 214.06)","(64.50, 355.30)",,,"(421.74, 225.27)","(466.10, 288.07)","(57.29, 95.05)","(306.35, 141.24)","(399.64, 291.63)","(729.87, 243.68)","(182.03, 220.86)","(305.27, 191.08)",,"(559.08, 285.72)","(686.00, 260.24)",,"(67.36, 276.83)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,"(401.76, 143.13)","(532.29, 350.12)",,"(413.58, 170.56)","(708.49, 300.90)",,,,"(194.47, 190.40)",,"(189.34, 171.08)",,,"(430.41, 345.51)",,,,,,,,"(190.58, 215.66)","(680.54, 199.56)",,,,,"(191.81, 358.59)",,"(555.15, 357.23)",,,,"(537.49, 225.66)",,,,"(267.62, 244.70)",,,,,,,,,,,,,,,,,"(690.91, 360.22)",,,,,,,,"(326.45, 273.84)",,,,,,"(558.56, 201.70)",,,,,"(280.69, 321.24)","(315.05, 357.72)",,,,,,,,,,"(659.26, 74.55)",,"(461.87, 210.31)","(64.75, 354.85)",,,"(421.06, 222.30)","(464.97, 286.42)","(57.13, 91.90)","(305.48, 138.15)","(400.40, 291.22)","(730.30, 241.77)","(183.74, 218.19)","(307.88, 188.74)",,"(557.96, 283.55)","(684.50, 257.67)",,"(68.11, 275.68)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,"(401.07, 140.84)","(531.58, 351.75)",,"(413.95, 167.76)","(709.04, 300.06)",,,,"(195.98, 187.08)",,"(189.86, 168.51)",,,"(433.68, 344.95)",,,,,,,,"(190.48, 216.15)","(681.25, 196.36)",,,,,"(191.84, 358.07)",,"(555.33, 357.21)",,,,"(537.10, 223.12)",,,,"(267.75, 243.66)",,,,,,,,,,,,,,,,,"(691.23, 360.09)",,,,,,,,"(326.92, 272.21)",,,,,,"(558.95, 198.20)",,,,,"(282.87, 318.39)","(312.34, 357.52)",,,,,,,,,,"(659.16, 71.12)",,"(462.10, 206.66)","(65.49, 353.79)",,,"(421.22, 219.53)","(463.70, 284.70)","(57.00, 88.75)","(303.51, 134.72)","(401.30, 290.28)","(730.35, 240.80)","(184.78, 214.82)","(309.64, 186.70)",,"(556.52, 280.89)","(682.68, 255.26)",,"(69.33, 274.06)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,"(400.55, 136.87)","(530.74, 354.29)",,"(415.32, 164.20)","(709.60, 299.29)",,,,"(196.38, 183.86)",,"(190.11, 166.04)",,,"(437.58, 345.52)",,,,,,,,"(191.30, 216.32)","(681.35, 192.08)",,,,,"(191.97, 357.89)",,"(555.47, 357.11)",,,,"(537.15, 220.25)",,,,"(267.65, 242.14)",,,,,,,,,,,,,,,,,"(691.57, 359.96)",,,,,,,,"(327.46, 270.51)",,,,,,"(559.11, 194.58)",,,,,"(284.74, 315.93)","(308.92, 358.33)",,,,,,,,,,"(659.45, 68.94)",,"(462.27, 203.53)","(66.21, 352.69)",,,"(420.74, 216.80)","(462.49, 282.53)","(57.13, 85.34)","(302.39, 131.20)","(402.31, 289.39)","(730.43, 240.05)","(185.10, 212.39)","(310.88, 184.43)",,"(555.51, 278.47)","(681.22, 252.43)",,"(70.29, 272.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,"(399.82, 133.64)","(530.32, 356.61)",,"(415.70, 160.81)","(709.96, 298.49)",,,,"(196.65, 180.17)",,"(190.29, 163.08)",,,"(441.57, 346.19)",,,,,,,,"(192.58, 215.01)","(681.51, 189.46)",,,,,"(192.19, 357.84)",,"(554.59, 351.21)",,,,"(537.00, 217.70)",,,,"(267.62, 239.88)",,,,,,,,,,,,,,,,,"(692.34, 360.19)",,,,,,,,"(327.99, 268.76)",,,,,,"(558.99, 190.81)",,,,,"(286.75, 313.38)","(305.22, 358.18)",,,,,,,,,,"(660.09, 66.26)",,"(462.31, 200.05)","(66.36, 351.80)",,,"(420.27, 213.90)","(461.63, 280.21)","(57.73, 81.64)","(300.48, 128.14)","(402.90, 288.21)","(730.48, 239.37)","(184.13, 209.92)","(312.62, 182.21)",,"(554.64, 275.80)","(679.34, 249.53)",,"(71.32, 269.35)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,"(399.65, 130.29)","(530.28, 357.59)",,"(416.30, 157.73)","(710.16, 298.17)",,,,"(197.56, 176.12)",,"(190.41, 159.59)",,,"(444.88, 347.39)",,,,,,,,"(194.42, 213.24)","(681.65, 185.48)",,,,,"(192.75, 357.09)",,,,,"(335.41, 356.61)","(536.88, 216.24)",,,,"(267.62, 238.41)",,,,,,,,,,,,,,,,,"(692.92, 360.25)",,,,,,,,"(328.32, 266.79)",,,,,,"(559.07, 187.93)",,,,,"(288.73, 311.15)","(301.04, 358.09)",,,,,,,,,,"(661.29, 64.14)",,"(462.87, 196.53)","(66.70, 350.92)",,,"(420.06, 210.91)","(459.69, 277.97)","(58.03, 78.18)","(299.09, 124.46)","(403.93, 286.52)","(730.46, 237.98)","(183.77, 206.24)","(313.24, 180.36)",,"(553.31, 273.62)","(678.00, 246.85)",,"(72.17, 267.34)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,"(399.62, 126.73)","(530.44, 358.17)",,"(416.80, 155.20)","(710.18, 298.12)",,,,"(197.24, 172.63)",,"(190.41, 156.13)",,,"(448.62, 348.28)",,,,,,,,"(195.87, 211.19)","(681.98, 182.05)",,,,,"(192.08, 356.66)",,,,,"(334.43, 356.13)","(536.86, 214.90)",,,,"(267.53, 237.25)",,,,,,,,,,,,,,,,,"(692.84, 360.24)",,,,,,,,"(328.48, 264.70)",,,,,,"(559.60, 184.51)",,,,,"(292.19, 309.02)","(296.42, 357.79)",,,,,,,,,,"(661.62, 61.48)",,"(462.93, 192.37)","(66.77, 350.38)",,,"(419.46, 208.34)","(458.02, 275.91)","(58.41, 74.98)","(297.91, 121.04)",,"(730.35, 236.51)","(182.60, 202.55)","(314.34, 178.51)",,"(552.40, 271.48)","(677.39, 244.38)",,"(73.14, 264.92)","(543.58, 254.60)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,"(399.34, 123.06)","(530.30, 358.52)",,"(417.46, 152.58)","(711.13, 296.13)",,,,"(197.93, 169.26)",,"(190.65, 153.16)",,,"(451.66, 349.57)",,,,,,,,"(197.59, 209.03)","(682.08, 178.41)",,,,,"(191.67, 356.56)",,,,,"(333.79, 356.30)","(536.91, 214.23)",,,,"(267.48, 235.75)",,,,,,,,,,,,,,,,,,,,,,,,,"(329.03, 262.96)",,,,,,"(559.60, 181.44)",,,,,"(293.11, 307.08)","(293.65, 358.31)",,,,,,,,,,"(662.87, 59.22)",,"(463.05, 189.19)","(66.59, 350.14)",,,"(419.53, 205.08)","(456.38, 273.64)","(58.69, 71.41)","(297.35, 117.79)",,"(730.39, 235.69)","(181.81, 198.76)","(315.22, 175.68)",,"(551.00, 268.91)","(676.38, 242.01)",,"(73.65, 263.52)","(543.51, 251.22)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,"(399.19, 119.33)","(529.79, 358.37)",,"(418.14, 149.73)",,,,,"(198.32, 165.89)",,"(190.40, 150.06)",,,"(454.49, 349.77)",,,,,,,,"(198.35, 207.53)","(682.51, 175.30)",,,,,"(191.47, 356.67)",,,,,"(333.15, 356.65)","(536.87, 213.65)",,,,"(267.48, 234.33)",,,,,,,,,,,,,,,,,,,,,,,,,"(329.16, 261.86)",,,,,,"(560.68, 178.08)",,,,,"(295.17, 305.05)","(291.58, 358.40)",,,,,,,,,,"(663.83, 56.71)",,"(463.13, 186.14)","(66.72, 350.05)",,,"(419.02, 202.17)","(454.30, 272.41)","(59.56, 68.02)","(296.05, 115.00)",,"(730.65, 234.42)","(180.49, 195.44)","(314.64, 173.17)",,"(549.51, 266.62)","(675.27, 239.13)",,"(74.16, 262.32)","(543.28, 247.39)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
