frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id27,id29,id30,id31,id32,id33,id34,id35,id36,id37,id39,id41,id42,id44,id45,id47,id49,id50,id51
118,"(238.93, 262.48)","(367.04, 159.88)","(181.97, 170.39)","(10.11, 259.33)","(275.73, 167.88)",,"(365.31, 108.72)","(39.65, 269.95)","(161.15, 39.53)",,,,"(180.48, 255.06)","(18.95, 280.27)",,"(362.53, 218.62)","(26.20, 231.41)","(150.72, 258.03)","(65.10, 281.42)","(293.75, 176.37)","(398.35, 430.90)","(47.19, 402.72)",,"(65.51, 239.60)","(153.76, 150.26)","(366.56, 128.38)","(257.52, 184.07)","(249.28, 308.45)","(168.32, 248.37)",,,,,,,,,,,,,,,
119,"(238.92, 262.56)","(366.63, 158.18)","(181.92, 170.47)","(10.12, 259.40)","(276.13, 166.24)",,"(365.04, 108.15)","(39.57, 268.08)","(159.08, 37.89)",,,,"(180.74, 253.14)","(19.49, 278.64)",,"(362.40, 218.73)","(25.58, 229.73)","(150.75, 257.38)","(65.20, 279.83)","(293.25, 173.78)","(398.30, 430.78)","(47.43, 401.30)",,"(65.61, 238.16)","(154.40, 149.43)","(366.30, 126.53)","(258.12, 180.71)","(249.07, 308.33)","(168.37, 248.32)",,,,,,,,,,,,,,,
120,"(238.75, 262.48)","(366.33, 155.60)","(181.87, 170.46)","(10.03, 259.69)","(276.04, 165.48)",,"(364.83, 107.16)","(39.83, 266.40)","(157.10, 35.47)",,,,"(180.74, 252.73)","(20.61, 276.49)",,"(362.41, 218.70)","(25.55, 227.71)","(150.70, 256.94)","(65.23, 277.78)","(292.76, 170.81)","(398.25, 430.77)","(47.48, 400.23)",,"(65.54, 236.73)","(155.03, 149.04)","(365.71, 124.40)","(258.89, 178.17)","(248.98, 307.92)","(168.32, 248.07)",,,,,,,,,,,,,,,
121,"(238.74, 262.50)","(365.78, 153.55)","(181.90, 170.45)","(10.05, 259.66)","(276.26, 164.32)",,"(364.75, 106.69)","(39.58, 264.07)","(154.98, 32.91)",,,,"(180.73, 252.73)","(21.36, 274.64)",,"(362.37, 218.75)","(25.17, 225.88)","(150.70, 256.93)","(65.23, 275.54)","(292.54, 168.88)","(398.37, 430.93)","(47.69, 399.49)",,"(65.69, 235.35)","(155.05, 149.05)","(365.48, 123.04)","(260.03, 175.09)","(248.89, 307.65)","(168.29, 248.07)",,,,,,,,,,,,,,,
122,"(238.74, 262.52)","(365.78, 153.16)","(181.93, 170.39)","(10.07, 259.64)","(276.56, 162.82)",,,"(40.06, 262.15)","(153.32, 29.78)",,,,"(180.75, 252.72)","(22.03, 273.42)",,"(362.38, 218.72)","(24.84, 224.57)","(150.70, 256.93)","(65.18, 272.92)","(291.78, 166.83)","(398.35, 430.91)","(47.69, 399.38)",,"(65.60, 233.91)","(155.06, 149.03)","(365.43, 121.45)","(261.27, 172.02)","(248.79, 307.68)","(168.30, 248.08)",,,,,,,,,,,,,,,
123,"(238.76, 262.50)","(365.77, 152.90)","(181.92, 170.35)","(10.08, 259.54)","(276.87, 161.03)",,,"(40.09, 260.74)","(151.43, 27.73)",,,,"(180.76, 252.69)","(22.23, 272.80)",,"(362.37, 218.72)","(24.77, 223.01)","(150.73, 256.69)","(65.04, 270.81)","(290.47, 165.46)","(398.36, 430.92)","(47.72, 399.35)",,"(65.57, 232.22)","(155.04, 149.01)","(364.78, 119.39)","(262.04, 169.58)","(248.48, 307.85)","(168.33, 247.56)",,,,,,,,,,,,,,,
124,"(238.80, 262.46)","(365.84, 152.95)","(181.96, 170.34)","(10.11, 259.52)","(277.07, 159.58)",,,"(40.10, 258.98)","(149.65, 27.72)",,,,"(180.78, 252.67)","(22.25, 272.85)",,"(362.40, 218.67)","(24.65, 221.03)","(150.75, 256.33)","(65.03, 268.93)","(289.05, 165.04)","(398.37, 430.93)","(47.72, 399.35)",,"(65.50, 230.48)","(155.05, 149.00)","(364.44, 117.59)","(263.10, 166.60)","(248.51, 307.76)","(168.38, 247.20)",,,,,,,,,,,,,,,
125,"(238.80, 262.57)","(365.78, 153.17)","(181.92, 170.30)","(10.13, 259.42)","(277.10, 158.13)",,,"(40.47, 257.12)","(148.80, 28.91)",,,,"(180.78, 252.64)","(22.30, 272.83)",,"(362.39, 218.67)","(24.49, 219.03)","(150.69, 255.84)","(65.08, 266.84)","(287.80, 164.37)","(398.34, 430.99)","(47.74, 399.37)",,"(65.49, 229.05)","(155.06, 149.00)","(364.20, 115.28)","(263.87, 164.09)","(248.51, 307.77)","(168.40, 247.19)",,,,,,,,,,,,,,,
126,"(238.81, 262.50)","(365.76, 153.13)","(181.92, 169.87)","(10.05, 259.48)","(276.85, 155.80)",,,"(40.64, 255.37)","(147.78, 28.96)",,,,"(180.83, 252.61)","(22.33, 272.31)",,"(362.39, 218.65)","(24.91, 217.05)","(151.07, 254.59)","(65.13, 264.96)","(286.92, 163.42)","(398.31, 430.97)","(47.74, 399.31)",,"(65.38, 227.49)","(155.33, 148.97)","(363.39, 113.10)","(264.79, 162.49)","(248.52, 307.75)","(168.39, 247.18)",,,,,,,,,,,,,,,
127,"(238.84, 262.03)","(365.79, 153.21)",,"(9.93, 259.55)","(276.54, 153.70)","(121.12, 58.69)",,"(40.52, 253.11)","(146.76, 29.07)",,,,"(180.86, 252.61)","(22.81, 270.68)",,"(362.45, 218.62)","(24.96, 215.03)","(151.64, 252.38)","(65.18, 262.65)","(285.53, 161.59)","(398.32, 431.02)","(47.72, 399.26)",,"(65.16, 225.67)","(156.75, 148.05)","(362.93, 110.93)","(265.76, 160.36)","(248.55, 307.60)","(168.34, 247.60)",,,,,,,,,,,,,,,
128,"(238.84, 261.80)","(365.79, 153.18)",,"(9.87, 259.55)","(276.87, 152.19)","(121.06, 56.63)",,"(40.43, 250.87)","(145.01, 29.26)",,,,"(180.88, 252.66)","(22.99, 268.82)",,"(362.45, 218.60)","(24.95, 213.77)","(153.05, 250.05)","(65.24, 260.05)","(284.07, 159.85)","(398.32, 430.93)","(47.73, 399.27)",,"(64.95, 223.79)","(158.42, 147.22)","(362.79, 110.57)","(266.69, 157.64)","(248.55, 307.61)","(168.30, 247.91)",,,,,,,,,,,,,,,
129,"(238.85, 261.41)","(365.62, 152.66)",,"(9.84, 259.54)","(276.93, 150.80)","(121.16, 54.50)",,"(39.33, 248.89)","(142.81, 29.83)",,,,"(180.88, 250.96)","(22.89, 267.39)",,"(362.43, 218.61)","(24.90, 212.85)","(154.97, 247.19)","(65.06, 258.00)","(282.64, 158.95)","(398.32, 430.93)","(47.69, 399.29)",,"(64.90, 221.91)","(159.07, 147.18)","(362.80, 110.60)","(267.74, 154.66)","(248.63, 307.68)","(168.53, 248.07)",,,,,,,,,,,,,,,
130,"(238.96, 260.97)","(365.16, 151.27)",,"(9.82, 259.61)","(277.21, 149.77)","(121.29, 51.83)",,"(38.65, 247.01)","(141.24, 30.01)",,,,"(180.97, 248.97)","(23.15, 266.37)",,"(362.43, 218.64)","(24.42, 211.37)","(157.06, 245.02)","(65.08, 255.69)","(281.48, 157.61)","(398.32, 430.92)","(47.67, 399.30)",,"(64.92, 220.15)","(159.25, 147.10)","(362.79, 110.60)","(267.84, 153.48)","(248.64, 307.69)","(168.29, 248.21)",,,,,,,,,,,,,,,
131,"(238.93, 260.14)","(364.84, 149.47)",,"(9.76, 259.66)","(277.09, 148.57)","(121.26, 49.21)",,"(37.63, 245.12)","(141.42, 30.01)",,,,"(181.22, 245.69)","(23.40, 265.37)",,"(362.43, 218.61)","(24.07, 209.94)","(158.74, 241.90)","(65.20, 253.34)","(279.89, 156.19)","(398.33, 430.89)","(47.69, 399.29)",,"(64.94, 218.78)","(159.15, 147.11)","(362.74, 110.59)","(267.77, 153.23)","(248.60, 307.89)","(168.23, 248.07)",,,,,,,,,,,,,,,
132,"(239.17, 258.99)","(364.75, 148.32)",,"(9.80, 259.52)","(277.03, 147.36)","(121.30, 46.65)",,"(36.71, 243.27)","(141.76, 29.01)",,,,"(181.46, 242.72)","(23.61, 264.38)",,"(362.34, 218.61)","(23.98, 208.21)","(160.05, 239.02)","(65.37, 251.19)","(278.38, 155.11)","(398.32, 430.79)","(47.71, 399.39)",,"(64.96, 217.42)","(159.18, 147.11)","(362.82, 110.63)","(267.73, 153.30)","(248.62, 307.81)","(168.35, 247.56)",,,,,,,,,,,,,,,
133,"(239.16, 258.36)","(364.38, 146.68)",,"(10.04, 259.75)","(276.79, 145.50)","(121.18, 44.01)",,"(36.17, 241.43)","(140.94, 27.87)",,,,"(181.58, 239.29)","(23.74, 263.29)",,"(362.33, 218.63)","(23.86, 206.29)","(161.33, 236.93)","(65.33, 249.26)","(277.49, 153.90)","(398.32, 430.78)","(47.97, 399.01)",,"(64.93, 214.86)","(159.21, 147.09)","(362.75, 110.18)","(267.70, 153.37)","(248.61, 307.88)","(168.45, 247.56)","(120.56, 115.48)",,,,,,,,,,,,,,
134,"(239.12, 257.40)","(364.12, 145.20)",,"(9.83, 259.77)","(276.74, 143.51)","(121.21, 41.74)",,"(35.47, 239.14)","(139.85, 27.61)",,,,"(181.87, 235.94)","(23.88, 262.82)",,"(362.32, 218.58)","(23.55, 204.64)","(162.45, 235.25)","(65.37, 247.17)","(276.37, 152.48)","(398.30, 430.69)","(48.43, 398.49)",,"(64.84, 212.46)","(159.20, 147.07)",,"(267.80, 153.46)","(248.61, 307.86)","(168.36, 247.59)","(120.50, 115.35)",,,,,,,,,,,,,,
135,"(239.15, 256.64)","(363.63, 142.82)",,"(9.73, 259.01)","(276.48, 141.30)","(121.10, 39.05)",,"(34.72, 237.03)","(139.23, 27.70)",,,,"(181.73, 232.58)","(24.17, 262.14)",,"(362.29, 218.59)","(23.62, 203.32)","(162.32, 235.33)","(65.54, 244.88)","(275.84, 151.66)","(398.28, 430.64)","(48.77, 398.29)",,"(64.95, 210.72)","(159.19, 147.07)",,"(267.84, 153.35)","(248.55, 308.09)","(168.32, 247.45)","(120.49, 115.34)",,,,,,,,,,,,,,
136,"(239.12, 256.15)","(363.02, 140.74)",,"(9.74, 257.54)","(276.48, 139.18)","(121.19, 38.57)",,"(34.47, 235.05)","(138.84, 27.73)",,,,"(181.94, 228.52)","(24.28, 261.73)",,"(362.30, 218.58)","(23.71, 202.24)","(162.24, 235.29)","(65.40, 242.94)","(275.52, 150.69)","(398.24, 430.72)","(48.91, 398.11)",,"(65.16, 208.70)","(159.33, 146.91)",,"(267.84, 153.18)","(248.21, 308.61)","(168.32, 247.09)","(120.51, 115.31)",,,,,,,,,,,,,,
137,"(239.13, 255.50)","(362.59, 139.19)",,"(9.94, 255.32)","(276.40, 137.62)","(121.17, 38.57)",,"(33.63, 233.22)","(138.84, 27.72)",,,,"(182.00, 224.04)","(24.61, 261.41)",,"(362.30, 218.60)","(23.26, 200.80)","(162.29, 235.12)","(65.44, 241.27)","(275.42, 149.63)","(398.26, 430.71)","(49.10, 397.67)",,"(65.12, 206.69)","(160.64, 145.23)",,"(267.66, 152.89)","(248.33, 308.65)","(168.34, 246.97)","(120.50, 115.29)",,,,,,,,,,,,,,
138,"(239.14, 255.06)","(362.20, 137.65)",,"(10.17, 252.82)","(276.02, 136.24)","(121.18, 38.58)",,"(33.23, 231.92)","(138.85, 27.72)",,,,"(181.78, 221.00)","(24.80, 260.99)",,"(362.34, 218.63)","(23.13, 199.01)","(163.08, 233.21)","(65.34, 239.46)","(275.71, 148.07)","(398.26, 430.71)","(49.13, 397.02)",,"(65.18, 204.35)","(162.24, 142.80)",,"(267.72, 153.19)","(248.16, 308.90)","(168.31, 246.86)","(120.52, 115.31)",,,,,,,,,,,,,,
139,"(239.16, 254.46)","(362.05, 136.71)",,"(10.73, 249.91)","(275.59, 133.98)","(121.20, 38.59)",,"(32.60, 230.63)","(138.20, 27.54)",,,,"(181.71, 218.80)","(24.79, 260.92)",,"(362.34, 218.65)","(23.08, 197.50)","(164.56, 230.15)","(65.37, 238.33)","(276.21, 146.38)","(398.25, 430.73)","(49.10, 397.01)",,"(65.01, 202.32)","(163.30, 141.17)",,"(267.75, 153.42)","(248.13, 308.89)","(168.34, 246.96)","(120.53, 115.38)",,,,,,,,,,,,,,
140,"(239.15, 254.46)","(362.04, 136.75)",,"(10.56, 248.38)","(275.58, 132.32)","(121.19, 38.61)",,"(31.17, 229.02)","(136.64, 27.41)",,,,"(181.48, 216.14)","(24.80, 260.89)",,"(362.37, 218.78)","(22.71, 195.95)","(165.92, 227.26)","(65.32, 236.57)","(276.05, 144.30)","(398.33, 430.84)","(49.11, 397.00)",,"(65.13, 200.38)","(164.84, 139.16)",,"(267.45, 153.36)","(248.12, 308.89)","(168.30, 247.03)","(120.55, 115.39)",,,,,,,,,,,,,,
141,"(239.17, 254.87)","(361.99, 136.62)",,"(10.76, 246.51)","(275.27, 130.78)","(121.23, 38.59)",,"(29.83, 227.03)","(135.42, 27.17)",,,,"(181.51, 212.55)","(24.84, 260.79)",,"(362.35, 218.76)","(22.60, 194.04)","(168.61, 224.89)","(65.25, 235.42)","(276.33, 142.26)","(398.34, 430.85)","(49.12, 397.00)",,"(65.10, 198.08)","(166.44, 136.11)",,"(266.94, 152.12)","(248.19, 308.61)","(168.32, 247.19)","(120.52, 115.37)",,,,,,,,,,,,,,
142,"(239.15, 254.86)","(361.89, 136.59)",,"(10.89, 244.50)","(275.28, 129.98)","(121.20, 38.56)","(353.01, 74.06)","(28.96, 225.93)","(133.73, 27.16)",,,,"(182.08, 209.00)","(24.88, 260.76)",,"(362.34, 218.75)","(22.69, 192.38)","(169.93, 221.74)","(65.26, 235.38)","(276.34, 140.13)","(398.37, 430.79)","(49.08, 397.06)",,"(65.07, 196.34)","(168.39, 133.17)",,"(266.12, 149.72)","(248.33, 308.39)","(168.37, 247.20)","(120.51, 115.41)",,,,,,,,,,,,,,
143,"(239.16, 254.80)","(361.87, 136.56)",,"(11.25, 242.43)","(275.45, 130.48)","(121.16, 38.45)","(352.92, 73.06)","(28.35, 224.58)","(132.73, 27.01)",,,,"(182.13, 205.32)","(24.89, 260.74)",,"(362.33, 218.74)","(22.50, 190.87)","(171.73, 218.35)","(65.29, 235.37)","(276.24, 138.85)","(398.28, 430.76)","(49.08, 397.03)",,"(65.15, 194.42)","(169.79, 129.79)",,"(265.38, 147.19)","(248.34, 308.40)","(168.36, 247.12)","(120.52, 115.41)",,,,,,,,,,,,,,
144,"(239.14, 254.71)","(361.81, 136.51)",,"(11.28, 240.11)","(276.18, 133.26)","(121.20, 38.43)","(352.71, 71.19)","(27.70, 222.46)","(131.72, 27.21)",,,,"(182.00, 202.25)","(24.91, 260.43)",,"(362.32, 218.78)","(23.23, 188.94)","(173.28, 214.18)","(65.34, 235.47)","(276.76, 137.76)","(398.22, 430.87)","(48.87, 397.15)",,"(65.09, 192.46)","(171.40, 126.98)",,"(264.12, 144.51)","(248.21, 308.73)","(167.81, 247.21)","(120.37, 115.46)",,,,,,,,,,,,,,
145,"(239.14, 254.69)","(361.77, 136.48)",,"(11.52, 237.83)","(276.09, 132.52)","(121.21, 38.53)","(352.56, 69.46)","(27.25, 220.76)","(130.39, 27.68)",,,,"(182.20, 198.55)","(24.87, 259.76)",,"(362.30, 218.85)","(23.24, 187.19)","(175.03, 211.25)","(65.35, 235.48)",,"(398.24, 430.89)","(49.33, 397.09)",,"(64.87, 190.36)","(172.65, 124.45)",,"(262.45, 141.34)","(248.24, 308.73)","(166.79, 247.22)","(120.67, 115.30)",,,,,,,,,,,,,,
146,"(239.15, 254.69)","(361.72, 136.23)",,"(11.67, 235.86)","(275.98, 131.60)","(121.21, 38.51)","(352.61, 66.73)","(26.55, 218.49)","(129.40, 27.80)",,,,"(182.25, 194.91)","(24.90, 258.68)",,"(362.31, 218.86)","(23.20, 185.82)","(176.27, 207.64)","(65.38, 235.47)",,"(398.23, 430.86)","(49.57, 397.06)",,"(64.57, 188.25)","(174.09, 121.34)",,"(261.06, 138.11)","(248.24, 308.75)","(166.10, 245.90)","(120.40, 114.38)",,,,,,,,,,,,,,
147,"(239.09, 254.73)","(361.49, 135.26)",,"(12.03, 233.54)","(275.81, 130.13)","(121.26, 38.53)","(352.70, 65.09)","(26.58, 216.60)","(128.40, 27.02)",,,,"(182.50, 190.39)","(25.16, 257.22)",,"(362.33, 218.91)","(23.59, 184.30)","(177.20, 204.89)","(65.40, 235.44)",,"(398.22, 430.86)","(49.90, 396.61)",,"(64.62, 186.18)","(175.90, 118.23)",,"(259.89, 134.78)","(248.29, 308.63)","(166.03, 244.74)","(120.33, 114.06)",,,,,,,,,,,,,,
148,"(239.03, 254.72)","(361.00, 133.83)",,"(12.59, 231.38)","(275.98, 129.00)","(121.20, 38.45)","(352.57, 63.93)","(26.40, 214.80)","(127.36, 25.83)",,,,"(182.24, 187.11)","(25.84, 255.24)",,"(362.35, 218.91)","(23.82, 182.50)","(178.27, 201.91)","(65.50, 235.25)",,"(398.26, 430.77)","(50.33, 396.48)",,"(64.46, 184.37)","(176.82, 116.11)",,"(258.46, 131.15)","(248.36, 308.89)","(165.86, 243.68)","(120.28, 113.58)",,,,,,,,,,,,,,
149,"(239.06, 254.72)","(360.98, 132.25)",,"(13.23, 229.14)","(277.31, 126.14)","(121.22, 38.45)","(352.64, 63.81)","(26.23, 212.77)","(126.93, 25.84)",,,,"(182.39, 184.55)","(26.18, 253.68)",,"(362.28, 218.89)","(23.81, 180.80)","(178.79, 198.20)","(65.48, 234.08)",,"(398.23, 430.79)","(50.52, 396.40)",,"(64.32, 182.41)","(178.11, 113.48)",,"(257.33, 127.84)","(248.24, 309.12)","(165.66, 243.15)","(120.20, 112.85)",,,,,,,,,,,,,,
150,"(239.06, 254.71)","(360.74, 130.56)",,"(14.02, 227.01)","(277.24, 123.92)","(121.28, 38.50)","(352.73, 63.88)","(26.41, 210.39)","(125.87, 25.57)",,,,"(182.54, 182.94)","(26.90, 251.77)",,"(362.28, 218.89)","(24.35, 179.23)","(179.41, 194.72)","(65.52, 232.96)",,"(398.24, 430.82)","(50.88, 395.85)",,"(64.01, 180.38)","(178.07, 111.14)","(358.70, 72.31)","(256.55, 126.13)","(248.25, 309.18)","(165.66, 243.16)","(120.03, 112.30)",,,,,,,,,,,,,,
151,"(239.08, 254.72)","(360.75, 129.27)",,"(14.06, 225.02)","(277.49, 122.16)","(121.28, 38.50)","(352.78, 63.93)","(26.09, 208.38)","(125.37, 25.53)",,,,"(182.55, 181.51)","(27.79, 249.74)",,"(362.27, 218.89)","(24.43, 177.52)","(179.15, 191.45)","(65.08, 231.56)","(275.45, 130.04)","(398.25, 430.82)","(50.88, 395.85)",,"(63.81, 178.26)","(177.99, 109.17)","(358.28, 69.32)","(255.97, 124.24)","(248.28, 308.91)","(165.67, 243.15)","(120.09, 112.00)",,,,,,,,,,,,,,
152,"(239.07, 254.70)","(360.09, 127.16)",,"(14.66, 222.61)","(278.30, 119.73)","(121.26, 38.47)","(352.78, 63.75)","(26.41, 206.84)","(124.57, 25.41)",,,,"(182.45, 181.37)","(28.22, 247.47)",,"(362.30, 218.87)","(24.81, 175.60)","(179.42, 188.73)","(64.93, 230.21)","(275.37, 130.19)","(398.26, 430.70)","(50.87, 395.83)",,"(63.53, 176.56)",,"(358.03, 66.97)","(254.71, 120.80)","(248.28, 309.01)","(165.67, 243.11)","(120.20, 111.63)",,"(120.50, 103.78)",,,,,,,,,,,,
153,"(239.10, 254.77)","(360.02, 125.56)",,"(14.72, 221.74)","(279.19, 118.16)","(121.28, 38.47)","(352.86, 63.70)","(26.44, 206.12)","(124.61, 25.37)",,,,"(182.54, 181.45)","(29.00, 245.59)",,"(362.26, 218.83)","(25.32, 173.65)","(179.21, 187.65)","(64.75, 228.92)","(275.37, 130.31)","(398.27, 430.71)","(50.88, 395.81)",,"(63.20, 174.92)",,"(358.08, 64.16)","(254.25, 117.71)","(248.30, 309.05)","(165.67, 243.11)","(120.30, 111.38)",,"(120.59, 103.91)",,,,,,,,,,,,
154,"(239.07, 254.74)","(359.77, 124.49)",,"(14.89, 221.02)","(280.54, 115.82)","(121.27, 38.48)","(352.87, 63.60)","(26.56, 204.63)","(124.54, 25.36)",,,,"(182.71, 180.99)","(29.38, 243.95)",,"(362.24, 218.81)","(25.60, 171.54)","(179.17, 186.21)","(64.58, 228.00)","(275.37, 130.25)","(398.28, 430.72)","(50.88, 395.82)",,"(62.79, 172.72)",,"(357.88, 61.19)","(253.44, 114.43)","(248.32, 309.04)","(165.61, 242.67)","(120.34, 111.06)",,"(120.57, 104.06)",,,,,,,,,,,,
155,"(239.08, 254.75)","(359.44, 122.27)",,"(15.36, 219.47)","(281.45, 114.69)","(121.27, 38.49)","(352.81, 63.66)","(26.79, 203.14)","(124.55, 25.35)",,,,"(182.69, 180.98)","(29.74, 242.80)",,"(362.20, 218.80)","(25.74, 169.85)","(179.21, 186.14)","(64.58, 227.24)","(275.35, 130.24)","(398.31, 430.75)","(50.87, 395.82)",,"(62.71, 171.15)",,"(357.98, 58.75)","(253.06, 112.42)","(248.31, 309.02)","(165.64, 241.93)","(120.46, 110.38)",,"(120.58, 104.14)",,,,,,,,,,,,
156,"(239.06, 254.96)","(358.96, 120.63)",,"(15.88, 216.90)","(282.79, 113.19)","(121.26, 38.55)","(352.74, 63.91)","(26.75, 201.71)","(124.50, 25.32)",,,,"(182.58, 181.01)","(30.23, 241.34)",,"(362.23, 218.91)","(26.41, 168.35)","(179.21, 186.09)","(64.53, 226.45)","(275.37, 130.22)","(398.30, 430.74)","(50.83, 395.82)",,"(62.29, 169.61)",,"(357.85, 55.70)","(252.86, 109.74)","(248.39, 309.11)","(165.82, 241.57)","(120.51, 109.99)",,"(120.54, 104.44)",,,,,,,,,,,,
157,"(239.07, 254.97)","(359.02, 120.33)",,"(16.57, 215.06)","(283.52, 111.78)","(121.29, 38.53)","(352.66, 63.88)","(26.64, 200.59)","(124.50, 25.38)",,,,"(182.90, 180.76)","(30.41, 240.46)",,"(362.22, 218.92)","(26.67, 167.14)","(179.38, 184.29)","(64.48, 225.87)","(275.32, 130.11)","(398.30, 430.75)","(50.82, 395.81)",,"(61.68, 167.46)",,"(357.54, 53.45)","(252.82, 109.40)","(248.35, 309.17)","(165.81, 241.58)","(120.72, 107.74)",,,,,,,,,,,,,,
158,"(239.05, 254.95)","(359.01, 120.37)",,"(17.13, 213.40)","(283.95, 110.40)","(121.15, 38.50)","(352.56, 63.44)","(26.47, 198.90)","(124.50, 25.83)",,,,"(182.68, 180.84)","(30.66, 239.74)",,"(362.08, 218.88)","(27.27, 165.60)","(179.26, 180.49)","(64.50, 224.97)","(275.35, 130.11)","(398.28, 430.75)","(50.82, 395.81)",,"(61.26, 165.58)",,"(357.52, 50.38)","(252.64, 108.17)","(248.36, 309.11)","(165.70, 241.14)","(120.81, 107.77)",,,,,,,,,,,,,,
159,"(239.06, 254.97)","(359.01, 120.37)",,"(17.21, 211.81)","(284.81, 108.21)","(121.17, 38.46)","(352.53, 62.10)","(26.56, 197.05)","(124.09, 26.07)",,,,"(182.39, 181.09)","(30.87, 239.25)",,"(361.96, 218.87)","(27.65, 164.63)","(178.66, 179.05)","(64.58, 224.00)","(275.85, 130.71)","(398.27, 430.81)","(50.83, 395.78)",,"(60.92, 163.65)",,"(357.23, 48.36)",,"(248.39, 308.81)","(165.68, 241.09)","(120.81, 107.58)",,,,,,,,,,,,,,
160,"(239.05, 254.99)","(358.98, 120.24)",,"(17.26, 209.91)","(285.55, 107.54)","(121.17, 38.49)","(352.53, 60.53)","(26.30, 195.07)","(123.64, 26.20)",,,,"(182.58, 181.46)","(31.08, 238.69)",,"(361.92, 218.87)","(28.15, 163.16)","(178.82, 178.00)","(64.86, 221.79)","(276.52, 130.09)","(398.26, 430.81)","(50.83, 395.78)",,"(60.67, 162.04)",,"(357.44, 45.41)",,"(248.40, 308.94)","(165.66, 240.89)",,,,,,,,,,,,,,,
161,"(239.04, 254.99)","(358.97, 120.26)",,"(16.81, 208.22)","(285.82, 106.60)","(121.21, 38.51)","(352.53, 58.34)","(26.30, 193.45)","(123.84, 26.12)",,,,"(182.78, 181.43)","(31.05, 238.60)",,"(361.98, 218.70)","(27.98, 162.04)","(178.97, 176.39)","(64.67, 219.95)","(276.71, 130.00)","(398.29, 430.79)","(50.78, 395.80)",,"(60.14, 159.99)",,"(357.16, 42.59)",,"(248.40, 308.86)","(165.68, 240.66)",,,,,,,,,,,,,,,
162,"(239.03, 254.99)","(358.78, 120.23)",,"(16.30, 205.76)",,"(121.18, 38.52)","(352.34, 56.06)","(26.49, 191.80)","(124.05, 26.08)",,,,"(182.76, 181.29)","(30.93, 238.53)",,"(361.66, 218.89)","(28.73, 160.24)","(179.25, 173.51)","(64.67, 217.82)","(277.60, 129.43)","(398.24, 430.84)","(50.72, 395.68)",,"(59.93, 157.97)",,"(357.20, 40.39)",,"(248.38, 309.02)","(165.54, 240.08)",,,,,,,,,,,,,,,
163,"(239.05, 254.99)","(358.47, 119.55)",,"(15.24, 202.97)",,"(121.21, 38.54)","(352.61, 53.53)","(26.40, 190.68)","(123.79, 25.76)",,,,"(182.72, 181.09)","(30.95, 238.53)",,"(360.93, 218.87)","(29.01, 158.86)","(179.32, 170.83)","(64.36, 216.10)","(278.04, 129.23)","(398.17, 430.82)","(51.06, 395.01)",,"(59.75, 156.46)",,"(357.22, 37.66)",,"(248.36, 308.97)","(165.75, 240.13)",,,,,,,,,,,,,,,
164,"(239.01, 254.98)","(358.41, 118.93)",,"(14.95, 200.61)",,"(121.19, 38.53)","(352.84, 50.86)","(26.41, 190.24)","(123.94, 25.42)",,,,"(182.78, 181.15)","(30.96, 238.56)",,"(360.19, 218.88)","(29.25, 157.48)","(179.82, 169.11)","(64.45, 213.89)","(278.94, 129.33)","(398.18, 430.86)","(47.74, 385.84)",,"(59.14, 154.97)",,"(357.22, 35.55)",,"(248.53, 308.87)","(165.83, 239.69)",,,,,,,,,,,,,,,
165,"(238.95, 254.89)","(358.26, 118.34)",,"(14.47, 198.55)",,"(121.27, 38.46)","(353.07, 48.20)","(26.43, 190.21)","(124.66, 24.43)",,,,"(182.77, 181.06)","(30.92, 238.59)",,"(359.52, 218.64)","(29.82, 156.15)","(179.76, 167.63)","(64.48, 212.43)","(280.03, 129.00)","(398.15, 430.46)","(49.15, 378.36)",,"(58.65, 153.20)",,"(357.69, 32.92)",,"(248.39, 309.20)","(165.51, 238.78)",,,,,,,,,,,,,,,
166,"(238.68, 254.75)","(358.14, 117.85)",,"(13.89, 196.24)",,"(121.25, 38.48)","(353.48, 45.37)","(26.48, 190.09)","(125.16, 23.76)",,,,"(182.81, 180.62)","(30.87, 238.58)",,"(358.59, 218.32)","(30.13, 154.27)","(179.72, 167.28)","(64.33, 211.08)","(281.09, 128.25)","(398.18, 430.58)","(48.57, 377.04)",,"(58.42, 151.43)",,"(357.90, 31.43)",,"(248.34, 309.16)","(165.20, 237.91)",,,,,,,,,,,,,,,
167,"(238.62, 254.08)","(358.18, 117.53)",,"(13.73, 194.82)",,"(121.21, 38.46)","(353.76, 42.53)","(26.53, 190.04)","(125.66, 23.38)",,,,"(182.82, 179.89)","(30.86, 238.62)",,"(357.78, 217.93)","(30.38, 152.27)","(179.67, 167.14)","(64.29, 210.10)","(281.76, 128.14)","(398.20, 430.57)","(49.40, 383.19)",,"(57.99, 149.47)",,"(358.04, 31.06)",,"(248.34, 309.20)","(165.19, 236.32)",,,,,,,,,,,,,,,
