frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id27,id29,id30,id31,id32,id33,id34,id35,id36,id37,id39,id41,id42,id44,id45,id47,id49,id50,id51
13,"(254.43, 366.11)","(390.36, 347.20)","(182.13, 367.45)","(17.52, 378.42)","(299.66, 361.04)","(128.03, 371.74)","(358.81, 318.02)","(52.99, 429.91)","(166.86, 298.58)",,,"(138.06, 427.64)","(177.54, 428.42)","(10.71, 427.55)",,"(359.79, 428.20)","(44.78, 420.57)",,"(33.49, 426.00)","(275.43, 433.25)",,,"(161.03, 428.24)","(61.68, 428.30)",,,,,,,,,,,,,,,,,,,,
14,"(253.96, 364.26)","(391.03, 346.30)","(182.63, 367.29)","(16.78, 375.79)","(299.85, 361.02)","(128.54, 368.23)","(359.04, 314.98)","(51.70, 430.29)","(165.18, 294.72)",,"(251.87, 429.92)","(139.88, 427.15)","(176.26, 427.62)","(10.48, 426.73)",,"(359.82, 428.08)","(44.60, 418.39)",,"(33.91, 425.89)","(275.60, 432.95)","(388.07, 432.98)","(25.73, 432.02)",,"(60.68, 427.23)","(173.15, 405.84)",,,,,,,,,,,,,,,,,,,
15,"(253.62, 363.45)","(390.82, 345.24)","(182.85, 366.78)","(15.19, 373.24)","(299.74, 360.99)","(129.02, 365.44)","(358.90, 312.21)","(49.23, 431.13)","(163.65, 292.48)",,"(251.75, 430.13)","(140.62, 427.12)","(174.88, 427.18)","(9.46, 425.08)",,"(359.24, 428.16)","(44.23, 415.72)",,"(34.14, 425.83)","(275.57, 433.19)","(387.73, 433.12)","(28.71, 429.84)",,"(61.74, 426.54)","(173.08, 405.17)",,,,,,,,,,,,,,,,,,,
16,"(253.58, 363.06)","(391.01, 344.06)","(182.61, 366.13)","(14.68, 370.78)","(299.81, 361.11)","(130.03, 362.51)","(358.54, 310.91)","(47.42, 431.22)","(162.92, 290.13)",,"(251.73, 430.19)","(140.83, 427.08)","(175.02, 428.47)","(9.25, 423.55)",,"(359.22, 428.92)","(43.85, 413.22)",,"(34.25, 425.69)","(275.37, 433.28)","(388.21, 433.62)","(31.05, 430.43)",,"(62.35, 425.81)","(173.48, 404.24)",,,,,,,,,,,,,,,,,,,
17,"(253.69, 362.76)","(391.65, 342.79)","(182.64, 364.48)","(14.20, 368.61)","(299.95, 360.92)","(130.91, 359.23)","(358.84, 307.17)","(46.19, 431.07)","(163.02, 286.28)",,"(251.49, 429.85)","(141.68, 427.05)","(177.70, 428.10)","(8.56, 420.64)",,"(359.19, 428.84)","(44.02, 410.29)",,"(34.73, 425.99)","(275.67, 433.32)","(388.95, 433.52)","(32.40, 430.93)",,"(63.13, 425.51)","(173.94, 403.55)",,,,,,,,,,,,,,,,,,,
18,"(253.31, 362.59)","(391.67, 342.07)","(181.86, 363.29)","(13.16, 366.68)","(299.66, 361.12)","(130.98, 356.73)","(358.16, 306.15)","(45.75, 430.64)","(163.21, 282.20)",,"(250.65, 429.58)","(142.27, 427.25)","(176.07, 427.16)","(8.01, 418.68)",,,"(43.66, 407.53)",,"(36.90, 426.61)","(275.77, 433.97)",,"(33.62, 430.89)",,"(61.92, 423.44)","(174.24, 402.99)",,,,,,,,,,,,,,,,,,,
19,"(253.14, 361.76)","(391.80, 341.90)","(181.80, 360.60)","(12.83, 364.59)","(299.70, 360.68)","(130.29, 354.39)","(357.66, 304.51)","(45.53, 430.46)","(164.41, 278.20)",,"(250.74, 429.53)",,"(177.55, 428.99)","(7.78, 417.03)",,,"(43.44, 405.03)",,"(38.63, 426.60)","(276.59, 433.67)",,"(34.79, 430.93)","(164.78, 427.48)","(61.82, 422.27)","(174.52, 401.93)",,,,,,,,,,,,,,,,,,,
20,"(253.11, 361.08)","(393.78, 337.88)","(180.87, 357.77)","(12.26, 362.18)","(299.98, 358.58)","(129.87, 351.59)","(357.67, 303.02)","(44.87, 430.54)","(165.72, 274.47)",,"(250.77, 429.43)",,"(177.57, 429.25)","(6.92, 415.09)",,,"(43.93, 403.06)",,"(40.60, 425.89)",,,"(34.52, 431.06)","(164.46, 427.26)","(61.92, 420.89)","(174.59, 401.41)",,,,,,,,,,,,,,,,,,,
21,"(252.67, 360.16)",,"(179.36, 356.33)","(11.94, 359.58)","(299.70, 356.69)","(129.23, 348.71)","(356.83, 300.08)","(44.67, 430.71)","(165.52, 270.42)","(272.53, 428.77)","(250.54, 429.54)",,"(176.58, 428.81)","(6.20, 413.51)",,,"(43.63, 400.99)",,"(42.95, 424.74)",,"(385.96, 433.56)","(34.74, 430.96)","(163.43, 426.82)","(61.54, 418.32)","(174.24, 400.11)",,,,,,,,,,,,,,,,,,,
22,"(252.58, 359.22)",,"(178.72, 354.91)","(11.46, 357.19)","(299.57, 354.24)","(129.16, 344.79)","(357.03, 296.92)","(43.50, 431.08)","(166.97, 266.34)","(272.50, 428.69)","(250.52, 429.49)",,"(175.92, 428.47)","(5.72, 411.70)",,,"(43.87, 398.49)",,"(45.05, 424.39)",,"(385.85, 433.78)","(34.86, 431.08)","(162.96, 426.54)","(61.57, 416.41)","(174.02, 398.59)","(355.85, 386.80)",,,,,,,,,,,,,,,,,,
