08.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,001-converted,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
08.02.24,NEG-008,hTDP43,WT,m,9d,001-converte,2024-02-08_1,28,78,2.4542,12.4857,0.9981,0,0.0214
08.02.24,NEG-008,hTDP43,A90V,m,9d,001-converte,2024-02-08_2,89,139,1.1838,0.7093,0.9988,0,0.0083
08.02.24,NEG-008,hTDP43,G287S,m,9d,001-converte,2024-02-08_3,26,76,1.4995,83.105,0.9787,0,0.0444
08.02.24,NEG-008,hTDP43,G294A,m,9d,001-converte,2024-02-08_4,11,61,1.9559,4.9687,0.9797,0,0.0566
08.02.24,NEG-008,hTDP43,A315T,m,9d,001-converte,2024-02-08_5,118,168,0.8529,36.8037,0.9892,0,0.0179
08.02.24,NEG-008,hTDP43,M337V,m,9d,001-converte,2024-02-08_all,11,61,1.8329,22.8761,0.9904,0,0.0362
,,,AVG,,,,,,,,,,,
