frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,id32,id33,id34,id35,id36,id37,id38,id39,id40,id41,id42,id43,id44,id45,id46,id47,id48,id49,id50,id51,id52,id53,id54,id55,id56,id57,id58,id59,id60,id61,id62,id63,id64,id65,id66,id67,id68,id69,id70,id71,id72,id73,id74,id75,id76,id77,id78,id79,id80,id81,id82,id83,id84,id85,id86,id87,id88,id89,id90,id91,id92,id93,id94,id95,id96
125,"(643.32, 384.65)",,"(622.35, 405.16)",,"(54.23, 442.19)",,"(258.22, 304.29)","(510.35, 409.59)","(154.22, 353.34)",,,"(262.84, 331.48)","(25.53, 433.81)",,"(172.49, 368.83)",,,,"(538.40, 366.44)","(391.93, 338.36)","(275.27, 444.36)","(536.00, 411.42)","(430.76, 331.98)",,"(165.12, 361.47)",,"(660.59, 437.93)",,,"(284.03, 358.06)",,,,,"(26.32, 416.04)",,"(391.86, 445.41)",,,"(187.48, 392.60)",,,"(390.71, 276.89)",,,,,,,"(286.90, 220.35)",,,,"(501.92, 368.97)","(291.58, 378.92)",,,,"(286.07, 298.88)","(16.13, 419.76)","(530.72, 441.86)","(536.37, 384.79)","(59.69, 398.31)","(260.50, 392.38)","(414.73, 321.13)",,"(61.32, 372.36)",,"(177.87, 322.85)",,"(418.01, 415.92)",,"(194.77, 333.82)","(671.57, 394.45)",,,,,,,,,,,,,,,,,,,,,,
126,"(648.47, 420.10)",,"(630.63, 426.04)",,"(55.64, 441.98)",,"(299.08, 425.49)","(515.68, 447.03)",,,,"(262.73, 329.47)","(33.97, 440.94)",,"(177.43, 404.17)",,,,"(650.32, 447.88)","(388.13, 368.76)","(272.92, 445.10)","(528.59, 443.65)","(422.78, 368.25)",,"(163.77, 365.94)",,"(667.68, 446.02)",,,"(283.61, 362.41)",,,,,,,"(391.25, 447.41)",,,"(182.08, 390.54)",,,"(406.13, 285.91)",,"(685.95, 435.11)",,,,,"(285.98, 221.24)",,,,"(500.51, 369.89)","(278.14, 417.70)",,,,"(281.90, 300.74)","(22.00, 445.87)","(401.51, 443.70)","(540.30, 397.81)","(63.30, 415.15)","(261.00, 406.92)","(405.85, 367.64)",,,,"(180.24, 352.69)",,"(432.11, 393.72)",,"(173.70, 428.56)","(665.64, 433.70)","(511.74, 435.56)",,,,,,,,,,,,,,,,,,,,,
127,"(648.71, 419.43)",,,,,,"(301.36, 415.23)",,"(172.97, 445.81)",,,"(263.02, 329.24)","(27.46, 444.71)",,"(186.08, 415.55)",,,,"(649.74, 447.87)",,"(272.97, 444.73)","(530.76, 442.53)",,,"(150.77, 388.41)",,"(666.31, 448.02)",,,,,,,,,,"(395.89, 446.24)",,,"(167.79, 446.10)",,,"(421.87, 312.33)",,"(686.43, 435.27)",,,,,"(286.59, 220.59)",,,,"(500.84, 369.85)","(276.63, 430.00)",,,,"(282.06, 300.12)",,"(281.54, 444.98)",,,"(261.21, 406.65)","(386.15, 419.70)",,"(150.99, 440.30)",,"(163.44, 381.52)",,"(437.70, 408.23)",,,"(665.75, 432.49)","(507.67, 440.36)",,,,,,,,,,,,,,,,,,,,,
128,"(649.60, 419.90)",,,,"(57.63, 443.42)",,"(302.90, 415.54)","(513.88, 445.21)","(174.64, 446.69)",,,"(264.15, 329.20)","(28.48, 444.92)",,"(140.88, 445.88)",,,,,"(386.81, 418.75)","(273.24, 444.70)","(521.76, 444.52)",,,"(153.86, 390.86)",,"(667.54, 447.83)",,,,,,,,"(45.21, 435.14)",,"(394.64, 446.89)",,,"(153.32, 444.31)",,,,,"(686.64, 435.30)",,,,,"(286.44, 220.79)",,,,"(501.96, 369.82)","(282.37, 444.75)",,,,"(283.69, 300.49)",,,"(556.83, 448.65)","(66.64, 443.51)","(261.88, 406.52)","(381.83, 440.67)",,,,"(146.69, 421.91)",,"(438.11, 407.32)",,,"(666.59, 432.58)","(508.13, 446.58)",,,,,,,,,,,,,,,,,,,,,
129,"(648.40, 419.25)",,"(632.59, 448.09)",,"(56.87, 442.31)",,"(301.94, 414.55)","(527.39, 437.81)","(174.74, 443.96)",,,"(263.45, 328.75)",,,"(139.22, 433.02)",,,,"(665.46, 431.85)","(385.97, 417.84)","(271.43, 444.27)","(616.00, 451.62)","(442.13, 379.43)",,"(152.67, 390.73)",,"(648.99, 447.08)",,,"(261.12, 405.91)",,,,,,,,,,"(150.71, 445.96)",,,,,"(686.05, 434.83)",,,,,"(286.63, 220.56)",,,,"(501.22, 369.38)","(281.14, 444.54)",,,,"(282.79, 299.43)",,,"(556.08, 447.83)","(70.06, 444.45)",,,,,,"(141.28, 442.30)",,"(436.99, 406.36)",,,"(666.48, 446.90)","(505.42, 446.12)",,,,,,,,,,,,,,,,,,,,,
130,"(648.16, 417.39)","(254.96, 8.93)",,,"(56.59, 440.90)",,"(301.45, 413.07)","(539.22, 443.06)","(177.56, 439.01)",,,"(263.07, 327.62)",,,"(140.57, 442.90)",,,,"(664.84, 430.25)","(385.64, 416.04)","(268.26, 442.66)",,"(440.98, 377.76)",,"(152.27, 389.46)",,"(648.58, 445.87)",,,"(260.80, 404.58)",,,,,"(37.59, 442.01)",,,,,"(150.46, 443.91)",,,,,"(686.35, 433.67)",,,,,"(286.83, 220.53)",,,,"(500.88, 368.29)","(280.90, 443.17)",,,,"(282.02, 298.15)",,,"(555.94, 446.03)","(138.72, 430.53)",,,,,,,,"(436.32, 405.07)",,,"(666.04, 445.92)","(505.94, 444.39)",,,,,,,,,,,,,,,,,,,,,
131,"(649.64, 401.59)",,"(665.71, 415.16)",,,,"(303.05, 397.46)","(540.35, 428.49)",,,,"(263.97, 314.09)",,,,,,,"(666.84, 431.17)","(386.43, 401.20)","(266.16, 427.28)",,"(442.15, 364.26)",,"(153.48, 374.53)",,"(649.18, 430.90)",,,"(261.87, 390.17)",,,,,,,"(393.21, 429.09)",,,,,,,,"(685.85, 419.86)",,,,,"(287.51, 220.39)",,,,"(502.05, 354.34)","(281.60, 427.95)",,,,"(282.55, 284.57)",,,"(556.21, 431.19)","(139.53, 415.00)",,,,,,,,"(437.48, 389.99)",,,,"(507.46, 429.13)",,,,,,,,,,,,,,,,,,,,,
132,"(665.07, 386.44)",,"(649.34, 370.61)",,,,"(303.81, 367.19)","(556.01, 403.00)",,,,"(264.29, 287.23)",,,,,,,,"(386.03, 373.10)","(262.96, 362.16)",,"(437.02, 362.09)",,"(139.53, 386.87)",,,,,"(264.15, 399.03)",,,,,,,,,,,,,"(442.32, 337.06)",,"(686.58, 394.58)",,,,,,,,,"(501.85, 328.08)","(281.95, 399.81)",,,,"(280.79, 255.93)",,,,"(176.32, 400.67)",,,,,"(152.94, 346.71)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,"(650.39, 332.18)",,"(664.36, 349.18)",,,,"(282.35, 363.05)",,,,,"(263.95, 324.97)",,,,,,,,,"(262.09, 361.97)",,,,"(152.61, 308.48)",,,,,,,,,,,,,,,,,,"(436.51, 324.60)",,,,,,,"(277.70, 218.83)",,,,"(501.30, 293.16)","(304.12, 327.62)",,,,"(264.01, 252.80)",,,,,,,,,"(139.35, 349.47)",,,,"(385.98, 335.50)",,,,,,,,,,,,,,,,,,,,,,,,
134,"(665.37, 301.85)",,"(651.16, 281.90)",,,,,,,,,"(276.87, 169.83)",,,,,,,,"(400.77, 259.91)",,,,,"(140.09, 298.87)",,,,,,,,,,,,,,,,,,"(437.05, 275.75)",,,,,,,"(264.25, 205.95)",,,,"(501.74, 247.05)","(305.71, 278.92)",,,,"(266.69, 275.35)",,,,,,,,,"(152.68, 259.84)",,,,"(387.02, 286.59)",,,,,,,,,,,,,,,,,,,,,,,,
135,"(651.56, 222.08)",,"(665.71, 243.30)",,,,,,,,,"(264.40, 151.90)",,,,,,,,"(387.88, 227.60)",,,,,"(152.90, 202.02)",,,,,,,,,,,,,,,,,,"(437.43, 218.55)",,,,,,,"(269.63, 216.94)",,"(275.68, 115.53)",,"(502.04, 192.32)",,,,,"(306.95, 219.27)",,,,,,,,,"(141.79, 240.13)",,,,"(397.37, 174.19)",,,,,,,,,,,,,,,,,,,,,,,,
136,"(665.09, 180.86)",,"(651.92, 158.69)",,,,,,,,,"(271.29, 155.10)",,,,,,,,,,,,,"(143.05, 176.11)",,,,,,,,,,,,,,,,,,"(437.33, 157.40)",,,,,,,,,"(274.18, 50.26)",,,,,,,"(307.04, 157.46)",,,,,,,,,"(152.48, 139.59)",,,,"(387.15, 165.02)",,,,,,,,,,,,,,,,,,,,,,,,
137,,,"(665.46, 117.58)","(394.29, 25.47)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(264.85, 34.20)",,,,,,,,,,,,,,,,"(144.50, 115.29)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,"(652.54, 32.22)","(388.60, 42.94)",,,,,,,,,,,,,,,,,,,,"(309.73, 33.30)",,,,,"(438.48, 38.23)",,,,,,,,,,,,,,,,,,,,,,,"(277.31, 35.62)",,,,,,,,,,,,,,,,"(146.89, 52.11)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,"(399.20, 19.08)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,"(638.71, 18.22)",,"(657.52, 17.94)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,"(660.24, 49.13)","(254.47, 14.19)",,,,,,,,,,,,,,,,,,,,,,"(286.07, 35.56)","(174.05, 49.72)",,,,,,,,,,,,,,,,,,"(537.29, 64.15)",,,,,,,,,,,,,"(76.07, 57.54)",,,,,,,,,,,,,,,,"(395.26, 29.03)",,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,"(177.35, 59.01)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,"(150.65, 213.19)",,,,,,,"(174.24, 137.21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(61.30, 201.33)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(495.43, 452.24)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,"(283.90, 367.55)",,,"(48.14, 396.95)",,"(283.16, 404.89)","(656.37, 409.68)","(266.08, 411.49)",,,"(385.31, 363.76)","(72.53, 414.90)",,,,,"(169.61, 359.34)","(661.28, 381.12)","(404.82, 347.95)","(171.29, 403.57)","(652.97, 390.90)","(432.66, 372.76)","(303.44, 366.57)","(153.25, 361.60)",,"(638.42, 401.26)",,,"(295.18, 415.96)",,,,,"(20.80, 404.16)",,"(521.54, 404.29)",,,"(165.21, 401.36)",,,,,,,,,,"(149.11, 402.07)",,,,,"(286.75, 220.56)","(39.44, 371.27)",,,,,,,"(443.16, 410.93)",,,"(521.64, 365.17)",,,,"(630.76, 393.01)","(504.64, 371.04)",,,,"(427.32, 405.49)",,,,,,,,,,,,,,,,,,,,,
150,,"(280.23, 396.12)",,,"(65.20, 378.17)",,"(282.01, 408.10)","(661.07, 418.99)","(250.45, 406.67)",,,"(396.21, 370.73)","(67.48, 420.24)",,,,,"(193.66, 336.72)","(663.38, 369.09)","(389.38, 328.69)","(161.65, 406.56)","(652.65, 409.51)","(431.06, 415.99)","(307.81, 386.74)","(162.95, 314.29)",,"(630.86, 378.88)",,,"(295.92, 403.70)",,,,,"(17.54, 410.16)",,"(533.98, 395.10)",,,"(192.58, 393.90)",,,,,,,,,,"(140.99, 387.32)",,,,,"(286.52, 220.52)","(76.11, 328.94)",,,,,,,"(534.25, 299.70)",,,"(528.12, 359.15)",,,,"(640.96, 382.61)","(522.77, 332.74)",,,,"(416.60, 404.83)","(506.00, 381.65)","(433.51, 333.68)","(386.12, 432.91)","(27.30, 406.44)","(410.83, 404.31)","(62.33, 401.19)","(501.40, 393.81)","(427.34, 425.18)","(543.06, 371.53)",,,,,,,,,,,,
151,,"(257.01, 423.38)",,,,,"(295.26, 421.39)","(670.26, 445.20)","(179.97, 438.01)",,,"(387.16, 377.35)","(72.49, 442.57)",,,,,"(188.00, 415.55)","(661.61, 370.88)","(395.46, 332.91)","(165.98, 424.10)","(644.20, 410.42)","(416.92, 443.46)","(309.43, 398.24)","(166.59, 342.45)",,"(625.99, 388.48)",,,"(310.86, 374.89)",,,,,"(65.53, 442.62)",,"(529.39, 378.60)",,,"(196.04, 386.89)",,,,,,,,,,"(149.67, 429.18)",,,,,"(286.61, 220.50)","(76.44, 343.64)",,,,,,,"(548.92, 298.00)",,,"(533.44, 357.61)",,,,"(634.33, 448.70)","(530.37, 427.69)",,,,,"(515.15, 402.20)",,"(391.12, 443.69)","(44.27, 440.74)","(438.41, 367.47)","(59.26, 397.09)","(505.67, 408.89)","(437.96, 439.21)","(568.50, 429.78)","(305.65, 355.59)",,,,,,,,,,,
152,,"(255.85, 443.79)",,,,,"(308.16, 423.51)","(669.78, 447.19)","(186.33, 445.88)",,,"(384.79, 377.18)","(68.59, 441.01)",,,,,"(178.05, 446.90)","(689.86, 374.39)","(400.81, 368.56)","(169.98, 426.54)","(659.57, 404.02)","(407.26, 445.19)","(300.74, 409.28)",,,"(625.01, 388.86)",,,"(281.72, 388.23)",,,,,"(29.26, 434.91)",,"(541.42, 388.12)",,,,,,,,,,,,,"(151.50, 445.58)",,,,,"(286.41, 220.06)","(74.52, 344.46)",,,,,,,"(548.00, 298.08)",,,,,,,"(635.74, 450.58)","(539.69, 438.07)",,,,"(397.90, 434.60)","(561.02, 440.33)",,"(390.06, 442.55)",,,"(19.54, 445.63)","(514.06, 428.55)","(433.14, 427.94)","(633.36, 438.28)","(296.99, 444.04)",,,,,,,,,,,
153,,"(306.13, 445.42)",,,"(60.77, 443.81)",,"(297.91, 443.96)","(669.27, 447.69)","(186.25, 445.73)",,,"(385.18, 376.90)","(71.34, 443.85)",,,,,"(178.81, 446.71)","(689.71, 373.33)",,"(171.11, 425.72)","(638.82, 430.49)","(416.12, 446.07)","(297.06, 421.14)","(129.55, 440.87)",,"(624.99, 388.51)",,,"(266.62, 419.40)",,,,,"(27.08, 438.95)",,"(537.43, 411.65)",,,"(166.11, 445.25)",,,,,,,,,,"(152.46, 444.57)",,,,,"(286.66, 220.26)","(74.45, 344.23)",,,,,,,"(547.69, 297.76)",,,,,,,"(634.38, 449.77)","(544.71, 445.37)",,,,"(399.00, 434.29)","(648.22, 448.03)",,"(384.16, 446.01)","(54.86, 445.54)","(556.71, 449.71)","(17.91, 445.05)","(520.84, 443.85)","(411.33, 418.88)",,,,,,,,,,,,,
154,,"(306.77, 445.48)",,,"(62.31, 444.33)",,"(298.32, 444.15)","(670.07, 447.58)","(187.09, 445.70)",,,"(385.70, 376.77)","(75.26, 445.40)",,,,,"(262.69, 446.78)","(690.08, 372.78)",,"(171.67, 425.99)","(646.48, 430.69)","(417.17, 445.93)","(296.95, 420.77)","(130.06, 441.64)",,"(625.54, 388.38)",,,"(267.12, 420.17)",,,,,"(29.00, 438.21)",,"(534.14, 424.89)",,,"(162.66, 444.58)",,,,,,,,,,"(154.56, 444.36)",,,,,"(285.98, 220.17)","(75.39, 344.46)",,,,,,,"(548.69, 297.71)",,,"(557.27, 449.07)",,,,"(634.69, 449.94)","(544.71, 446.61)",,,,"(398.35, 429.66)",,,"(393.64, 444.30)","(51.30, 445.11)","(658.73, 447.97)",,"(531.47, 443.15)","(407.88, 419.77)",,,,,,,,,,,,,
155,,"(305.55, 445.62)",,,"(60.90, 444.41)",,"(297.09, 444.13)",,"(185.96, 446.10)",,,"(385.28, 376.84)","(73.58, 444.81)",,,,,"(178.36, 446.52)","(689.55, 371.38)","(383.04, 446.19)","(170.25, 425.08)","(647.85, 447.53)","(415.52, 446.07)","(296.01, 420.62)","(129.33, 440.45)",,"(624.57, 387.93)",,,"(266.41, 419.85)",,,,,"(28.30, 437.86)",,"(535.13, 428.01)",,,"(161.97, 443.22)",,,,,,,,,,"(152.31, 444.27)",,,,,"(285.91, 219.88)","(74.68, 344.41)",,,,,,,"(547.82, 297.52)",,,"(556.12, 448.61)",,,,"(634.16, 449.62)","(540.39, 444.18)",,,,"(396.10, 435.18)",,,"(394.92, 445.59)","(48.68, 444.60)",,"(20.74, 445.13)",,"(408.71, 417.97)",,,,,,,,,,,,,
156,,"(305.66, 445.42)",,,"(61.90, 443.85)",,"(297.40, 444.10)","(659.34, 440.33)","(185.46, 446.01)",,,"(384.82, 376.23)","(72.84, 444.57)",,,,,"(178.63, 446.59)","(690.03, 368.39)",,"(169.62, 423.50)","(647.54, 448.00)","(415.65, 445.89)","(296.01, 420.57)","(129.46, 439.35)",,"(624.00, 387.17)",,,"(266.45, 419.11)",,,,,"(28.29, 437.78)",,"(535.13, 427.82)",,,"(161.79, 441.20)",,,,,,,,,,"(152.16, 444.14)",,,,,"(286.38, 220.54)","(74.33, 343.69)",,,,,,,"(547.83, 297.39)",,,"(556.21, 448.58)",,,,"(634.14, 449.67)","(543.53, 446.29)",,,,"(397.08, 434.99)",,,"(396.12, 446.06)","(46.49, 446.27)",,,,"(409.03, 417.40)",,,,,,,,,,,,,
157,,"(306.63, 445.36)",,,"(62.11, 444.21)",,"(298.20, 444.19)","(661.38, 439.38)","(185.15, 445.85)",,,"(385.31, 373.99)","(74.28, 444.42)",,,,,"(178.45, 446.61)","(690.86, 364.51)",,"(169.53, 420.97)","(670.02, 447.80)","(417.34, 445.88)","(296.86, 420.77)",,,"(624.86, 385.75)",,,"(265.96, 417.07)",,,,,"(31.59, 437.16)",,"(536.20, 427.66)",,,"(146.79, 436.15)",,,,,,,,,,"(152.22, 444.50)",,,,,"(286.34, 220.41)","(75.62, 342.93)",,,,,,,"(548.67, 296.98)",,,"(557.50, 448.83)",,,,"(634.98, 449.73)","(544.92, 446.30)",,,,"(398.13, 435.20)",,,,"(47.71, 444.74)",,,,"(410.26, 417.76)",,,,,,,,,,,,,
158,,"(305.98, 445.38)",,,"(60.60, 443.56)",,"(297.45, 443.85)","(659.27, 438.93)","(183.63, 446.28)",,,"(384.57, 371.65)","(74.15, 444.97)",,,,,"(177.82, 446.90)","(689.78, 362.16)","(261.36, 446.00)","(167.45, 418.01)","(648.14, 447.64)","(415.45, 446.19)","(296.57, 420.44)","(130.15, 438.38)",,"(624.11, 384.77)",,,"(266.12, 412.71)",,,,,"(33.75, 435.26)",,"(535.41, 427.92)",,,"(158.05, 426.68)",,,,,,,,,,"(151.75, 444.48)",,,,,"(286.41, 220.28)","(75.16, 343.50)",,,,,,,"(547.51, 295.26)",,,"(556.79, 448.64)",,,,"(634.21, 449.54)","(544.27, 446.48)",,,,"(398.04, 435.05)",,,"(395.70, 446.34)",,,,"(535.45, 443.94)","(409.99, 417.63)",,,,,,,,,,,,,
159,,"(305.81, 445.18)",,,"(59.36, 443.69)",,"(297.13, 443.94)","(659.28, 438.66)","(182.87, 446.78)",,,"(384.20, 369.37)","(74.83, 445.77)",,,,,"(177.21, 446.78)","(689.61, 361.24)","(261.51, 445.57)","(165.07, 415.45)","(647.44, 447.81)","(414.83, 446.05)","(294.74, 421.70)","(130.53, 435.67)",,"(624.31, 383.32)",,,"(265.82, 409.26)",,,,,"(36.61, 434.48)",,"(535.52, 427.92)",,,"(175.56, 411.83)",,,,,,,,,,"(151.51, 444.92)",,,,,"(286.23, 220.28)","(74.17, 343.82)",,,,,,,"(546.45, 293.85)",,,"(555.84, 448.75)",,,,"(633.42, 449.37)","(543.79, 446.35)",,,,"(398.26, 435.55)",,,"(275.13, 444.33)","(17.32, 445.00)",,,"(534.26, 444.06)","(409.59, 417.55)",,,,,,,,,,,,,
160,,"(306.74, 445.13)",,,"(59.95, 443.95)",,"(298.12, 444.06)","(660.53, 439.03)","(183.04, 446.85)",,,"(385.06, 367.63)","(76.10, 443.88)",,,,,"(177.31, 446.28)","(689.99, 360.15)","(262.57, 445.74)","(164.46, 412.32)","(646.17, 447.76)","(415.18, 445.67)","(294.21, 422.45)","(131.19, 433.83)",,"(625.78, 381.73)",,,"(266.55, 406.70)",,,,,"(40.03, 433.99)",,"(536.58, 427.57)",,,"(174.36, 406.70)",,,,,,,,,,"(151.29, 444.75)",,,,,"(286.28, 220.14)","(74.35, 343.25)",,,,,,,"(546.19, 291.19)",,,"(556.80, 448.86)",,,,"(633.71, 449.01)","(544.54, 446.48)",,,,"(400.50, 434.24)",,,"(276.38, 443.89)","(41.99, 446.25)",,,"(535.80, 443.68)","(409.81, 414.93)",,,,,,"(397.94, 446.72)",,,,,,,
161,,"(306.27, 445.08)",,,"(60.03, 443.27)",,"(297.00, 443.96)","(659.77, 438.90)","(182.29, 446.74)",,,"(384.69, 365.70)","(74.74, 442.16)",,,,,"(176.88, 446.55)","(689.58, 359.46)","(277.12, 443.87)","(163.57, 410.45)","(643.75, 447.89)","(413.66, 445.57)","(293.30, 423.07)","(131.70, 430.85)",,"(625.89, 380.63)",,,"(266.16, 403.12)",,,,,"(40.66, 433.40)",,"(537.17, 427.27)",,,"(173.17, 405.86)",,,,,,,,,,"(149.97, 445.18)",,,,,"(286.14, 220.44)","(73.43, 342.32)",,,,,,,"(545.06, 288.74)",,,"(556.23, 448.83)",,,,"(632.29, 448.96)","(544.62, 446.60)",,,,"(401.48, 434.27)",,,"(262.29, 445.59)","(41.99, 446.06)",,,"(535.31, 441.89)","(408.79, 412.38)",,,,"(658.81, 446.49)","(409.82, 432.11)","(397.47, 446.72)",,,,,,,
162,,"(306.05, 445.02)",,,"(59.52, 442.70)",,"(294.72, 443.48)","(659.89, 437.31)","(182.05, 446.56)",,,"(383.83, 362.62)","(75.02, 440.38)",,,,,,"(689.59, 358.26)","(277.36, 444.61)","(162.65, 407.28)","(640.59, 448.23)","(412.56, 445.85)","(292.67, 423.61)","(132.58, 428.67)",,"(626.40, 378.86)",,,"(266.49, 399.30)",,,,,"(41.18, 433.08)",,"(538.41, 425.62)",,,"(171.92, 404.65)",,,,,,,,,,"(149.80, 444.92)",,,,,"(286.23, 220.13)","(73.10, 341.92)",,,,,,,"(542.66, 285.77)",,,"(554.72, 448.23)",,,,"(630.21, 448.41)",,,,,"(402.02, 434.07)",,,"(261.61, 445.12)","(41.67, 445.64)",,,"(534.45, 440.62)","(407.74, 409.96)",,,,"(655.58, 446.63)","(410.41, 430.59)","(396.29, 446.78)","(17.74, 444.80)",,,,,,
163,,"(306.68, 445.13)",,,"(58.38, 442.29)",,"(292.43, 443.05)","(661.32, 435.06)","(182.87, 446.41)",,,"(384.18, 360.80)","(75.28, 437.78)",,,,,"(157.42, 396.55)","(690.10, 356.67)","(276.96, 444.86)","(162.43, 405.52)","(638.70, 448.64)","(413.76, 445.47)","(292.69, 424.20)","(134.64, 426.69)",,"(628.24, 376.77)",,,"(267.09, 397.69)",,,,,"(41.82, 431.43)",,"(541.00, 424.14)",,,"(172.43, 401.68)",,,,,,,,,,"(150.48, 444.73)",,,,,"(286.26, 220.19)","(73.54, 341.88)",,,,,,,"(542.40, 283.39)",,,"(450.45, 451.75)",,,,"(628.68, 448.24)","(552.94, 447.73)",,,,"(404.05, 432.91)",,,"(261.37, 445.07)","(42.98, 446.02)",,,"(534.46, 439.38)","(407.54, 407.49)",,,,"(655.30, 446.87)","(414.08, 428.88)","(397.98, 447.28)","(16.99, 443.29)",,,,,,
164,,"(306.25, 445.18)",,,"(56.47, 442.39)",,"(287.97, 443.49)","(662.60, 432.69)","(183.30, 446.86)",,,"(383.58, 358.59)","(74.42, 434.66)",,,,,"(161.18, 401.71)","(690.02, 354.68)","(273.05, 445.16)","(151.22, 380.53)","(635.67, 448.76)","(413.17, 445.70)","(292.24, 424.11)","(136.14, 423.90)",,"(629.01, 374.69)",,,"(266.54, 396.21)",,,,,"(41.63, 430.26)",,"(543.39, 423.49)",,,"(170.48, 398.21)",,,,,,,,,,"(150.44, 444.76)",,,,,"(286.20, 220.26)","(73.40, 341.86)",,,,,,,"(541.46, 280.25)",,,,,,,"(627.46, 448.04)","(552.76, 447.66)",,,,"(403.57, 432.77)",,,"(261.61, 445.08)","(42.92, 446.37)",,,"(533.95, 437.97)","(405.77, 404.29)",,,,"(654.58, 446.94)","(415.90, 426.54)",,,,,,,,
165,,"(305.75, 445.22)",,,"(53.92, 442.72)",,"(284.76, 444.10)","(663.45, 430.30)","(183.33, 446.79)",,,"(382.34, 356.41)","(74.88, 431.55)",,,,,"(159.69, 399.35)","(689.71, 352.82)","(271.72, 445.17)","(149.75, 379.98)",,"(412.50, 445.44)","(292.01, 424.16)","(136.40, 422.53)",,"(629.74, 372.75)",,,"(266.39, 393.44)",,,,,"(41.22, 429.53)",,"(544.30, 423.57)",,,"(170.06, 394.24)",,,,,,,,,,"(150.05, 444.75)",,,,,"(286.27, 220.16)","(72.44, 341.26)",,,,,,,"(539.71, 276.94)",,,"(539.65, 444.67)",,,,"(626.73, 448.35)","(552.44, 448.44)",,,,"(403.41, 432.02)",,,"(261.51, 444.71)","(41.63, 446.58)",,,"(533.07, 435.67)","(404.42, 401.65)",,,,"(654.01, 446.91)","(417.23, 424.14)",,,,,,,,
166,,"(306.84, 445.03)",,,"(52.92, 444.50)",,"(284.10, 444.01)","(665.74, 427.30)","(184.16, 446.53)",,,"(382.55, 354.45)","(75.45, 428.77)",,,,,"(159.47, 395.22)","(690.28, 350.06)","(270.63, 449.09)","(151.04, 378.66)","(531.14, 405.97)","(411.52, 445.80)","(293.05, 425.26)","(137.90, 421.87)",,"(632.57, 370.28)",,,"(267.57, 390.26)",,,,,"(41.74, 428.29)",,"(546.15, 423.33)",,,"(170.03, 392.29)",,,,,,,,,,"(151.76, 443.07)",,,,,"(286.42, 220.21)","(72.43, 339.77)",,,,,,,"(539.53, 276.98)",,,"(539.41, 444.68)",,,,"(627.99, 448.50)","(552.79, 448.62)",,,,"(405.34, 430.85)",,,"(262.00, 444.66)","(41.77, 446.61)",,,"(532.97, 433.37)","(403.20, 398.34)",,,,"(654.06, 447.14)","(419.71, 421.73)","(450.13, 451.67)",,,,,,,
