frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,id32,id33,id34,id35,id36,id37,id38,id39,id40,id41,id42,id43,id44,id45,id46,id47,id48,id49,id50,id51,id52,id53,id54,id55,id56,id57,id58,id59,id60,id61,id62,id63,id64,id65,id66,id67,id68,id69,id70,id71,id72,id73,id74,id75,id76,id77,id78,id79,id80,id81,id82,id83,id84,id85,id86,id87,id88,id89,id90,id91,id92,id93,id94,id95,id96
10,"(637.31, 164.33)","(297.81, 24.27)","(642.10, 161.30)","(410.98, 164.68)","(151.04, 132.55)","(164.91, 188.83)","(288.97, 153.82)","(305.53, 147.26)","(32.48, 229.26)","(542.52, 170.82)","(67.34, 62.42)","(259.31, 248.93)","(46.77, 41.08)","(562.09, 119.65)","(23.17, 28.96)","(542.08, 17.99)","(234.67, 67.29)","(74.44, 25.10)","(439.33, 447.61)","(411.56, 443.20)","(375.93, 28.65)","(304.37, 65.01)","(386.52, 446.75)","(437.95, 30.31)",,,,,,"(193.82, 23.04)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"(637.36, 165.55)","(298.43, 23.95)","(642.43, 160.55)","(410.98, 164.56)","(151.04, 132.61)","(164.99, 188.76)","(287.49, 155.86)","(305.58, 147.20)","(32.74, 226.58)","(543.74, 169.03)","(68.32, 62.69)","(260.06, 248.25)","(46.79, 41.32)","(562.23, 117.55)","(23.18, 28.96)","(542.06, 18.00)","(234.66, 67.28)","(74.45, 24.85)","(439.33, 447.63)","(411.15, 443.55)","(376.02, 28.47)",,"(386.49, 446.81)","(438.02, 30.57)",,,,,,"(193.76, 23.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"(637.18, 168.18)","(299.11, 23.56)","(642.92, 159.51)","(411.03, 164.45)","(151.03, 132.82)","(164.99, 188.79)","(286.29, 157.84)","(305.82, 147.26)","(33.23, 223.82)","(545.62, 167.49)","(69.24, 63.22)","(260.88, 247.94)","(46.78, 41.31)","(562.02, 115.90)","(23.21, 29.03)","(542.38, 18.04)","(234.77, 67.36)","(74.11, 24.52)","(439.22, 447.66)","(410.80, 443.48)","(375.94, 27.87)",,"(386.49, 446.69)","(438.06, 30.85)",,,"(671.44, 18.60)",,,"(193.74, 23.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"(636.75, 170.07)","(299.54, 23.32)","(643.14, 159.26)","(411.04, 164.35)","(151.07, 132.78)","(165.03, 188.78)","(285.68, 159.38)","(305.85, 147.34)","(33.74, 221.12)","(546.72, 165.64)","(69.98, 63.66)","(261.76, 246.85)","(46.87, 41.57)","(561.66, 114.44)","(23.25, 29.07)","(542.64, 18.51)","(234.74, 67.38)","(74.17, 24.48)","(439.26, 447.67)","(410.76, 443.53)",,"(304.26, 64.95)","(386.47, 446.65)","(438.16, 30.84)",,,"(671.01, 19.12)",,,"(193.77, 23.00)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"(637.10, 172.27)","(300.12, 22.82)","(643.22, 159.16)","(411.03, 164.33)","(151.04, 132.82)","(165.02, 188.76)","(284.77, 160.76)","(305.76, 147.34)","(34.44, 218.16)","(547.83, 163.98)","(70.64, 63.61)","(262.11, 245.78)","(46.98, 42.05)","(561.58, 112.67)","(23.21, 29.01)","(542.92, 18.39)","(234.81, 67.40)","(74.14, 24.51)","(439.23, 447.68)","(410.72, 443.64)",,"(304.18, 64.95)","(386.47, 446.67)","(438.17, 30.89)",,,"(670.68, 19.51)",,,"(194.18, 22.62)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"(637.71, 174.54)","(300.91, 22.17)","(643.22, 159.25)","(411.04, 164.32)","(151.02, 132.82)","(165.02, 188.85)","(283.30, 162.32)","(305.71, 147.24)","(34.88, 215.43)","(549.02, 162.04)","(71.33, 63.41)","(262.74, 244.09)","(48.96, 45.32)","(560.87, 111.70)","(23.27, 29.06)","(543.32, 18.56)","(234.85, 67.47)","(73.94, 24.63)","(439.25, 447.67)","(410.68, 443.63)",,"(304.32, 64.98)","(386.44, 446.68)","(438.22, 30.96)",,,"(670.40, 19.82)",,,"(193.45, 22.44)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"(637.68, 176.67)","(301.31, 22.16)","(643.22, 159.18)","(411.04, 164.32)","(151.04, 132.86)","(165.01, 188.71)","(282.71, 163.56)","(305.73, 147.34)","(35.57, 212.42)","(549.91, 159.99)","(71.71, 62.80)","(263.71, 242.34)","(51.02, 60.24)","(560.85, 110.73)","(23.25, 29.01)","(543.72, 18.98)","(234.91, 67.47)","(73.30, 24.37)","(439.23, 447.67)","(410.66, 443.63)",,"(304.33, 65.00)","(386.46, 446.64)","(438.26, 31.02)",,,"(670.59, 20.19)",,,"(192.99, 22.46)","(16.19, 122.78)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"(637.74, 178.59)","(301.67, 21.89)","(643.00, 159.19)","(411.01, 164.36)","(151.04, 133.03)","(164.94, 188.74)","(282.01, 164.70)","(305.57, 147.43)","(35.66, 209.21)","(550.89, 158.14)","(72.37, 62.06)","(264.31, 240.96)",,,"(23.29, 29.04)","(543.78, 19.28)","(234.82, 67.45)","(73.21, 23.85)","(439.25, 447.64)","(410.74, 443.64)",,,"(386.48, 446.63)","(438.23, 31.08)",,,"(671.01, 21.67)",,,"(191.66, 21.73)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"(637.73, 180.60)","(302.22, 21.53)","(643.01, 159.24)","(410.95, 164.47)","(151.04, 132.99)","(164.94, 188.73)","(281.17, 165.66)","(305.38, 147.38)","(36.14, 206.07)","(551.71, 155.28)","(72.66, 61.80)","(265.37, 238.97)",,,"(23.32, 29.10)","(543.94, 20.83)","(234.87, 67.43)","(72.89, 23.38)","(439.17, 447.70)","(410.83, 443.99)",,,"(386.40, 446.69)","(438.21, 31.05)",,,"(671.49, 22.72)",,"(377.34, 22.79)","(191.10, 21.66)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"(637.76, 182.56)","(302.57, 21.21)","(643.01, 159.23)","(410.96, 164.44)","(151.06, 133.13)","(164.93, 188.76)","(280.77, 166.86)","(305.45, 147.38)","(36.25, 203.00)","(552.91, 153.21)","(73.02, 60.85)","(265.92, 237.06)","(26.87, 149.44)","(560.64, 55.51)","(23.30, 29.12)","(544.42, 22.48)","(234.96, 67.41)","(72.14, 22.82)","(439.23, 447.74)","(411.18, 444.48)",,"(304.18, 64.94)","(386.54, 446.69)","(438.28, 31.00)",,"(540.65, 67.55)","(671.49, 23.80)",,"(377.43, 22.66)","(191.07, 21.57)","(16.57, 122.92)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
