2024-03-05,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,35d,003-converted,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
2024-03-05,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,35d,003-converte,2024-03-05_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_35d__1,18,68,2.9994,13.2899,0.9848,0.0,0.0748
2024-03-05,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,35d,003-converte,2024-03-05_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_35d__2,8,58,0.4581,2.2472,0.9651,0.0,0.0176
2024-03-05,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,35d,003-converte,2024-03-05_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_35d__3,31,81,1.6205,-8.5503,0.9692,0.0,0.0582
2024-03-05,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,35d,003-converte,2024-03-05_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_35d__4,89,139,0.6638,-10.3432,0.9601,0.0,0.0273
2024-03-05,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,35d,003-converte,2024-03-05_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_35d__5,109,159,0.9456,-12.2642,0.9474,0.0,0.0452
2024-03-05,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,35d,003-converte,2024-03-05_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_35d__6,2,52,0.0985,1.8177,0.6419,0.0,0.0166
2024-03-05,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,35d,003-converte,2024-03-05_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_35d__all,16,66,1.053,19.3658,0.9761,0.0,0.0332
