y,x,mass,size,ecc,signal,raw_mass,ep,frame,t,True_particle,vial
8.23,170.06,111,70970,0.725,11.73,111,0.1,0,0.0,False,0.0
290.98,145.31,170,70970,0.188,10.89,170,0.0,0,0.0,False,0.0
298.99,277.66,239,70970,0.489,20.52,239,0.0,0,0.0,False,0.0
298.99,487.38,102,70970,0.497,9.21,102,0.1,0,0.0,False,0.0
299.95,32.02,190,70970,0.525,19.69,190,0.0,0,0.0,False,0.0
304.04,409.79,141,70970,0.46,13.4,141,0.1,0,0.0,False,0.0
305.9,147.81,828,70970,0.32,86.29,828,0.0,0,0.0,True,2.0
305.74,608.97,776,70970,0.287,91.31,776,0.0,0,0.0,True,5.0
307.01,618.38,209,70970,0.502,18.85,209,0.1,0,0.0,False,0.0
311.01,746.9,196,70970,0.51,18.01,196,0.0,0,0.0,False,0.0
290.02,32.19,189,70970,0.509,18.01,189,0.0,0,0.0,False,0.0
312.0,277.68,240,70970,0.48,20.52,240,0.0,0,0.0,False,0.0
319.14,433.76,1019,70970,0.439,96.76,1019,0.0,0,0.0,True,4.0
325.01,618.35,232,70970,0.527,21.78,232,0.0,0,0.0,False,0.0
325.99,747.05,194,70970,0.469,16.75,194,0.0,0,0.0,False,0.0
328.34,412.52,812,70970,0.166,78.75,812,0.0,0,0.0,True,4.0
330.94,32.04,198,70970,0.501,19.69,198,0.0,0,0.0,False,0.0
333.0,277.7,233,70970,0.484,20.52,233,0.0,0,0.0,False,0.0
332.79,464.19,266,70970,0.178,15.08,266,0.0,0,0.0,False,0.0
334.69,150.3,735,70970,0.178,97.59,735,0.0,0,0.0,True,2.0
339.99,618.35,193,70970,0.522,18.01,193,0.1,0,0.0,False,0.0
314.98,32.17,156,70970,0.468,15.92,156,0.0,0,0.0,False,0.0
340.07,734.89,1018,70970,0.332,98.43,1018,0.0,0,0.0,True,6.0
289.0,747.21,162,70970,0.53,16.34,162,0.0,0,0.0,False,0.0
286.03,277.69,230,70970,0.47,20.11,230,0.0,0,0.0,False,0.0
237.98,618.03,159,70970,0.519,15.5,159,0.0,0,0.0,False,0.0
242.94,20.79,181,70970,0.251,17.17,181,0.0,0,0.0,False,0.0
245.0,747.42,152,70970,0.468,13.4,152,0.0,0,0.0,False,0.0
247.99,277.73,230,70970,0.486,20.11,230,0.0,0,0.0,False,0.0
247.99,487.13,156,70970,0.532,15.08,156,0.0,0,0.0,False,0.0
248.88,147.73,187,70970,0.35,16.75,187,0.0,0,0.0,False,0.0
248.98,409.41,140,70970,0.471,12.98,140,0.1,0,0.0,False,0.0
252.0,32.25,176,70970,0.528,17.17,176,0.0,0,0.0,False,0.0
258.0,618.09,181,70970,0.526,16.75,181,0.0,0,0.0,False,0.0
286.05,618.33,162,70970,0.528,15.92,162,0.1,0,0.0,False,0.0
260.02,145.01,141,70970,0.324,10.89,141,0.0,0,0.0,False,0.0
263.0,747.3,185,70970,0.542,18.43,185,0.0,0,0.0,False,0.0
