frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,id32,id33,id34,id35,id36,id37,id38,id39,id40,id41,id42,id43,id44,id45,id46,id47,id50,id51,id53,id57,id61,id71,id72,id78,id79,id82,id83,id84,id89,id92,id95,id97,id99,id104,id109,id110,id113,id119,id121,id122,id123,id129,id130,id132,id135,id140,id145,id154,id155,id163,id164,id166,id167,id183,id185,id195,id200,id201,id204,id209,id210,id214
136,,"(492.51, 278.63)",,"(558.73, 129.17)",,"(166.76, 160.52)",,"(511.41, 348.65)","(148.48, 26.94)",,,"(127.00, 342.53)",,,,,,,"(184.03, 277.92)",,"(251.66, 136.58)",,"(70.59, 324.30)",,,,,,"(413.05, 233.65)","(129.72, 348.15)","(66.67, 348.04)",,"(669.24, 322.28)","(653.21, 352.21)","(632.46, 349.58)",,,"(379.33, 207.54)",,"(617.17, 350.94)",,,,"(553.90, 232.38)","(407.08, 345.85)",,"(283.37, 328.17)","(272.86, 347.27)",,,,,,,"(248.23, 207.82)","(42.12, 96.74)","(641.55, 347.52)",,"(503.03, 349.59)","(370.44, 87.00)",,,,,,,"(54.37, 291.80)","(265.53, 346.50)",,,"(420.64, 351.61)",,"(430.87, 351.06)",,,"(17.21, 92.29)","(10.76, 84.87)",,,,,,,,,,,,,,,,
137,"(521.56, 349.16)","(492.50, 278.42)",,"(558.39, 128.30)",,"(167.29, 159.59)",,"(511.31, 348.59)","(148.83, 26.20)",,,"(127.12, 341.72)",,,,,,,"(184.14, 277.43)",,"(251.95, 134.13)",,"(70.53, 323.35)",,,,,,"(412.26, 232.32)","(129.77, 349.63)","(67.49, 347.84)",,"(669.30, 322.49)","(653.95, 352.04)","(632.68, 350.36)",,,"(379.32, 207.54)",,"(617.41, 351.13)",,,,"(553.65, 231.64)","(406.94, 346.04)",,"(283.35, 328.27)","(272.59, 347.21)",,,,,,,"(247.89, 205.82)","(42.20, 96.73)","(640.28, 348.10)",,"(503.03, 349.51)","(370.51, 85.38)",,,,,,,"(53.27, 289.59)","(266.50, 346.60)",,,"(420.48, 351.96)",,"(430.84, 351.33)",,,"(17.10, 91.72)","(11.55, 82.56)",,,,,,,,,,,,,,,,
138,"(521.05, 349.13)","(492.56, 278.01)",,"(558.13, 126.88)",,"(167.87, 158.66)",,"(511.20, 348.67)","(148.73, 26.31)",,,"(127.14, 341.33)",,,,,,,"(182.80, 274.92)",,"(252.65, 131.61)",,"(69.91, 321.57)",,,,,,"(411.54, 231.66)","(129.98, 349.62)","(67.88, 347.86)",,"(669.55, 322.14)","(654.84, 352.08)","(632.03, 349.98)",,,"(379.36, 207.56)",,"(617.66, 351.28)",,,,"(553.15, 230.75)","(407.10, 345.52)",,"(283.34, 328.42)","(272.38, 347.18)",,,,,,,"(248.13, 204.13)","(42.22, 96.69)","(640.48, 347.78)",,"(502.94, 349.69)","(370.47, 84.24)",,,,,,,"(52.49, 287.39)","(266.91, 346.90)",,,"(420.75, 351.84)",,"(430.82, 351.26)",,,"(16.67, 91.45)","(11.73, 80.14)",,,,,,,,,,,,,,,,
139,"(521.11, 349.15)","(492.54, 277.86)",,"(557.75, 125.58)",,"(168.03, 158.08)",,"(511.45, 348.60)","(148.49, 26.52)",,,"(127.12, 340.73)",,,,,,,,,"(252.91, 129.50)",,"(69.77, 320.08)",,,,,,"(411.40, 231.09)","(130.22, 349.38)","(67.91, 347.89)",,"(669.70, 321.20)","(656.19, 352.38)","(631.84, 349.92)",,,"(379.38, 207.55)",,"(617.75, 351.41)",,,,"(552.53, 229.35)","(408.47, 345.01)",,"(283.38, 328.41)","(272.32, 347.18)",,,,,,,"(248.04, 202.28)","(42.24, 96.71)","(640.71, 347.79)",,"(502.85, 350.38)","(370.39, 82.86)",,,,,,,"(51.16, 284.88)","(267.89, 347.04)",,,"(420.68, 351.78)",,"(430.31, 351.00)",,,"(17.10, 91.71)","(12.09, 78.24)",,,,,,,,,,,,,,,,
140,"(521.01, 349.07)","(492.54, 278.02)",,"(557.19, 123.66)",,"(168.29, 157.58)",,"(511.32, 348.84)","(148.09, 26.69)",,,"(127.13, 340.43)",,,,,,,,,"(253.18, 126.68)",,"(69.62, 318.41)",,,,,,"(411.35, 230.63)","(130.28, 349.15)","(67.91, 347.85)",,"(669.76, 320.17)","(657.44, 352.42)","(631.86, 349.86)",,,"(379.42, 207.52)",,"(617.85, 351.41)",,,,"(552.37, 228.31)","(409.22, 345.37)",,"(283.36, 328.23)","(272.56, 347.32)",,,,,,,"(248.08, 201.35)","(42.32, 96.62)","(641.12, 347.67)",,"(502.36, 349.01)","(370.34, 80.77)",,,,,,,"(50.28, 282.84)","(266.92, 346.88)",,,"(420.65, 351.63)",,"(429.22, 350.81)",,,"(17.47, 91.91)","(13.13, 75.97)",,,,,,,,,,,,,,,,
141,"(521.26, 349.22)","(492.49, 277.91)",,"(556.42, 122.60)",,"(168.64, 157.45)",,"(512.06, 348.84)","(147.78, 26.89)",,,"(127.13, 340.08)",,,,,,,,,"(253.45, 124.21)",,"(69.75, 316.46)",,,,"(394.50, 349.35)",,"(411.26, 230.17)","(130.54, 349.11)","(67.97, 347.80)",,"(670.13, 318.90)","(658.50, 352.64)","(631.81, 350.08)",,,"(379.41, 207.50)",,"(617.86, 351.43)",,,,"(551.93, 227.97)","(409.19, 345.04)",,"(283.36, 328.41)","(272.35, 347.31)",,,,,,,"(248.18, 199.81)","(42.52, 96.37)","(643.65, 345.85)",,"(503.36, 350.03)","(370.38, 78.94)",,,,,,,"(49.12, 281.48)","(266.50, 346.99)",,,"(420.84, 351.71)",,"(427.03, 351.05)",,,"(18.01, 90.71)","(13.85, 73.93)",,,,,,,,,,,,,,,,
142,"(521.20, 349.22)","(492.44, 277.54)",,"(556.07, 121.17)",,"(168.79, 157.46)",,"(512.44, 348.45)","(147.75, 26.91)",,,"(127.29, 339.07)",,,,,,,,,"(253.87, 121.93)",,"(69.34, 314.17)",,,,"(394.69, 349.51)",,"(411.40, 230.08)","(130.83, 349.25)","(67.96, 347.82)",,"(670.21, 318.57)","(658.73, 352.99)","(631.99, 350.36)",,,"(379.43, 207.53)",,"(618.08, 351.47)",,,,"(551.50, 227.41)","(408.70, 344.95)",,"(283.35, 328.32)","(271.97, 347.43)",,,,,,,"(248.26, 198.18)","(42.60, 96.20)","(662.48, 340.50)",,"(503.68, 350.13)","(370.40, 76.57)",,,,,,,"(48.04, 279.85)","(265.81, 346.58)",,,"(420.78, 351.67)",,"(426.08, 350.38)",,,"(19.30, 89.97)","(14.58, 71.89)",,,,,,,,,,,,,,,,
143,"(521.10, 349.22)","(492.51, 277.11)",,"(555.42, 119.48)",,"(168.82, 157.39)",,"(512.29, 348.45)","(147.71, 27.03)",,,"(127.28, 339.10)",,,,,,,"(152.76, 309.33)",,"(254.63, 119.55)",,"(68.75, 311.91)",,,,"(395.37, 349.75)",,"(411.40, 230.08)","(130.88, 349.64)","(68.10, 347.63)",,"(670.11, 318.43)","(658.95, 352.93)","(631.84, 350.30)",,,"(379.43, 207.53)",,"(618.17, 351.52)",,,,"(551.00, 226.78)","(408.81, 344.46)",,"(282.57, 328.40)","(271.89, 347.53)",,,,,,,"(248.33, 196.19)","(43.05, 95.84)","(671.19, 348.81)",,"(503.54, 350.26)","(370.52, 74.37)",,,,,,,"(47.27, 277.96)","(265.26, 346.98)",,,"(420.50, 351.87)",,"(425.97, 350.52)",,,"(20.57, 89.47)","(15.59, 69.85)",,,,,,,,,,,,,,,,
144,"(520.93, 349.20)","(492.46, 276.85)",,"(554.81, 118.00)",,"(169.14, 157.22)",,,"(147.67, 26.92)",,,"(127.16, 339.16)",,,,,,,"(151.58, 310.10)",,"(254.84, 116.58)",,"(68.66, 311.55)",,,,"(395.74, 349.75)",,"(411.43, 229.70)","(131.19, 349.67)",,,"(670.45, 317.86)","(658.91, 352.97)","(631.09, 350.32)",,,"(379.50, 207.54)",,"(617.97, 351.51)",,,,"(550.97, 226.70)","(408.61, 344.39)",,"(283.02, 328.03)","(270.54, 347.36)",,,,,,,"(248.34, 194.43)","(43.97, 95.44)","(669.91, 350.87)",,"(502.94, 348.38)","(370.66, 73.41)","(503.22, 353.76)",,,,,,"(46.23, 276.27)","(264.70, 346.89)",,,"(420.42, 351.94)",,"(426.12, 350.35)",,,"(22.37, 88.15)","(16.34, 67.75)",,,,,,,,,,,,,,,,
145,"(520.92, 349.32)","(492.42, 276.63)",,"(553.82, 116.40)",,"(169.38, 157.19)",,,"(147.77, 26.95)",,,"(127.10, 339.07)",,,,,,,"(153.55, 320.62)",,"(255.19, 114.06)",,"(69.09, 308.32)",,,,"(395.89, 349.73)",,"(401.82, 222.35)","(131.93, 349.95)",,,"(670.59, 317.29)","(658.94, 353.00)","(631.11, 350.34)",,,"(379.40, 207.65)",,"(618.12, 351.59)",,,,"(550.94, 226.73)","(408.57, 344.45)",,"(282.69, 327.40)","(270.79, 347.53)",,,,,,,"(248.38, 192.78)","(44.91, 94.68)","(667.22, 350.73)",,"(503.23, 351.14)","(370.58, 71.95)",,,,,,,"(45.05, 273.84)","(261.26, 347.56)",,,"(420.43, 352.01)",,"(426.30, 350.42)",,,"(23.33, 87.68)","(16.88, 65.88)",,,,,,,,,,,,,,,,
146,"(520.49, 348.89)","(492.40, 276.65)",,"(553.37, 115.00)",,"(169.49, 157.16)",,,"(147.81, 26.88)",,,"(127.42, 338.92)",,,,,,,"(150.41, 333.95)",,"(255.39, 111.07)",,"(67.71, 307.61)",,,,"(396.51, 349.63)",,"(394.91, 216.97)","(132.37, 350.09)",,,"(670.68, 317.08)","(661.09, 352.25)","(631.08, 350.19)",,,"(379.41, 207.63)",,"(618.07, 351.53)",,,,"(550.92, 226.70)","(408.11, 344.62)",,"(282.49, 326.87)","(271.81, 347.15)",,,,,,,"(248.59, 190.33)","(45.49, 93.78)",,,"(503.45, 350.34)","(370.98, 70.02)",,,,,,,"(43.58, 272.57)","(261.69, 347.27)",,,"(420.44, 351.98)",,"(426.27, 350.36)",,,"(24.18, 87.35)","(17.91, 63.88)",,,,,,,,,,,,,,,,
147,"(520.07, 348.69)","(492.45, 276.65)",,"(552.77, 114.02)",,"(169.54, 157.15)",,"(512.38, 347.33)","(147.70, 26.96)",,,"(127.10, 338.94)",,,,,,,"(152.62, 340.01)",,"(256.07, 108.38)",,"(68.72, 306.46)",,,,"(397.57, 349.26)",,"(395.13, 216.65)","(133.02, 350.10)",,,"(670.91, 316.18)","(658.65, 352.84)","(630.75, 349.77)",,,"(379.49, 207.61)",,"(618.34, 351.69)",,,,"(550.93, 226.58)","(407.81, 344.74)",,"(282.52, 326.43)","(272.02, 347.10)",,,,,,,"(248.62, 188.68)","(46.57, 92.90)",,,"(502.68, 348.33)","(370.97, 69.28)",,,,,,,"(42.22, 270.85)","(260.72, 347.02)",,,"(420.52, 352.07)",,"(426.34, 350.43)",,,"(25.95, 86.13)","(18.74, 62.10)",,,,,,,,,,,,,,,,
148,"(519.72, 348.69)","(492.41, 276.75)",,"(552.17, 112.45)",,"(169.49, 157.16)",,"(512.40, 347.43)","(147.65, 27.04)",,,"(127.16, 339.02)",,,,,,,"(163.46, 346.98)",,"(256.64, 106.04)",,"(66.74, 301.96)",,,,"(398.65, 349.25)",,"(395.18, 216.37)","(133.94, 349.92)",,,"(671.26, 315.56)","(658.58, 352.75)","(630.50, 349.46)",,,"(379.47, 207.62)",,"(618.26, 351.57)",,,,"(550.85, 226.45)","(407.65, 344.64)",,"(282.56, 326.31)","(269.61, 347.54)",,,,,,,"(248.70, 187.13)","(47.25, 91.66)",,,,"(371.05, 67.41)","(503.43, 352.85)",,,,,,"(40.74, 269.65)","(260.18, 347.08)",,,"(420.54, 352.08)",,"(426.84, 350.69)",,,"(28.62, 85.73)","(19.72, 59.62)",,,,,,,,,,,,,,,,
149,"(519.38, 348.42)","(492.45, 276.76)",,"(551.76, 111.49)",,"(169.38, 157.16)",,"(512.40, 347.22)","(147.78, 26.95)",,,"(127.12, 339.06)",,,,,,,"(165.31, 347.30)",,"(257.27, 103.56)",,"(66.91, 298.77)",,,,"(400.01, 348.96)",,"(395.18, 216.31)","(135.04, 349.89)",,,"(671.33, 315.40)","(658.08, 352.40)","(630.25, 349.39)",,,"(379.43, 207.63)",,"(618.29, 351.47)",,,,"(550.82, 226.24)","(407.83, 344.59)",,"(282.52, 325.97)","(267.90, 347.66)",,,,,,,"(249.01, 185.25)","(47.20, 89.96)","(666.61, 352.11)",,,"(371.25, 66.31)","(503.47, 353.58)",,,,,,"(39.00, 267.61)","(261.58, 346.69)",,,"(420.59, 352.08)",,"(427.05, 351.00)",,,"(31.15, 85.24)","(20.65, 57.81)",,,,,,,,,,,,,,,,
150,"(519.34, 348.53)","(492.42, 276.44)",,"(551.55, 111.03)",,"(164.34, 154.44)",,"(512.36, 347.20)","(147.81, 27.00)",,,"(127.12, 339.06)",,,,,,,"(164.91, 347.47)",,"(257.51, 101.05)",,"(66.37, 295.16)",,,,"(401.50, 348.63)",,"(395.11, 215.65)","(136.11, 349.59)",,,"(671.31, 314.38)","(657.92, 351.74)","(629.97, 349.43)",,,"(379.45, 207.64)",,"(618.12, 351.46)",,,,"(550.84, 226.28)","(407.79, 344.58)",,"(282.53, 326.01)",,,,,,,,"(248.82, 184.07)","(47.90, 88.02)","(669.15, 351.51)",,,"(371.52, 64.99)","(503.55, 353.65)",,,,,,"(37.85, 266.10)","(261.05, 347.69)",,,"(420.43, 352.13)",,"(426.98, 350.74)",,,"(33.75, 85.25)","(21.39, 56.13)",,,,,,,,,,,,,,,,
