t,x,y
1.667,76.79,77.98
1.667,90.19,59.19
1.7,51.54,197.18
1.7,92.97,123.93
1.7,75.03,107
1.7,77.12,80.31
1.7,90.89,62.42
1.733,50.92,201.15
1.733,92.71,126.22
1.733,75.03,107
1.733,77.88,84.6
1.733,91.8,66.61
1.767,50.04,205.2
1.767,92.24,129.81
1.767,75.03,107
1.767,78.09,86.39
1.767,91.84,68.28
1.8,50.04,209.28
1.8,92.03,132.75
1.8,75.03,107
1.8,78.12,91.15
1.8,91.94,71.54
1.833,49.97,213.27
1.833,91.9,135.01
1.833,75.03,107
1.833,77.96,94.35
1.833,92.39,74.46
1.867,49.76,217.9
1.867,91.77,136.57
1.867,75.04,107.04
1.867,77.44,98.05
1.867,92.59,78.34
1.9,49.1,222.55
1.9,91.22,140.93
1.9,74.64,108.56
1.9,77.52,100.05
1.9,92.55,81.45
1.933,49.32,225.83
1.933,91.06,143.24
1.933,72.86,109.67
1.933,92.09,86.56
1.967,49.22,228.35
1.967,90.9,145.41
1.967,71.26,111.96
1.967,91.95,88.34
2,49.68,231.32
2,90.22,149.19
2,70.12,114.19
2,91.46,92.74
2.033,49.33,234.49
2.033,90.01,152.99
2.033,76.81,116.37
2.033,68.77,116.2
2.033,91.22,95.74
2.067,49.85,240.54
2.067,89.85,155.29
2.067,76.73,121.72
2.067,67.13,119.3
2.067,91.08,98.86
2.1,49.65,244.65
2.1,90.12,159.16
2.1,76.78,125.61
2.1,65.2,123
2.1,91.08,101.29
2.133,50.07,246.36
2.133,90.73,162.03
2.133,76.8,128.79
2.133,64.19,126.01
2.133,90.78,103.66
2.167,50.14,250.31
2.167,91.21,164.16
2.167,76.95,131.95
2.167,63.2,128.12
2.167,89.95,106.63
2.2,50.88,254.24
2.2,91.89,167.41
2.2,77.06,135.86
2.2,62.31,130.02
2.2,88.99,110.25
2.233,51.85,258.33
2.233,92.75,171.84
2.233,77,139.03
2.233,62.02,130.19
2.233,88.12,113.97
2.267,52.82,262.91
2.267,92.74,174.46
2.267,77.06,143.03
2.267,61.77,131.19
2.267,87.2,117.01
2.3,53.91,266.06
2.3,93.11,178.76
2.3,77.19,146.08
2.3,61.01,132.82
2.3,86.06,119.94
2.333,54.9,269.85
2.333,93.3,181.74
2.333,77.72,149.21
2.333,61,132.83
2.333,85.03,122.93
2.367,56.92,273.22
2.367,93.89,184.99
2.367,77.78,152.39
2.367,60.96,132.88
2.367,83.87,125.24
2.4,58.14,275.24
2.4,93.9,188.64
2.4,78.17,156.33
2.4,60.94,132.91
2.4,82.71,128.26
2.433,59.93,277.99
2.433,94.14,191.54
2.433,78.57,160.27
2.433,61,133.14
2.433,81.21,132.77
2.467,60.96,280.35
2.467,94.14,194.53
2.467,80.08,164.77
2.467,80.79,133.57
2.467,61.12,133.37
2.5,62.83,283.81
2.5,94.28,197.98
2.5,81.16,167.02
2.5,79.8,136.29
2.5,60.89,134.05
2.533,63.87,285.91
2.533,94.33,201.07
2.533,82.93,170.09
2.533,57.9,144.06
2.533,78.89,138.49
2.567,64.23,286.65
2.567,94.37,204.18
2.567,49.81,182.36
2.567,84,172.28
2.567,78.04,140.86
2.6,65.89,291.06
2.6,94.34,205.94
2.6,85.31,175.08
2.6,77.04,142.85
2.633,67.03,293.43
2.633,94.33,206.94
2.633,86.26,178.14
2.633,76.15,144.3
2.667,68.28,296.34
2.667,94.5,208.01
2.667,87.33,181.15
2.667,74.22,147.9
2.7,69.91,299.96
2.7,94.51,210
2.7,87.97,184.34
2.7,72.87,149.42
2.733,71.08,303.05
2.733,94.83,212.44
2.733,88.67,187.98
2.733,70.86,151.47
2.767,72.76,306.75
2.767,94.71,216.25
2.767,88.98,190.97
2.767,68.56,154.23
2.8,73.86,309.77
2.8,94.58,219.88
2.8,89.39,193.28
2.8,66.72,156.41
2.833,75.05,312.76
2.833,94.49,222.9
2.833,89.95,196.46
2.833,64.02,159.85
2.867,75.9,316.1
2.867,94.39,225.77
2.867,90.22,200.18
2.867,62.04,162.93
2.9,76.93,319.3
2.9,94.71,228.37
2.9,90.37,204.13
2.9,60.91,164.41
2.933,77.3,322.31
2.933,94.47,232.62
2.933,90.63,208.58
2.933,58.84,168.09
2.967,78.03,326.27
2.967,94.28,235.78
2.967,90.82,210.31
2.967,56.95,171.05
3,78.06,330.2
3,94.26,239.66
3,91.06,214.15
3,55.04,174.91
3.033,78.44,333.15
3.033,94.06,242.25
3.033,91.5,218.13
3.033,53.95,177.34
3.067,78.47,352
3.067,78.32,336.28
3.067,94.02,246.11
3.067,91.79,221.27
3.067,52.77,180.14
3.1,78.69,351.9
3.1,78.87,340.19
3.1,93.74,249.27
3.1,91.78,225.2
3.1,51.59,182.46
3.133,78.6,342.29
3.133,93.73,253.28
3.133,91.78,228.36
3.133,49.85,186.28
3.167,78.88,347.83
3.167,93.24,257.74
3.167,91.44,233.11
3.167,48.1,189.99
3.2,78.72,348.13
3.2,93.28,260.94
3.2,91.43,237.06
3.2,47.27,192.72
3.233,78.38,349.19
3.233,93.7,263.61
3.233,90.99,240.05
3.233,46.93,194.03
3.267,93.02,268.72
3.267,90.99,243.95
3.3,93.11,271.25
3.3,90.82,247.11
3.333,93.31,275.16
3.333,90.42,250.89
3.367,93.87,277.68
3.367,89.83,253.81
3.4,94.26,281.26
3.4,88.88,257.08
3.433,94.48,284.05
3.433,87.97,260.04
3.467,94.68,286.86
3.467,86.84,263.09
3.5,94.86,289.09
3.5,85.87,265.43
3.533,94.86,292.1
3.533,84.92,267.58
3.567,94.85,294.95
3.567,83.75,270.28
3.6,94.92,298.56
3.6,82.69,273.17
3.633,94.73,301.26
3.633,81.79,275.44
3.667,94.73,304.37
3.667,80.24,280.64
3.7,94.76,307.46
3.7,80.01,283.85
3.733,94.93,311.27
3.733,80.12,286.98
3.767,94.75,314.31
3.767,80.12,290.04
3.8,94.76,317.42
3.8,80.33,293.09
3.833,94.77,320.43
3.833,80.43,295.36
3.867,94.81,323.49
3.867,80.39,298.37
3.9,94.42,326.9
3.9,80.11,302.09
3.933,94.39,329.8
3.933,80.12,305.28
3.967,94.66,331.48
3.967,79.84,309.07
4,94.69,334.42
4,79.8,312.22
4.033,94.46,338
4.033,79.76,316.23
4.067,94.28,340.67
4.067,79.31,320.09
4.1,93.99,351.7
4.1,94.17,341.6
4.1,79.19,324.06
4.133,94.06,343.85
4.133,79.17,326.53
4.167,93.76,350.18
4.167,79.05,331.79
4.2,93.38,348.99
4.2,79.07,334.9
4.233,78.83,351.94
4.233,92.77,348.57
4.233,78.89,338.07
4.267,78.84,351.93
4.267,92.04,348.68
4.267,79.03,341.04
4.3,79.15,342.49
4.333,79.58,347.79
4.367,79.26,348.31
4.4,79.16,348.64
4.667,47.47,271.07
4.7,48.41,271.46
4.733,49.03,271.96
4.767,51.88,273.3
4.8,53.96,274.17
4.833,56.09,274.39
4.867,58.1,274.4
4.9,60.23,274.32
4.933,62.39,274.37
4.967,66.54,274.92
5,67.36,275.28
5.033,69.28,276.2
5.067,70.87,278.09
5.1,71,280.01
5.133,71.16,282.2
5.167,71.12,284.37
5.2,71.14,287.33
5.233,71.18,290.22
5.267,71.21,293.13
5.3,71.21,296.21
5.333,71.21,299.31
5.367,71.69,303.16
