08.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,001-converted,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
08.02.24,NEG-008,hTDP43,WT,m,9d,001-converte,2024-02-08_1,41,91,3.2199,-49.1865,0.9985,0,0.0248
08.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,9d,001-converte,2024-02-08_all,41,91,3.2199,-49.1865,0.9985,0,0.0248
