15.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,16d,002-converted,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
15.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,16d,002-converte,WT,55,105,2.7141,-92.771,0.9832,0,0.0712
15.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,16d,002-converte,A90V,72,122,1.3125,-15.8584,0.9885,0,0.0284
15.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,16d,002-converte,G287S,101,151,0.9373,-21.9864,0.9911,0,0.0178
15.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,16d,002-converte,G294A-,96,146,0.9546,-34.3935,0.9623,0,0.0382
15.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,16d,002-converte,A315T,33,83,1.2542,2.9678,0.9945,0,0.0186
15.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,16d,002-converte,M337V,53,103,1.4837,-3.5976,0.9894,0,0.0309
15.02.24,NEG-008,hTDP43,WT-A90V-G287S-G294A-A315T-M337V,m,16d,002-converte,2024-02-15_NEG-008_hTDP43_WT-A90V-G287S-G294A-A315T-M337V_m_16d__all,33,83,1.0451,12.0732,0.9946,0,0.0154
