frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,id32,id33,id34,id35,id36,id37,id38,id39,id40,id41,id42,id43,id44,id45,id46,id47,id48,id49,id50,id51,id52,id53,id54,id55,id56,id57,id58,id59,id60,id61,id62,id63,id66,id67,id68,id69,id70,id71,id75,id77,id98,id105,id110,id111,id113,id116,id119,id122,id123,id124,id132,id133,id134,id135,id136,id142,id154,id155,id157,id158,id159,id161,id162,id163,id164,id165,id166,id168,id171,id172,id173,id175,id177,id182,id183,id184,id188,id189,id190,id191,id194,id195,id196,id197,id212,id217,id223,id225,id226,id227,id229,id235,id236,id237,id246,id247,id248,id249,id253,id254,id259,id262,id266,id267,id269,id271,id272,id278,id280,id281,id282,id283,id288,id292,id294,id296,id297,id298,id309,id318,id324,id328,id343,id346,id349,id354,id356,id376,id379,id383,id394,id395,id402,id405,id407,id411,id413,id414,id415,id417,id420,id431,id438,id441,id443,id445,id448,id450,id453,id454,id458,id463,id464,id466,id467,id471,id475,id476,id489,id490,id499,id507,id509,id510,id513,id525,id526,id528,id530,id532,id534,id538,id544,id545,id549,id552,id559
70,"(69.08, 180.09)",,"(45.91, 132.13)","(125.77, 217.56)",,,"(509.62, 351.51)",,"(670.19, 228.18)",,,,,,,,,,"(638.44, 348.12)",,,,,,,"(403.41, 347.10)",,"(170.66, 347.72)",,,,,,"(17.52, 347.62)","(427.43, 351.02)",,,,,,,"(142.51, 348.10)",,,"(34.75, 342.12)","(291.18, 318.02)",,,,,"(408.28, 347.31)","(626.51, 290.98)",,"(309.03, 160.02)",,"(127.26, 349.51)",,,"(156.45, 348.64)",,"(524.04, 351.27)",,,,"(17.47, 338.89)",,,"(615.10, 349.67)",,,"(394.48, 348.19)","(618.71, 225.05)",,"(279.36, 344.11)",,,"(635.84, 355.19)","(33.17, 50.71)",,,,"(491.49, 352.13)",,"(22.48, 347.99)",,,"(669.00, 118.92)",,,"(537.08, 350.04)",,,,,,,,,,,,,,,,,,,,,"(509.64, 351.68)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"(69.83, 178.35)",,"(45.25, 130.01)","(125.62, 217.17)",,,"(508.73, 351.59)",,"(670.22, 228.22)",,,,,,,,,,"(638.56, 348.10)",,,,,,,,,"(170.60, 347.81)",,,,,,"(18.81, 347.54)","(427.13, 351.14)",,,,,,,"(142.60, 348.14)",,,"(35.67, 341.06)","(290.19, 318.27)",,,,,"(407.93, 347.35)","(625.85, 289.45)",,"(308.98, 158.92)",,"(127.21, 349.57)",,,"(156.50, 348.64)",,"(525.04, 351.35)",,,"(511.71, 351.50)","(17.74, 337.93)",,,"(615.08, 349.71)",,,"(394.06, 348.13)","(619.09, 223.26)",,"(279.03, 344.05)",,,"(635.77, 355.00)","(32.30, 48.23)",,,,,,"(23.23, 348.02)",,,"(669.62, 116.86)",,,"(536.86, 349.63)",,,,,,,,"(507.52, 350.08)",,,,,,,,,,,,,"(509.05, 351.36)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"(70.25, 177.14)",,"(45.29, 127.47)","(125.90, 217.06)",,,,,"(670.13, 228.11)",,,,,,,,,,"(638.84, 347.46)",,,,,,,,,"(170.52, 347.80)",,,,,,"(18.90, 347.29)","(426.80, 350.93)",,,,,,,"(142.62, 348.08)",,,"(36.04, 339.61)","(290.51, 318.20)",,,,,"(407.80, 347.46)","(625.26, 288.62)",,"(308.85, 157.27)",,"(127.09, 349.71)",,,"(156.50, 348.56)",,"(525.97, 351.01)",,,"(512.17, 351.41)","(19.04, 335.38)",,,"(615.09, 349.92)",,,"(394.15, 348.15)","(619.24, 221.78)",,"(279.13, 344.18)",,,"(636.02, 355.44)","(31.15, 46.38)",,,,,,"(24.08, 346.88)",,,"(670.57, 114.87)",,,"(536.31, 349.42)",,,,,,,,"(507.57, 349.16)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"(70.63, 175.23)",,"(44.75, 125.20)","(125.92, 217.27)",,,,,"(669.87, 227.72)",,,,,,,,,,,,,,,,,,,"(170.66, 347.75)",,,,,,"(18.69, 347.27)","(426.71, 350.86)",,,,,,,"(143.05, 348.29)",,,"(36.12, 338.35)","(290.59, 318.26)",,,,,"(407.65, 347.44)","(624.32, 287.00)",,"(308.79, 155.68)",,"(127.22, 349.71)",,,"(156.39, 348.04)",,"(529.17, 349.83)",,,,"(19.47, 333.69)",,,"(614.87, 349.82)",,,"(394.04, 348.10)","(619.56, 219.97)",,"(279.12, 344.04)",,,,"(30.41, 44.13)",,,,,,"(24.26, 346.57)",,,"(671.33, 112.21)",,,"(535.99, 349.49)",,,,,,,,"(507.18, 348.16)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"(71.37, 173.47)",,"(44.83, 122.79)","(125.98, 216.91)",,,,,"(670.00, 227.80)",,,,,,,,,,,,,,,,,,,"(170.70, 347.78)",,,,,,"(18.53, 347.23)","(426.18, 350.59)",,,,,,,"(143.04, 348.38)",,,"(35.92, 336.94)","(290.57, 318.13)",,,,,"(407.26, 347.29)","(624.18, 285.94)",,"(308.80, 154.65)",,"(127.30, 349.65)",,,"(156.37, 347.50)",,"(527.45, 349.62)",,,,"(19.65, 332.56)","(530.29, 352.11)",,"(615.03, 349.80)",,,"(393.95, 348.13)","(619.77, 217.80)",,"(279.18, 344.22)",,,,"(29.49, 41.45)",,,,,,"(24.27, 346.14)",,,"(671.79, 110.23)",,,"(535.49, 349.44)",,,,,,,,"(506.88, 349.52)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"(71.71, 172.01)",,"(44.96, 120.54)","(125.99, 215.93)",,,,,"(669.92, 227.81)",,,,,,,,,,,,,,,,,,,"(170.70, 347.75)",,,,,,"(18.11, 347.42)","(425.87, 350.60)",,,,,,,"(143.19, 348.32)",,,"(35.93, 335.43)","(290.61, 318.17)",,,,,"(407.01, 347.00)","(623.50, 284.95)",,"(308.72, 153.14)",,"(127.24, 349.69)",,,"(155.58, 346.96)",,,,,,"(19.97, 330.60)","(528.19, 352.37)",,"(614.98, 349.81)","(491.11, 352.09)",,"(393.95, 348.24)","(620.18, 215.79)",,"(278.67, 343.61)",,,,"(28.77, 39.50)",,,,,,"(22.54, 345.59)",,,"(672.49, 107.48)",,,"(535.69, 349.58)",,,,,,,,,,,,,,,,,,,"(530.20, 351.12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"(71.84, 170.65)",,"(44.33, 118.36)","(126.32, 215.28)",,,,,"(669.89, 227.94)",,,,,,,,,,,,,,,,,,,"(170.68, 347.67)",,,,,,"(17.78, 347.35)","(425.42, 350.65)",,,,,,,"(143.64, 348.32)",,,"(35.86, 333.70)","(290.36, 317.38)",,,,,"(406.96, 346.97)","(622.08, 283.46)",,"(308.81, 151.26)",,"(126.83, 349.66)",,,"(155.85, 346.42)",,,,,,"(20.30, 329.14)","(527.43, 351.03)",,"(614.86, 349.84)","(490.82, 351.82)",,"(393.75, 348.18)","(620.75, 213.49)",,"(278.61, 344.45)",,,,"(28.13, 37.18)",,,,"(489.52, 349.91)",,"(22.25, 344.59)",,,"(673.02, 105.45)",,,"(535.91, 349.94)",,,,,,,,,,,,,,,,,,,"(533.51, 352.15)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"(72.16, 169.79)",,"(44.25, 115.50)","(126.45, 214.63)",,,"(505.50, 349.82)",,"(669.85, 227.95)",,,,,,,,,,,,,,,,,,,"(170.78, 347.61)",,,,,,"(17.09, 347.37)","(425.74, 350.46)",,,,,,,"(143.64, 348.27)",,,"(35.18, 331.49)","(290.38, 315.87)",,,,,"(406.91, 346.98)","(621.27, 281.78)",,"(308.65, 149.25)",,"(127.02, 349.68)",,,"(155.72, 346.41)",,,,,,"(20.27, 328.71)","(527.93, 351.85)",,"(614.85, 349.85)","(490.80, 351.60)",,"(393.91, 348.14)","(621.06, 211.02)",,"(278.55, 344.61)",,,,"(27.58, 34.76)",,,,"(489.51, 349.47)",,"(21.91, 343.78)",,,"(673.51, 102.61)",,,"(536.18, 350.46)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"(72.19, 169.25)",,"(44.42, 113.26)","(126.51, 213.65)",,,"(505.52, 349.76)",,"(669.86, 228.35)",,,,,,,,,,,,,,,,,,,"(170.93, 347.57)",,"(149.79, 346.06)",,,,"(18.33, 346.59)","(425.76, 350.48)",,,,,,,"(143.66, 348.27)",,,"(34.47, 328.82)","(290.22, 314.55)",,,,,"(407.01, 346.97)","(620.49, 280.44)",,"(308.60, 147.06)",,"(126.98, 349.71)",,,"(155.12, 345.89)",,,,,,"(20.08, 327.90)","(528.14, 352.11)",,"(614.83, 349.86)","(490.83, 351.81)",,"(394.05, 348.20)","(621.58, 208.60)",,"(278.75, 344.57)",,,,"(26.77, 32.24)",,,"(156.09, 347.74)","(489.56, 349.55)",,"(22.55, 342.17)",,,"(673.96, 99.98)",,,"(536.51, 350.46)",,,,,,,,,,,,"(152.47, 344.87)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"(72.22, 168.21)",,"(44.17, 110.65)","(126.18, 212.30)",,,"(505.31, 349.29)",,"(669.90, 228.36)",,,,,,,,,,,,,,,,,,,"(170.96, 347.58)",,"(152.30, 347.57)",,,,"(17.99, 347.08)","(425.75, 350.48)",,,,"(489.46, 349.48)",,,"(143.61, 348.18)",,,"(33.55, 327.29)","(290.09, 313.51)",,,,,"(407.06, 346.88)","(620.06, 278.99)",,"(308.58, 144.65)",,"(127.10, 349.71)",,,"(154.76, 344.83)",,,,,,"(20.43, 326.90)","(528.26, 352.18)",,"(614.86, 349.82)","(490.99, 352.01)",,"(394.00, 348.10)","(621.73, 205.93)",,"(278.75, 344.43)",,,,"(26.74, 29.19)",,,"(156.88, 347.45)","(489.27, 348.83)",,"(21.83, 341.00)",,,"(674.34, 97.65)",,,"(536.76, 350.33)",,,,,,,,,,,,"(151.92, 343.89)",,,,,,,,,,,,,,,,"(673.61, 266.19)","(157.37, 347.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
